id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1363,Fordata,"Marshall 2000",frd,ford1242,,,"Austronesian, Malayo-Polynesian, Central-Eastern, Central Malayo-Polynesian, Southeast Maluku, Kei-Tanimbar, Kei-Fordata","Antoinette Schapper","Simon Greenhill","@incollection{phon_Marshall_Fordata_2000,  title            = {A phonological description of Fordata},  booktitle        = {Spices from the east: papers in languages of eastern Indonesia},  publisher        = {Canberra: Research School of Pacific and Asian Studies, Australian National University},  series           = {Pacific Linguistics},  volume           = {503},  pages            = {181-235},  year             = {2000},  country          = {Indonesia [ID]},  fn               = {papua\grimes_spices-east2000.pdf},  glottolog_ref_id = {154838},  hhtype           = {phonology},  inlg             = {English [eng]},  lgcode           = {Fordata [frd]},  macro_area       = {Papua},  sil_id           = {43075},  subject          = {Phonological descriptions [PHD]},  author           = {Marshall, Craig},  editor           = {Grimes, Charles E.}}"
latitude,longitude
-7.28900000000000000000,131.51100000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
316347,1,hand,lima-,,,"1,64",
316348,2,left,balit,,,7,
316349,5,"to walk",faʔar,'go',,116,
316350,5,"to walk",bana,'go',,2,
316351,6,road/path,ban-bana-n,"reduplication meaning 'journey, path'",,,
316352,7,"to come",maa,,,1,
316353,10,dirty,ngraa,,,132,
316354,11,dust,kyavu,,,1?,
316355,14,belly,evu-,"Glossed as 'stomach'",,,
316356,17,liver,yata-,,,1,
316357,20,"to know, be knowledgeable",kaʔa,,,,
316358,22,"to fear",-bobar,,,3,
316359,24,head,ulu-,,,1,
316360,25,neck,nela-,,,121?,
316361,26,hair,vuut,,,1,
316362,30,mouth,sumar-,,,40,
316363,32,tongue,ear-,,,35,
316364,33,"to laugh",malit,,,3,
316365,36,"to spit",-fniit,,,9?,
316366,41,"to bite",karas,,,,
316367,42,"to suck",buuk,,,67,
316368,44,"to hear",-renar,,,1,
316369,45,eye,mata-,,,1,
316370,46,"to see",-siʔik,,,,
316371,48,"to sleep",-tuba,,,43,
316372,51,"to sit",-doku,,,147,
316373,52,"to stand",-diri,,,1,
316374,53,"person/human being",tamata,,,"1,66",
316375,54,man/male,brana,,,1,
316376,55,woman/female,vata,,,128,
316377,56,child,yana,,,1,
316378,59,mother,rena-,,,"1,79",
316379,60,father,yama-,,,1,
316380,62,thatch/roof,rafat,,,9,
316381,64,"to say",falak,,,,
316382,66,"to tie up, fasten",keak,,,120,
316383,70,"to shoot",fana,"Reflexes of PAn *p in Fordata are interesting, as the labials fbI and If I represent historical *p, f",,1,
316384,71,"to stab, pierce",sungu,,,,
316385,72,"to hit",taku,,,8?,
316386,74,"to kill",-fedan,,,6,
316387,75,"to die, be dead",-mata,,,1,
316388,78,"to cut, hack",-Iorak,"Also -etan 'cut something down'",,,
316389,78,"to cut, hack",-afat,"Also -etan 'cut something down'",,,
316390,79,stick/wood,aa,'wood',,1,
316391,86,"to grow",-mela,,,52,
316392,87,"to swell",-bara,,,1,
316393,89,"to hold",-teri,,,,
316394,91,"to buy",-faha,,,60,
316395,92,"to open, uncover",-vadil,,,69,
316396,95,"to fall",-leka,,,110,
316397,96,dog,yaha,,,89,
316398,100,wing,weri-,,,,
316399,102,rat,manovan,,,"1,82?",
316400,103,meat/flesh,ihi-,,,,
316401,104,fat/grease,mina-,"Glossed as 'body grease'",,,
316402,105,tail,kikur,,,,
316403,110,spider,voan,,,,
316404,111,fish,ian,,,,
316405,112,rotten,betan,,,,
316406,113,branch,"aa etal","Literally, wood piece",,,
316407,115,root,waʔar,,,,
316408,118,grass,ngrova,,,,
316409,120,stone,vatu,,,,
316410,121,sand,nguur,,,,
316411,122,water,wear,,,,
316412,125,salt,sira,,,,
316413,127,woods/forest,nangan,,,,
316414,129,moon,vulan,,,,
316415,130,star,nara,,,,
316416,132,fog,lova,,,,
316417,133,rain,daʔut,,,60,
316418,135,lightning,fitik,,,,
316419,136,wind,nait,,,,
316420,137,"to blow",-fraik,,,,
316421,138,warm,ngnea,,,,
316422,142,heavy,aleman,,,,
316423,145,smoke,buuk,,,,
316424,147,black,ngtoan,,,,
316425,148,white,ngiar,,,,
316426,149,red,vuli,,,,
316427,152,small,koʔu,,,,
316428,153,big,dawan,,,,
316429,155,long,blawat,,,,
316430,164,good,lolin,,,,
316431,166,"correct, true",mngaun,,,,
316432,167,night,ovan,,,,
316433,168,day,amar,,,,
316434,171,"to hide",-fonak,Transitive,,,
316435,174,"in, inside",rala-,,,,
316436,180,far,roa,,,,
316437,181,where?,baa,,,,
316438,183,thou,oa,,,,
316439,184,he/she,ia,,,,
316440,185,we,ita,,,,
316441,185,we,ama,,,,
316442,187,they,ira,,,,
316443,187,they,I,,,,
316444,189,who?,abaa,PL,,,
316445,190,other,liak,,,,
316446,195,"no, not",wel,,,,
316447,197,One,isaa,,,1,
316448,199,Three,telu,,,1,
316449,200,Four,faʔat,,,1,
316450,203,Seven,fitu,,,1,
316451,204,Eight,walu,,,3,
316452,206,Ten,vutu,,,,
316453,207,Twenty,vutrua,,,,
