id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1365,Naueti,"Veloso 2016",nxa,naue1237,,,"Austronesian, Malayo-Polynesian, Central-Eastern, Central Malayo-Polynesian, Timor-Babar, Nuclear Timor","Antoinette Schapper","Simon Greenhill","@mastersthesis{g_Veloso_Naueti,  title      = {A grammar sketch of Naueti, a language of East Timor},  school     = {Rijksuniversiteit te Leiden},  pages      = {180},  year       = {2016},  fn         = {papua\veloso_naueti2016.pdf},  hhtype     = {grammar},  inlg       = {English [eng]},  lgcode     = {Naueti = Nauete [nxa]},  macro_area = {Papua},  author     = {Veloso, Alexandre}}"
latitude,longitude
-8.70730000000000000000,126.74100000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
316665,1,hand,lima,,,"1,64",
316666,2,left,weli,,,1,
316667,3,right,thi'i,,,,
316668,4,leg/foot,kele,,,14,
316669,5,"to walk",laka,,,1,
316670,6,road/path,dala,,,1,
316671,9,"to swim",lele,,,77,
316672,10,dirty,pho’ere,"Likely loan of Tetun fo'er",L,,
316673,11,dust,ou,,,1,
316674,12,skin,kuli,,,1,
316675,13,back,tuka,,,11,
316676,14,belly,na'i,,,6,
316677,15,bone,rui,,,2,
316678,16,intestines,na'i,"Also belly, stomach",,54,
316679,17,liver,ata,,,1,
316680,18,breast,susu,,,1,
316681,19,shoulder,phalai,,,1,
316682,20,"to know, be knowledgeable",tada-osi,"tada possibly Tetun loan",,"37,112",
316683,21,"to think",teha,,,69,
316684,22,"to fear",thaku,,,1,
316685,23,blood,raa,,,1,
316686,24,head,ulu,,,1,
316687,25,neck,"‘neo ~ ‘neokai","Makasae borrowing",L,74,
316688,26,hair,ulu-rae,"head leaf (ASch)",,40,
316689,27,nose,"iru ~ irukai","Makasae borrowing",L,"1,25",
316690,28,"to breathe","rei hamae","literally, 'pull breath'",,81,
316691,30,mouth,"nunu ~ nunukai","Makasae borrowing",L,"2,5",
316692,31,tooth,nihi,,,1,
316693,32,tongue,maa,,,7,
316694,33,"to laugh",reke,,,6,
316695,34,"to cry",‘nei,,,1,
316696,35,"to vomit",muta,,,1,
316697,36,"to spit","muta ili-wai","literally, 'vomit saliva'",,107,
316698,37,"to eat",khaa,,,1,
316699,38,"to chew",damu,,,,
317762,38,"to chew",moma,"'chew betel'",,1,
316700,39,"to cook",name,,,,
316701,40,"to drink",nuu,,,1,
316702,41,"to bite",no'o,"Also, roka 'bite of animals'",,,
316703,42,"to suck",moko,,,2,
316704,43,ear,"gara ~ garakai","Makasae borrowing",L,47,
316705,44,"to hear",dene,,,1,
316706,45,eye,mata,,,1,
316707,46,"to see",ei,,,1,
316708,47,"to yawn",maa,,,19,
316709,48,"to sleep",‘nero,,,88,
316710,49,"to lie down",‘nero,,,95,
316711,50,"to dream",raha,,,59,
316712,51,"to sit",to'e,,,145,
316713,52,"to stand",ditu,,,,
316714,53,"person/human being",kii,,,80,
316715,54,man/male,asukai,"Makasae borrowing; also 'man, male",L,111,
316716,55,woman/female,onaata,,,"4,5",
316717,56,child,dihaana,"Compound of diha-ana",,1,
316718,57,husband,asukai,"Makasae borrowing",L,29,
316719,58,wife,onaata,,,"85,86",
316720,59,mother,ina,,,1,
316721,60,father,ama,,,1,
316722,61,house,uma,,,1,
316723,62,thatch/roof,kai-bara,'thatch',,,
316724,62,thatch/roof,uma-ulu,'roof',,,
316725,63,name,nai,"Makasae borrowing",L,1,
316726,64,"to say",ehe,,,146,
316727,65,rope,tali,,,1,
316728,66,"to tie up, fasten",sii,,,121,
316729,67,"to sew",kata,,,,
316730,68,needle,dau,,,1,
316731,69,"to hunt",soro,,,,
316732,70,"to shoot",tiru,,,37,
316733,71,"to stab, pierce",thuu,,,33,
316734,72,"to hit",buku,,,,
316735,73,"to steal",nila,,,,
316736,74,"to kill",hida,,,,
316737,75,"to die, be dead",mata,,,1,
316738,76,"to live, be alive",laha,,,71,
316739,77,"to scratch",nhai,,,,
316740,78,"to cut, hack",nake,"'cut grass, weeds'",,,
316741,78,"to cut, hack",teri,,,3,
316742,78,"to cut, hack",nete,,,,
316743,80,"to split",bati,,,,
316744,81,sharp,mara,,,3,
316745,83,"to work",siribisu,"Tetun/Portuguese borrowing",L,,
316746,84,"to plant",thuu,"Means 'plant by poking a hole in the ground'",,,
316747,85,"to choose",kholi,,,40,
316748,87,"to swell",bubu,,,3,
316749,88,"to squeeze",kumu,"Loan from Tetun",L,,
316750,90,"to dig",khali,,,1,
316751,91,"to buy",soi,,,63,
316752,92,"to open, uncover",‘loke,,,6,
316753,93,"to pound, beat",whai,,,1,
316754,94,"to throw",ruba,,,106,
316755,95,"to fall",dabe,,,,
316756,96,dog,dasu,,,"1,50",
316757,97,bird,manu,,,1,
316758,98,egg,thelu,"PMP *(qa)teluR 'egg' > *teluh> *thelu > Naueti [th",,1,
316759,99,feather,manu-wulu,"literally, 'bird feather'",,1,
316760,100,wing,"lia ~ liakai","Makasae borrowing",L,6,
316761,101,"to fly",hua,,,,
316762,102,rat,loa,,,1,
316763,103,meat/flesh,dotu,,,,
316764,104,fat/grease,mia,,,,
316765,105,tail,iku,,,,
316766,106,snake,sawa,,,25,
316767,108,louse,khutu,,,1,
316768,109,mosquito,sabau,,,,
316769,110,spider,boboraka,"Makasae borrowing",L,,
316770,111,fish,dotu-wai,"literally, 'meat water'",,,
316771,113,branch,gaa,,,,
316772,114,leaf,rae,,,,
316773,115,root,oka,,,,
316774,117,fruit,wua,,,,
316775,118,grass,hae,,,,
316776,119,earth/soil,rea,,,,
316777,120,stone,watu,,,,
316778,121,sand,asalae,,,,
316779,122,water,wai,,,,
316780,124,sea,tasi,,,,
316781,125,salt,asi,,,,
316782,126,lake,wai-nhuta,,,,
316783,127,woods/forest,ala,,,,
316784,128,sky,nali,,,58,
316785,129,moon,wula,,,,
316786,130,star,tala,,,,
316787,131,cloud,koha,,,,
316788,133,rain,uda,,,1,
316789,134,thunder,nali-‘noro,,,,
316790,136,wind,iri,,,,
316791,137,"to blow",rhuu,,,,
316792,138,warm,‘mutu,,,,
316793,139,cold,‘nini,,,,
316794,140,dry,mare,,,,
316795,141,wet,wai-wai,"Reduplication of water",,,
316796,142,heavy,thede,,,,
316797,143,fire,daha,,,,
316798,144,"to burn",laba,,,,
316799,145,smoke,nasu,,,2,
316800,146,ash,ou,"same as dust",,,
316801,147,black,ita,,,,
316802,148,white,buta,,,,
316803,149,red,mee,,,,
316804,150,yellow,diri,,,,
316805,151,green,mhata,"Also means 'be raw, uncooked, unripe'",,,
316806,152,small,rai,,,,
316807,153,big,oli,,,,
316808,154,short,bete,,,54,
316809,155,long,dau,,,,
316810,157,thick,kaha,,,,
316811,158,narrow,khoo,,,,
316812,159,wide,klua,,,,
316813,160,"painful, sick",klae,,,,
316814,162,old,ta'a,,,,
316815,163,new,mori,,,,
316816,164,good,hia,,,,
316817,165,"bad, evil",da'e,,,,
316818,166,"correct, true",godi,,,,
316819,167,night,degu,,,,
316820,168,day,‘lara,,,,
316821,169,year,ta’ana,"Possibly ta'a-na 'be old-NMLZ'.",,,
316822,170,when?,se'i,,,,
316823,171,"to hide",koi,,,,
316824,172,"to climb",‘nai,,,,
316825,173,at,la,,,2,
316826,174,"in, inside",lale,,,,
316827,175,above,o'o,"Makasae borrowing",L,,
316828,177,this,eti,,,,
316829,178,that,"ini ~ inu",,,,
316830,178,that,eto,,,,
316831,178,that,emo,,,,
316832,179,near,dase,,,,
316833,180,far,dau,,,,
316834,181,where?,"lare ~ la eri",,,,
316835,182,I,aku,,,,
316836,183,thou,ka,,,,
316837,184,he/she,eto,,,,
316838,185,we,kita,,,,
316839,185,we,hira,,,,
316840,186,you,"kami ~ kamu",,,,
316841,187,they,sira,,,,
316842,188,what?,"se’i ~ sei",,,,
316843,189,who?,sia,,,,
316844,190,other,olina,,,,
316845,191,all,ma'a,,,,
316846,192,and,nau,,,,
316847,193,if,se,"Portuguese borrowing",L,,
316848,194,how?,"nau se’i ~ nai seri",,,,
316849,195,"no, not",da,,,,
316850,195,"no, not",da...ha'o,,,,
316851,196,"to count",‘niha,,,,
316852,197,One,see,,,1,
316853,198,Two,kai-rua,"kai is the default agreement marker on numerals in non-referential counting",,1,
316854,199,Three,kai-telu,,,1,
316855,200,Four,kai-haa,,,1,
316856,201,Five,kai-lima,,,1,
316857,202,Six,"kai-lima resi see",5+1,,,
316858,203,Seven,"kai-lima resi kai-rua",5+2,,,
316859,204,Eight,"kai-lima resi kai-telu",5+3,,,
316860,205,Nine,"kai-lima resi kai-haa",5+4,,,
316861,206,Ten,"weli see",,,"5,43",
316862,207,Twenty,"weli kai-rua",,,,
316863,208,Fifty,"weli kai-lima",,,,
316864,209,"One Hundred","rasa see",,,,
316865,210,"One Thousand",rihun,"Tetun borrowing",L,,
