id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1367,Tokodede,"Schapper fieldnotes",tkd,tuku1254,,,"Austronesian, Malayo-Polynesian, Central-Eastern, Central Malayo-Polynesian, Timor-Babar, Nuclear Timor","Antoinette Schapper","Simon Greenhill","@misc{Schapper-1367-2016,  author = \"Antoinette Schapper\",  date = \"2016\",  howpublished = \"personal communication\"}"
latitude,longitude
-8.67880000000000000000,125.28300000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
317081,1,hand,limu,,,"1,64",
317082,4,leg/foot,koe,,,14?,
317083,5,"to walk",sole,,,74,
317084,6,road/path,da,,,1,
317085,7,"to come",mai,,,1,
317086,8,"to turn",gelelu,,,,
317087,9,"to swim",naki,,,"1,45",
317088,10,dirty,gia,,,1?,
317089,10,dirty,kiniri,,,,
317090,11,dust,ahu,,,1,
317091,12,skin,kuluta,,,1,
317092,14,belly,tegae,,,,
317093,15,bone,rui,,,2,
317094,17,liver,ate,,,1,
317095,18,breast,susu,,,1,
317096,19,shoulder,kabasa,,,6,
317097,20,"to know, be knowledgeable",pana'a,,,,
317098,21,"to think",nurat,,,74,
317099,22,"to fear",mataku,,,1,
317100,23,blood,ra,,,1,
317101,24,head,lagana,,,66,
317102,25,neck,tegeu,,,61,
317103,26,hair,"lagana hulu","head fur (ASch)",,31,
317104,27,nose,ilu,,,1,
317105,29,"to sniff, smell",misu,,,65,
317106,30,mouth,ibo,,,39,
317107,31,tooth,nipa,,,1,
317108,32,tongue,lama,,,6,
317109,35,"to vomit",dokal,,,,
317110,35,"to vomit",mut,"(of a baby)",,1,
317111,37,"to eat",a'a,,,1,
317112,38,"to chew",gagi,,,,
317113,39,"to cook",dotu,,,1,
317114,40,"to drink",enu,,,1,
317115,41,"to bite",ka,,,,
317116,42,"to suck",kmus,,,6,
317117,44,"to hear",taha'a,,,67,
317118,45,eye,mat,,,1,
317119,46,"to see",eto,,,1,
317120,46,"to see",pner,,,,
317121,48,"to sleep",ena,,,4,
317122,50,"to dream",nehati,,,,
317123,51,"to sit",mderi,,,146,
317124,52,"to stand",bri,,,4,
317125,53,"person/human being",atu,,,1,
317126,54,man/male,mane,,,1,
317127,55,woman/female,hine,,,"1,42",
317128,56,child,ana,,,1,
317129,59,mother,ina,,,1,
317130,60,father,ama,,,1,
317131,61,house,soa,,,,
317132,62,thatch/roof,hutus,,,,
317133,63,name,gala,,,1,
317134,64,"to say",toku,,,147,
317135,64,"to say",dale,"Loan from Tetun",L,,
317136,64,"to say",bo'a,,,145,
317137,65,rope,tali,,,1,
317138,66,"to tie up, fasten",kesi,"Loan from Tetun",L,,
317139,67,"to sew",sor,,,10,
317140,72,"to hit",bonu,,,,
317141,73,"to steal",mana'o,,,"1,58",
317142,74,"to kill",gorat,,,,
317143,74,"to kill",kora,,,,
317144,75,"to die, be dead",mate,,,1,
317145,76,"to live, be alive",mori,,,"1,76",
317146,78,"to cut, hack",kasai,,,,
317147,78,"to cut, hack",klobu,,,,
317148,78,"to cut, hack",latu,,,,
317149,78,"to cut, hack",lora,,,,
317150,78,"to cut, hack",ta,,,1,
317151,81,sharp,hati,"Also mela 'sharp, having a point'",,94,
317152,82,"dull, blunt",komote,,,,
317153,84,"to plant",grua,"Cognate with Tetun kuda",,27,
317154,90,"to dig",deka,,,,
317155,90,"to dig",kali,,,1,
317156,91,"to buy",ala,,,61,
317157,92,"to open, uncover",loe,,,6,
317158,93,"to pound, beat",tutu,,,20,
317159,94,"to throw",ledu,,,,
317160,94,"to throw",mtei,,,108,
317161,95,"to fall",mdou,,,,
317162,95,"to fall",blasi,,,107,
317163,95,"to fall",doi,,,,
317164,96,dog,asu,,,1,
317165,97,bird,manu,"Especially domesticated fowl",,1,
317166,98,egg,telo,,,1,
317167,101,"to fly",tebe,,,,
317168,102,rat,laho,,,1,
317169,103,meat/flesh,sisi,,,,
317170,105,tail,iko,,,,
317171,106,snake,nipe,,,,
317172,106,snake,ula,,,,
317173,108,louse,kutu,,,1,
317174,109,mosquito,kanamu,,,,
317175,111,fish,ika,,,,
317176,112,rotten,broe,,,,
317177,113,branch,tolo,,,,
317178,114,leaf,roa,,,,
317179,115,root,ramut,,,,
317180,116,flower,hetu,,,,
317181,117,fruit,hu,,,,
317182,118,grass,gu,,,,
317183,118,grass,moro,,,,
317184,119,earth/soil,rae,,,,
317185,120,stone,hatu,,,,
317186,121,sand,egor,,,,
317187,122,water,e,,,,
317188,124,sea,tasi,,,,
317189,125,salt,sia,,,,
317190,127,woods/forest,"kai lara",,,,
317191,129,moon,hula,,,,
317192,130,star,hitu,,,,
317193,131,cloud,sabaite,,,,
317194,133,rain,ura,,,1,
317195,134,thunder,bira,,,,
317196,136,wind,gelu,,,,
317197,137,"to blow",poo,,,,
317198,138,warm,bana,,,,
317199,139,cold,tukudu,,,,
317200,140,dry,seu,,,,
317201,141,wet,broe,,,,
317202,141,wet,tita,,,,
317203,143,fire,api,,,,
317204,144,"to burn",doso,,,,
317205,144,"to burn",tunu,,,1,
317206,145,smoke,kupu,,,,
317207,147,black,meta,,,,
317208,148,white,migia,,,,
317209,149,red,meo,,,,
317210,150,yellow,megee,,,,
317211,151,green,masi,"mogorot also means raw",,,
317212,151,green,mogorot,unripe,,,
317213,152,small,bruma,,,,
317214,152,small,keru,,,,
317215,153,big,a'e,,,,
317216,154,short,bloko,,,"54,93",
317217,155,long,manaru,,,,
317218,157,thick,kobokar,,,,
317219,158,narrow,kemeat,,,,
317220,160,"painful, sick",gro'a,,,,
317221,161,"shy, ashamed",makae,,,,
317222,162,old,mutu'u,,,,
317223,163,new,heu,,,,
317224,164,good,bloi,,,,
317225,165,"bad, evil",kalao,,,,
317226,166,"correct, true",tu'o,,,,
317227,167,night,buta,,,,
317228,168,day,aer,,,,
317229,169,year,to,,,,
317230,170,when?,apipe,,,,
317231,171,"to hide",buni,,,,
317232,172,"to climb",sae,,,,
317233,172,"to climb",kodopa,,,,
317234,173,at,la,,,2,
317235,174,"in, inside",lara,,,,
317236,177,this,kde'e,,,,
317237,178,that,u'u,,,,
317238,179,near,segi,,,,
317239,180,far,kro,,,,
317240,181,where?,hermane,,,,
317241,182,I,a,,,,
317242,183,thou,ko,,,,
317243,184,he/she,u,,,,
317244,185,we,kiti,,,,
317245,185,we,kami,,,,
317246,186,you,kimi,,,,
317247,187,they,ro,,,,
317248,188,what?,seta,,,,
317249,189,who?,seni,,,,
317250,190,other,selo,,,,
317251,195,"no, not",tai,,,,
317252,196,"to count",parae,,,,
317253,197,One,iso,,,1,
317254,198,Two,ru,,,1,
317255,199,Three,telu,,,1,
317256,200,Four,pat,,,1,
317257,201,Five,lim,,,1,
317258,202,Six,hohoniso,+1,,,
317259,203,Seven,hohopat,+2,,,
317260,204,Eight,hohotelu,+3,,,
317261,205,Nine,hohopat,+4,,,
317262,206,Ten,sagulu,,,"5,42",
317263,207,Twenty,"sakui ru",,,,
317264,209,"One Hundred",atus,,,,
317265,210,"One Thousand",rihun,,,,
