id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1381,Pitilu,"Smythe and Z'Graggen (1975)",lek,leip1237,"Smythe, William E. and Z'Graggen, J. (1975). Comparative Wordlists of the Admiralty Island Languages. Workpapers in New Guinea Languages, SIL: Ukarumpa, Papua New Guinea.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Admiralty Islands, Eastern, Manus, East","Kwang-Ju Cho",,"@article{317042,  journal    = {Workpapers in New Guinea Languages},  pages      = {117-216},  year       = {1975},  title      = {Comparative wordlists of the Admiralty Islands languages, collected by W.E. Smythe},  volume     = {14},  added      = {2009-06-04 18:39:03 -0400},  bibtexkey  = {smythe-zgraggen_admiralty-smythend},  hhtype     = {comparative},  inlg       = {English [eng]},  modified   = {2009-06-04 18:40:12 -0400},  src        = {bowern},  srctrickle = {bowern#smyzgr75},  author     = {Smythe, William and Z’graggen, J.A.}}"
latitude,longitude
-1.96650000000000000000,147.22600000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
319570,1,hand,nimu-,hand,,"1,66",
319572,4,leg/foot,giŋa,leg,,,
319596,6,road/path,djal,road,,1,
319636,7,"to come",me,come,,1,
319637,9,"to swim",ge-njihi,swim,,,
319577,12,skin,guluhi-n,skin,,1,
319573,14,belly,burua-n,belly,,52,
319576,15,bone,nⁿrui-ju,bone,,2,
319575,17,liver,dje-n,liver,,1,
319574,18,breast,susu-n,breast,,1,
319571,19,shoulder,gahia-n,shoulder,,103,
319564,24,head,bubile-ju,head,,,
319567,27,nose,ŋo-m,nose,,29,
319569,31,tooth,lihi-ju,tooth,,"1,35",
319568,32,tongue,garame-ju,tongue,,"7, 14",
319647,34,"to cry",dileŋ,weep,,19,
319638,35,"to vomit",romot,vomit,,1,
319643,37,"to eat",guni,eat,,21,
319644,40,"to drink",mwi,drink,,"1,60",
319565,43,ear,ndeleŋa-n,ear,,1,
319641,44,"to hear",roŋe,hear,,1,
319566,45,eye,mendje-ju,eye,,,
319640,46,"to see",djeluŋe,see,,,
319633,49,"to lie down",mender,"lie down",,37,
319648,50,"to dream",mihni,dream,,"1, 37",
319634,52,"to stand",djenum,stand,,,
319548,54,man/male,nⁿramat,man,,"12, 14",
319585,54,man/male,gemel,male,,9,
319549,55,woman/female,bihin,woman,,"1, 106",
319561,58,wife,namᵐʙulu-m,wife,,10,
319563,59,mother,"hinjano (my)",mother,,,
319562,60,father,djime-n,father,,1,
319594,61,house,wum,house,,1,
319578,63,name,ŋare-ju,name,,1,
319591,65,rope,was,rope,,27,
319646,70,"to shoot",sei,shoot,,38,
319645,72,"to hit",diː,strike,,51,
319635,75,"to die, be dead",mit,die,,1,
319642,78,"to cut, hack",djenⁿridi,cut,,8,
319583,96,dog,mwiː,dog,,6,
319579,97,bird,nergan,bird,,51,
319582,98,egg,eldu-n,egg,,"1, 4",
319580,99,feather,lemun,feather,,4,
319581,100,wing,"lime nergan",wing,,79,
319589,104,fat/grease,ndihin,fat,,87,
319584,105,tail,golibe-n,tail,,8,
319587,108,louse,gut,louse,,1,
319588,109,mosquito,njam,mosquito,,1,
319586,111,fish,niː,fish,,1,
319590,114,leaf,"lou gIi",leaf,,1,
319600,120,stone,bat,stone,,1,
319598,121,sand,mderuon,sand,,"1,69",
319603,122,water,nⁿran,water,,1,
319597,124,sea,ndas,sea,,1,
319602,127,woods/forest,lolohou,bush,,"31,112",
319599,128,sky,gedun,sky,,,
319595,129,moon,mᵐʙul,moon,,1,
319601,130,star,bidi,star,,1,
319604,133,rain,baŋ,rain,,5,
319639,135,lightning,nⁿremelah,lightning,,90,
319592,143,fire,mwan,fire,,4,
319593,146,ash,maŋah,ashes,,,
319621,148,white,biren,white,,7,
319620,149,red,remen,red,,12,
319619,152,small,narhin,small,,136,
319622,155,long,eluen,long,,12,
319626,156,thin,"onⁿruwi/n bon",thin,,51,
319649,160,"painful, sick",mit,sick,,105,
319625,161,"shy, ashamed","mᵐʙuleju imadji",ashamed,,"1,78",
319624,162,old,djagin,old,,8,
319623,163,new,mahun,new,,"1,38",
319617,164,good,hujan,good,,1,
319618,165,"bad, evil",muman,bad,,7,
319627,166,"correct, true",neŋen,true,,88,
319630,167,night,gor-buŋ,night,,1,
319650,171,"to hide",redj,hide,,48,
319631,174,"in, inside",loburua-n,inside,,"1,6",
319550,182,I,ju,I,,"1,21",
319551,183,thou,wi,thou,,1,
319552,184,he/she,i,he,,1,
319553,185,we,du,we(ex),,,
319554,185,we,wuderumadji,we(in),,,
319557,185,we,diru,we(dl.ex.),,,
319558,185,we,woderu,we(dl.in.),,,
319555,186,you,wudu,ye,,"1,25,32",
319559,186,you,wuru,you(dl),,x,
319556,187,they,re,they,,61,
319560,187,they,ro,they(dl),,x,
319629,188,what?,dja,what,,1,
319628,189,who?,wesi,who,,,
319632,195,"no, not",buIn,not,,9,
319605,197,One,djix,one,,56,
319606,198,Two,marui,two,,1,
319607,199,Three,madjalo,three,,1,
319608,200,Four,mahah,four,,1,
319609,201,Five,malime,five,,1,
319610,202,Six,mawono,six,,1,
319611,203,Seven,mandadjolo,seven,,22,
319612,204,Eight,mandurui,eight,,31,
319613,205,Nine,mandudix,nine,,37,
319614,206,Ten,masuŋol,ten,,5,
319615,209,"One Hundred",masiŋet,hundred,,"4,38",
319616,210,"One Thousand",manⁿrubou,thousand,,47,
