id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1385,Lebei,"Smythe and Z'Graggen (1975)",tlx,kheh1237,"Smythe, William E. and Z'Graggen, J. (1975). Comparative Wordlists of the Admiralty Island Languages. Workpapers in New Guinea Languages, SIL: Ukarumpa, Papua New Guinea.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Admiralty Islands, Eastern, Manus, West","Kwang-Ju Cho",,"@article{317042,  journal    = {Workpapers in New Guinea Languages},  pages      = {117-216},  year       = {1975},  title      = {Comparative wordlists of the Admiralty Islands languages, collected by W.E. Smythe},  volume     = {14},  added      = {2009-06-04 18:39:03 -0400},  bibtexkey  = {smythe-zgraggen_admiralty-smythend},  hhtype     = {comparative},  inlg       = {English [eng]},  modified   = {2009-06-04 18:40:12 -0400},  src        = {bowern},  srctrickle = {bowern#smyzgr75},  author     = {Smythe, William and Z’graggen, J.A.}}"
latitude,longitude
-2.06630000000000000000,146.74600000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
319997,1,hand,liːme,hand,,1,
319999,4,leg/foot,djiːʔe,leg,,57,
320024,6,road/path,djaːŋ,road,,1,
320065,7,"to come",me,come,,1,
320066,9,"to swim",itjuh,swim,,42,
320004,12,skin,djuːle-ŋ,skin,,,
320000,14,belly,ilo-n,belly,,,
320003,15,bone,djuwe-ŋ,bone,,2,
320002,17,liver,ide-n,liver,,1,
320001,18,breast,daːboh,breast,,48,
319998,19,shoulder,buse-n,shoulder,,102,
319991,24,head,betju-n,head,,9,
319994,27,nose,nuʔ-o,nose,,29,
319996,31,tooth,lihe-ŋ,tooth,,"1,35",
319995,32,tongue,gelime,tongue,,"7, 14",
320076,34,"to cry",deːŋ,weep,,1,
320067,35,"to vomit",muh,vomit,,1,
320072,37,"to eat",aŋ,eat,,1,
320073,40,"to drink",ʔuŋ,drink,,"1, 50",
319992,43,ear,djinne,ear,,48,
320070,44,"to hear",huːleŋ,hear,,"1, 54",
319993,45,eye,"muto (my)",eye,,1,
320069,46,"to see",mme,see,,115,
320062,49,"to lie down",niːsiŋ,"lie down",,,
320077,50,"to dream",ʔimmi,dream,,"1, 37",
320063,52,"to stand",duliki,stand,,,
319976,54,man/male,djaːmou,man,,,
320012,54,man/male,gemeːŋ,male,,9,
319977,55,woman/female,bisi,woman,,,
319988,58,wife,"bisih tjiː",wife,,91,
319990,59,mother,ʔsunu-n,mother,,,
319989,60,father,dumo-m,father,,1,
320022,61,house,osu,house,,32,
320005,63,name,suro-ŋ,name,,5,
320019,65,rope,rigep,rope,,83,
320075,70,"to shoot",gih,shoot,,,
320074,72,"to hit",bwiːk,strike,,110,
320064,75,"to die, be dead",mwek,die,,1,
320071,78,"to cut, hack",saːni,cut,,,
320010,96,dog,mwiː,dog,,6,
320006,97,bird,seːrih,bird,,8,
320009,98,egg,lasu-n,egg,,91,
320007,99,feather,"nemis seri",feather,,4,
320008,100,wing,"djiːʔe seri",wing,,,
320016,104,fat/grease,nomwoŋ,fat,,11,
320011,105,tail,gouʔi-ŋ,tail,,70,
320017,106,snake,mwok,snake,,12,
320014,108,louse,guːx,louse,,1,
320015,109,mosquito,naːbiŋ,mosquito,,93,
320013,111,fish,niː,fish,,1,
320018,114,leaf,luːgek,leaf,,16,
320028,120,stone,boh,stone,,1,
320026,121,sand,oŋ,sand,,1,
320031,122,water,bWo,water,,45,
320025,124,sea,lodjeŋ,sea,,63,
320030,127,woods/forest,ladjaːgei,bush,,"2,121",
320027,128,sky,ligine,sky,,,
320023,129,moon,bwIːŋ,moon,,1,
320029,130,star,nⁿrau,star,,11,
320032,133,rain,neniŋ,rain,,6,
320068,135,lightning,gutu,lightning,,,
320020,143,fire,djiːh,fire,,1,
320021,146,ash,itjedjih,ashes,,,
320048,147,black,bwiʔitoŋ,black,,87,
320050,148,white,beleŋ,white,,7,
320049,149,red,djaːjuːm,red,,109,
320047,152,small,gape,small,,9,
320051,155,long,lowen,long,,12,
320055,156,thin,djuwinne,thin,,51,
320078,160,"painful, sick",ginⁿrei,sick,,9,
320054,161,"shy, ashamed",bwele-mmah,ashamed,,1,
320053,162,old,bisimuno,old,,,
320052,163,new,djimele,new,,,
320045,164,good,laboŋ,good,,126,
320046,165,"bad, evil",djaʔiŋ,bad,,8,
320056,166,"correct, true",niːdju(p),true,,90,
320059,167,night,bIːn,night,,1,
320079,171,"to hide",duːŋ,hide,,47,
320060,174,"in, inside",loŋ,inside,,"1,72",
319978,182,I,dju,I,,"1,21",
319979,183,thou,ou,thou,,1,
319980,184,he/she,i,he,,1,
319981,185,we,dugu,we(ex),,,
319982,185,we,dudjeʔeːri,we(in),,,
319984,185,we,edeːlu,we(dl.ex.),,,
319985,185,we,du,we(dl.in.),,,
319986,186,you,axnulowiːp,you(dl),,x,
319983,187,they,sudjeʔeːri,they,,,
319987,187,they,ejeːru,they(dl),,x,
320058,188,what?,hebele,what,,1,
320057,189,who?,are,who,,1,
320061,195,"no, not",baːle,not,,,
320033,197,One,oːri,one,,56,
320034,198,Two,luo,two,,1,
320035,199,Three,toloh,three,,1,
320036,200,Four,haːhu,four,,1,
320037,201,Five,liːme,five,,1,
320038,202,Six,djahaːhu,six,,1,
320039,203,Seven,djodoloh,seven,,22,
320040,204,Eight,djolue,eight,,31,
320041,205,Nine,djoʔeri,nine,,37,
320042,206,Ten,rono,ten,,45,
320043,209,"One Hundred",ranat,hundred,,"4,38",
320044,210,"One Thousand",rohop,thousand,,,
