id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1394,"Sissano (Arop dialect)","(1) Malcolm Ross, fieldnotes (2) Whiteacre (n.d.), (3) Whiteacre (1986)",sso,siss1243,"(1) Malcolm Ross, fieldnotes(2) Steve Whiteacre, n.d., Electonic dictionary of Malol Sissano.(3) Whitacre, Steve, 1986. Arop/Sissano grammar essentials.  Unpublished ms, Summer Institute of Linguistics, Ukarumpa. http://www-01.sil.org/pacific/png/.","Before the devastating tsunami of 17 July 1998, two dialects of Sissano, namely Arop and Malol, were spoken on Sissano lagoon. The present situation is not known. The data in this list are pre-1998 and are drawn mainly from Ross's Arop wordlist. However, the presence of a number of homonyms in the list, some of them loans from the Papuan language One (e.g. pelen 'dog') suggests that at some point either data from different Arop hamlets have been mixed (on this see Laycock in OL 12:245–278) or that some items from Ross's Malol list have been included in the file from which the data here were extracted. Some gaps have been filled from Whiteaceres lectonic dictionary of Malol. These are marked by an annotation.","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Schouten, Siau","Malcolm Ross","Malcolm Ross","@misc{Ross-1394-2016,  author = \"Malcolm Ross\",  date = \"2016\",  howpublished = \"personal communication\"}@misc{WhiteacreND,  title        = {Electronic dictionary of Malol Sissano},  date         = {n.d.},  publisher    = {Summer Institute of Linguistics},  location     = {Ukarumpa},  howpublished = {ms},  author       = {Whiteacre, Steven}}@misc{Whiteacre1986,  title        = {Arop/Sissano grammar essentials},  date         = {1986},  publisher    = {Summer Institute of Linguistics},  location     = {Ukarumpa},  howpublished = {ms},  author       = {Whiteacre, Steven}}"
latitude,longitude
-3.01980000000000000000,142.04900000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
321202,1,hand,awen-lapa-n,,,62,
321203,2,left,kok,,,,
321204,3,right,palau,,,,
321205,4,leg/foot,tawiən,,,,
321206,5,"to walk",tak-wa,,,70,
321207,6,road/path,taltaniən,,,1,
321208,7,"to come",ka-ma,,,1,
321209,9,"to swim",tak-moc,,,,
321210,9,"to swim",tak-yiəs,,,19,
321211,10,dirty,tenceñ,,,,
321212,11,dust,aroñ,,,,
321213,12,skin,ali-n,,,1,
321214,14,belly,lapoən,,,,
321215,15,bone,tawun,,,"1,10",
321216,16,intestines,wari-ñ,,,20,
321217,18,breast,tus,,,1,
321218,19,shoulder,aya-n,,,,
321219,23,blood,tanii,,,,
321220,24,head,naʔu-n,,,,
321221,24,head,rapuən,,,43,
321222,25,neck,taro-n,"Whiteacre dictionary",,,
321223,26,hair,rami-ənro-ñ,,,,
321224,27,nose,uən,,,1,
321225,28,"to breathe",takec-waryiñ,,,,
321226,29,"to sniff, smell",tak-mus,,,,
321227,30,mouth,takuən-tal,,,,
321228,31,tooth,.aliən,,,10,
321229,32,tongue,waliən,,,,
321230,33,"to laugh",tak-nau,,,,
321231,34,"to cry",tañ,,,1,
321232,35,"to vomit",tak-oloən,,,7,
321233,35,"to vomit",tatrai,,,,
321234,37,"to eat",-ʔañ,,,1,
321235,39,"to cook",-nas,"Whiteacre dictionary",,3,
321236,40,"to drink",-eñ,,,1,
321237,41,"to bite",ka-ʔal,,,"38,73",
321238,43,ear,tanerapon,,,,
321239,44,"to hear",tak-lon..,,,"1, 36",
321240,45,eye,talaku-ən,,,,
321241,46,"to see",tak-niau,,,,
321242,46,"to see",tak-ʔil,,,119,
321243,47,"to yawn",mamam-tak-ʔañ,,,"19, 3",
321244,48,"to sleep",ayuənmo-ñ,,,,
321245,49,"to lie down",kon,"Whiteacre dictionary",,1,
321246,50,"to dream",ka-niau,,,,
321247,51,"to sit",tak-men,,,,
321248,52,"to stand",tak-to..,,,2,
321249,53,"person/human being",nilamat,,,"1,66",
321250,54,man/male,waru,man,,116,
321251,54,man/male,waruau,man,,116,
321252,55,woman/female,tameñ,,,"1,98",
321253,56,child,tontun,,,"5,36",
321254,57,husband,awuən,,,2,
321255,58,wife,tɛmiñ,"Whiteacre dictionary",,,
321256,59,mother,tanien,,,1,
321257,60,father,tama-n,,,1,
321258,61,house,ano,,,7,
321259,62,thatch/roof,piroñ,"Whiteacre dictionary",,,
321260,63,name,aʔa-n,,,"1,18",
321261,66,"to tie up, fasten",-wai,"Whiteacre dictionary",,,
321262,67,"to sew",tak-ai,,,2,
321263,69,"to hunt",tak-loi,,,,
321264,71,"to stab, pierce",ka-ʔotol,,,,
321265,71,"to stab, pierce",tak-sewar,,,,
321266,72,"to hit",ka-la,,,,
321267,72,"to hit",ka-tau,,,,
321268,73,"to steal",-tana,"Whiteacre dictionary",,,
321269,74,"to kill",ka-so,,,,
321270,75,"to die, be dead",ka-mat,,,1,
321271,77,"to scratch",tak-nau,,,,
321272,77,"to scratch",tarki,,,,
