id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1402,"Na'axai (Malfaxal) 162-84","Aviva Shimelman",mlx,malf1237,"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as \"dʳ\".",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Malekula Coastal","Aviva Shimelman","Aviva Shimelman","@misc{Shimelman-1402-2016,  author = \"Aviva Shimelman\",  date = \"2016\",  howpublished = \"personal communication\"}"
latitude,longitude
-16.54990000000000000000,167.50900000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
321833,1,hand,nɪ-varə-m,,,16,
321860,2,left,ni-mʷir,,,"1,59",
321886,3,right,ᵐbarəŋin,,,30,
321913,4,leg/foot,nɪ-ᵐbulɛ-m,,,33,
321939,5,"to walk",ᵑga-loŋ,,,60,
321988,7,"to come",ᵑga-mi,,,1,
322012,8,"to turn",ka-viɣɪs,,,31,
322036,9,"to swim",ka-ŋar,,,5,
322058,10,dirty,no-morloʰ,,,43?,
322127,13,back,na-taɣo-m,,,12,
322151,14,belly,naᵐbaɣavu-m,,,66,
322177,15,bone,ni-ᵐbulᵐbul,,,52,
322202,16,intestines,na-aɣut,,,83,
322224,17,liver,na-mam(nəm)m),,,7,
322246,18,breast,nɪ-susu-m,,,1,
322270,19,shoulder,na-ᵐbatɣavə-m,,,"65,87",
322293,22,"to fear",-mataɣtax,,,1,
322319,23,blood,næ-ⁿdaʰ,,,1,
322344,24,head,na-ᵐbatu-m,,,9,
322369,25,neck,nu-ⁿdəlo-m,,,42,
322393,26,hair,no-ɣosvul,,,"31, 33",
322417,27,nose,nɪ-ᵑginhu-m,,,"1,58",
322441,28,"to breathe",-ᵑgarŋar,,,13,
322466,29,"to sniff, smell",no-ᵐbo-n,,,42,
322490,30,mouth,no-ᵐboɣo-m,,,41,
322516,31,tooth,ni-livo-m,,,"1,35",
322542,32,tongue,na-malamɳi-n,,,30,
322567,33,"to laugh",ᵑga-man,,,51,
322592,34,"to cry",ᵑga-ten,,,1?,
322618,35,"to vomit",ᵑga-lulu,,,8,
322643,36,"to spit",ni-pure,,,"35, 86, 96",
322667,37,"to eat",ᵑga-kan,,,1,
322707,39,"to cook",ᵑga-saŋ,,,87,
322731,40,"to drink",ᵑga-mʉn,,,"1,49",
322758,43,ear,na-ⁿdalɪŋa-n,,,"1, 40",
322783,44,"to hear",ᵑga-roŋ,,,1,
322807,45,eye,næ-mæta-m,,,1,
322831,46,"to see",ᵑga-lɪs,,,"14, 94",
322854,47,"to yawn",-momolɪn,,,"19, 34",
322880,48,"to sleep",ᵑga-pas,,,86,
322901,49,"to lie down","ᵑga-pas ⁿdeo",,,"25, 62",
322923,50,"to dream",nɪ-ᵐbʷare,,,10,
322949,51,"to sit",ᵑga-sumb,,,40,
322974,52,"to stand",ᵑga-tur,,,"2, 69",
322989,53,"person/human being",ni-liɳam,,,,
323006,54,man/male,na-ᵐbaᵐbariŋin,,,117,
323032,55,woman/female,"ni-vin aiwut",,,103,
323057,56,child,ni-uᵐbunon,,,81,
323081,57,husband,nu-mʷoɣaiwut,,,67,
323103,58,wife,nu-mʷovɪnaiwut,,,"5, 89",
323127,59,mother,ᵑgiai,,,91,
323151,60,father,tata,,,19,
323176,61,house,ni-um,,,1,
323200,62,thatch/roof,ni-at,,,1,
323225,63,name,na-aɣa-m,,,37,
323250,64,"to say",ka-pe,,,"13, 103",
323274,65,rope,ni-ɛɣeo,,,25,
323300,66,"to tie up, fasten",ᵑga-ɣos,,,77,
323335,69,"to hunt",ᵑga-sal,,,30,
323359,70,"to shoot",ᵑga-bini,,,"1, 37",
323406,72,"to hit",ka-orᵐʙun,,,94?,
323432,73,"to steal",ka-vanaχ,,,"1,58",
323458,74,"to kill","ka-orᵐʙun a-mas",,,"88, 1, 2",
323485,75,"to die, be dead","i-mas (ᵐʙun)",,,1,
323511,76,"to live, be alive",i-meor,,,"1, 76",
323535,77,"to scratch",ᵑga-oiɣoi,,,75,
323560,78,"to cut, hack",ᵑga-tiri,,,1,
323587,79,stick/wood,na-ɣai,,,1,
323636,81,sharp,na-kan,,,14,
323656,82,"dull, blunt",i-mah,,,34,
323680,83,"to work",ka-rax,,,46,
323706,84,"to plant",ᵑga-kor,,,69,
323731,87,"to swell",i-timb,,,12,
323756,88,"to squeeze",ᵑga-ᵐbus,,,"18, 71",
323779,89,"to hold",ᵑga-vorvor,,,34,
323804,90,"to dig",ᵑga-ɣil,,,1,
323830,91,"to buy",ᵑga-pul,,,1,
323855,92,"to open, uncover",ᵑga-sɪsivan,,,24,
323878,93,"to pound, beat",ᵑga-uras,,,60,
323904,94,"to throw",ᵑga-kom,,,85,
323928,95,"to fall",i-ᵐbah,,,97,
323953,96,dog,ni-kiliu,,,"7, 77, 80",
323979,97,bird,na-man,,,1,
324005,98,egg,na-manlunto,,,"83,1?",
324030,99,feather,no-ᵐbonᵐbo-n,,,25,
324054,100,wing,nɛ-vɛm(na-n),,,1,
324076,101,"to fly",ivɛm,,,46,
324098,102,rat,na-ɣahup,,,3,
324118,103,meat/flesh,ni-vɪɣɔh,,,10,
324140,105,tail,ni-ᵐʙusin,,,76,
324164,106,snake,na-mʷat,,,12,
324186,107,"worm (earthworm)",nu-ⁿdulas,,,"68, 64",
324210,108,louse,no-ɣot,,,1,
324233,109,mosquito,nɛ-teoɣas,,,"38, 48",
324255,110,spider,nɪ-ŋɛŋeo,,,"8,79",
324277,111,fish,na-mahal,,,52,
324302,112,rotten,i-mom,,,51,
324327,113,branch,na-ᵐbal(næn),,,57,
324352,114,leaf,ne-reun,,,1,
324378,115,root,na-ɣaran,,,"2, 41",
324400,116,flower,na-tavhen,,,"53,57",
324420,117,fruit,na-vʷan,,,"1, 26",
324444,118,grass,ni-mʷini,,,31,
324469,119,earth/soil,na-tan,,,1,
324496,120,stone,na-vat,,,1,
324520,121,sand,ni-ᵐbinon,,,"1, 79",
324543,122,water,no-oi,,,2,
324566,124,sea,na-tas,,,1,
324609,127,woods/forest,ni-ᵐʙunɣai,,,"2, 87",
324629,128,sky,na-map,,,63,
324647,129,moon,ni-vul,,,1,
324670,130,star,na-mʷosoi,,,13,
324694,131,cloud,na-maliŋ,,,34,
324720,133,rain,nu-uh,,,1,
324744,134,thunder,ni-pil,,,,
324769,135,lightning,nu-ŋulum,,,,
324792,136,wind,nɛ-lɛŋ,,,"1, 77",
324814,137,"to blow",i-wup,,,4,
324840,139,cold,na-malɣah,,,51,
324864,140,dry,i-mahamah,,,,
324888,141,wet,i-ⁿdomⁿdom,,,121,
324911,142,heavy,i-ⁿdop,,,14,
