id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1408,"Nasvang (Farun) 162-90","Aviva Shimelman",,nasv1234,"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as \"dʳ\".",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior","Aviva Shimelman","Aviva Shimelman","@misc{Shimelman-1408-2016,  author = \"Aviva Shimelman\",  date = \"2016\",  howpublished = \"personal communication\"}"
latitude,longitude
-16.45820000000000000000,167.63960000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
321836,1,hand,na-vɪra-ŋ,,,16,
321863,2,left,timaɪɾ,,,"1,59",
321889,3,right,taɣawiʰ,,,57,
321916,4,leg/foot,na-ᵐbul-n,,,33,
321942,5,"to walk",-fal,,,10,
321966,6,road/path,sal,,,1,
321991,7,"to come",ka-man,,,1,
322015,8,"to turn",-ⁿdʳiɛu͂,,,34,
322060,10,dirty,-t͡sant͡san,,,26,
322104,12,skin,na-horᵐbɪ-n,,,"1, 80, 71",
322130,13,back,maⁿdʳɪ-n,,,35,
322154,14,belly,na-ᵐbaɣavu-ŋk,,,66,
322180,15,bone,ᵐʙulᵐʙul,,,58,
322205,16,intestines,nɪ-ʧɪnana-ŋk,,,1,
322226,17,liver,maᵐbun,,,7,
322249,18,breast,na-ʤuʃu-n,,,1,
322296,22,"to fear",na-mɪrax,,,1,
322322,23,blood,ⁿdʳai,,,1,
322347,24,head,ᵐbʷarɪ-ŋk,,,9,
322372,25,neck,xaluwa-ŋk,,,102,
322420,27,nose,na-ᵑgursu-ŋk,,,"1,58,55",
322444,28,"to breathe","-prɪvɪn laŋ",,,"77, 78",
322468,29,"to sniff, smell",na-ᵐbon,,,42,
322493,30,mouth,na-ᵐbuŋo-ŋ,,,41,
322519,31,tooth,naluvo-ŋ,,,"1,35",
322545,32,tongue,maluwu-n,,,"7, 42",
322570,33,"to laugh",na-mɪn,,,51,
322595,34,"to cry",na-raŋ,,,1,
322621,35,"to vomit",na-luʰ,,,8,
322646,36,"to spit",na-purai,,,"35, 86, 96",
322670,37,"to eat",na-kan,,,1,
322691,38,"to chew",na-ŋas,,,12,
322710,39,"to cook",na-panun,,,21,
322734,40,"to drink",na-mun,,,"1,49",
322761,43,ear,ⁿdɛliŋa-nx,,,"1, 40",
322786,44,"to hear",na-gitoŋ,,,1,
322810,45,eye,na-mərə-n,,,1,
322833,46,"to see",-lɪs,,,"14, 94",
322857,47,"to yawn",na-malon,,,"19, 34",
322883,48,"to sleep",na-paʧ,,,86,
322904,49,"to lie down",tɪtemaⁿdʳ,,,87,
322926,50,"to dream",na-ᵐboroi,,,10,
322952,51,"to sit",-somsomɸ,,,40,
322977,52,"to stand",na-tɪtɪraŋ,,,56,
323009,54,man/male,marar,,,73,
323035,55,woman/female,na-plevʊr,,,103,
323059,56,child,na-rare,,,70?,
323084,57,husband,"asin marar",,,68,
323106,58,wife,"asin plevʊr",,,"5, 89",
323130,59,mother,nanah,,,"1,83",
323154,60,father,tata,,,19,
323178,61,house,na-likalim,,,"1, 74",
323203,62,thatch/roof,rear,,,"1, 61",
323228,63,name,naɣsɪn,,,"1, 35",
323253,64,"to say",ka-kal,,,105,
323277,65,rope,na-ɣauʰ,,,25,
323303,66,"to tie up, fasten",ka-pɪs,,,32,
323338,69,"to hunt",ka-kao,,,77,
323362,70,"to shoot",ka-vəni,,,1,
323385,71,"to stab, pierce",ka-ʧəx,,,14,
323435,73,"to steal",igi-vɪnax,,,"1,58",
323461,74,"to kill","-tamʊs ɪᵐbʊn",,,"64, 1",
323488,75,"to die, be dead",i-mæt͡s,,,1,
323514,76,"to live, be alive",i-maor,,,"1, 76",
323537,77,"to scratch",-hoioɣoi,,,75,
323563,78,"to cut, hack",ɪᵑgi-ʧaɸ,,,40,
323590,79,stick/wood,na-ɣai,,,1,
323614,80,"to split",ɪᵑgi-ʧapor,,,"4, 6",
323639,81,sharp,i-kan,,,14,
323659,82,"dull, blunt",i-ᵐʙʊt,,,15,
323683,83,"to work",-ᵑgas,,,9,
323709,84,"to plant",ka-lum,,,62,
323734,87,"to swell",i-tʊᵐʙ,,,12,
323759,88,"to squeeze",ka-ᵐʙus,,,"18, 71",
323782,89,"to hold",a-tɪŋao,,,93,
323807,90,"to dig",ka-ɣəl,,,1,
323834,91,"to buy",ka-βul,,,1,
323858,92,"to open, uncover",-ʧəŋavən,,,40,
323906,94,"to throw",ka-ᵐbən,,,85,
323931,95,"to fall",i-ⁿdʳəm,,,42,
323956,96,dog,lipax,,,29,
323982,97,bird,nɪ-mæn,,,1,
324008,98,egg,mavɪⁿdor,,,"1,67",
324033,99,feather,"na-vun (ɪ-mæn)",,,1,
324057,100,wing,na-ɣaᵐbən,,,"1, 12",
324079,101,"to fly",i-sɪwɔx,,,96,
324101,102,rat,xazu,,,3,
324143,105,tail,a-ᵐbəʧɪn,,,76,
324167,106,snake,nɪ-mʷar,,,12,
324189,107,"worm (earthworm)",na-viul,,,,
324213,108,louse,na-hoʤ,,,1,
324236,109,mosquito,nam,,,1,
324258,110,spider,na-ᵑgao,,,6,
324280,111,fish,na-ix,,,1,
324305,112,rotten,i-mom,,,51,
324330,113,branch,paʧɪn,,,30,
324354,114,leaf,raun,,,1,
324381,115,root,na-rn,,,2,
324423,117,fruit,nɪ-fʷan,,,"1, 26",
324447,118,grass,ᵐbaminai,,,,
324472,119,earth/soil,nɪ-ran,,,1,
324499,120,stone,nɪ--var,,,1,
324523,121,sand,na-ᵐbəŋan,,,"1, 79",
324546,122,water,na-ih,,,2,
324569,124,sea,nə-ras,,,1,
324612,127,woods/forest,na-liɣaiɣai,,,"2, 87",
324650,129,moon,na-rəᵐbaʧi,,,6,
324673,130,star,maʧoi,,,13,
324697,131,cloud,nɪ-mæloŋk,,,34,
324723,133,rain,na-us,,,1,
324747,134,thunder,na-vəl,,,,
324772,135,lightning,kaᵐbl,,,"26, 70, 71",
324795,136,wind,nɪ-laŋ,,,"1, 77",
324817,137,"to blow",i-uv,,,4,
324843,139,cold,-malɣas,,,51,
324867,140,dry,"(naur) i-mɪs",,,,
324891,141,wet,-muʧmuʧ,,,49,
324914,142,heavy,i-maɸ,,,33,
324936,143,fire,na-ɣamp,,,19,
324959,144,"to burn",i-paŋ,,,"39, 91",
324981,145,smoke,na-tuŋk,,,94,
325000,146,ash,maʧiaf,,,"1,76",
325021,147,black,i-mermer,,,,
325044,148,white,i-mavʊʧ,,,1,
325067,149,red,-panpaŋ,,,91,
325092,150,yellow,-janjaŋ,,,,
325116,151,green,-kat͡sən,,,8,
325141,152,small,i-maraŋ,,,,
325164,153,big,i-lam,,,"10, 83",
325191,160,"painful, sick",mɪsax,,,1,
325212,161,"shy, ashamed",maməɣan,,,,
325236,162,old,-ɣaivor,,,,
325261,163,new,ivovuh,,,1,
325284,164,good,i-vʷoi,,,108,
325308,165,"bad, evil",i-samb,,,41,
325331,166,"correct, true",i-ləmləm,,,,
325355,167,night,ni-limæloŋk,,,,
325377,168,day,ormɪtas,,,58,
325378,168,day,orɪⁿdas,,,58,
325398,169,year,nasɣau,,,29,
325421,170,when?,t͡samɛrial,,,,
325443,171,"to hide",-suaɣən,,,37,
325466,172,"to climb",ɪᵑgi-sax,,,2,
325488,174,"in, inside",naᵐbulon,,,,
325512,175,above,lɪmʷal,,,10,
325535,176,below,pavʊn,,,,
325558,177,this,xajɛn,,,,
325575,178,that,haizau,,,,
325598,179,near,pɛrʧaŋ,,,94,
325621,180,far,ʧabʷe,,,,
325644,181,where?,haniᵐbɛ,,,"3, 59",
325668,182,I,anaŋ,,,"1,21,22",
325693,183,thou,ajuŋ,,,1,
325717,184,he/she,aɣai,,,"1, 29",
325739,185,we,aⁿdʳat,"we pl incl",,,
325760,185,we,amæⁿdʳ,"we pl excl",,,
325777,185,we,amartu,"we dl incl",,,
325795,185,we,amartu,"we dual excl",,,
325813,186,you,amuⁿdʳ,"you pl",,"1,13",
325831,186,you,amur,"you dual",,x,
325846,187,they,araŋ,they,,,
325863,187,they,amur,"they dual",,x,
325880,188,what?,saŋɛn,,,,
325900,189,who?,asi,,,1,
325924,194,how?,i-kɪnam,,,28,
325945,195,"no, not",ᵐbimar,,,,
325991,197,One,i-t͡sɪgai,,,42,
326014,198,Two,i-ru,,,1,
326037,199,Three,ɛ-rl,,,1,
326060,200,Four,i-vat͡s,,,"1,65",
326083,201,Five,i-lɪm,,,1,
326106,202,Six,ilɪməro-ʧigai,,,29,
326129,203,Seven,ilɪməra-ru,,,"5, 2",
326152,204,Eight,ilɪməra-rl,,,"5, 7",
326172,205,Nine,lɪmɛra-pat͡s,,,,
326194,206,Ten,sɪŋavʊr,,,5,
326209,207,Twenty,"amarar ɪt͡sketu",,,,
326222,208,Fifty,"amarar iruɾ sɪŋavur",,,,
326231,209,"One Hundred","amar ilɪm",,,,
