id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1412,"Uliveo (Lurtes) 162-107","Aviva Shimelman",klv,mask1242,"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as \"dʳ\".",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Malekula Coastal","Aviva Shimelman","Aviva Shimelman","@misc{Shimelman-1412-2016,  author = \"Aviva Shimelman\",  date = \"2016\",  howpublished = \"personal communication\"}"
latitude,longitude
-16.50730000000000000000,167.81800000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
321837,1,hand,vɪla-m,,,16,
321864,2,left,mair,,,"1,59",
321890,3,right,matu,,,"5, 37",
321891,3,right,mado,,,"5, 37",
321917,4,leg/foot,riɛ-m,,,37,
321943,5,"to walk",-jar,,,"10, 63",
321967,6,road/path,nɪ-pisɛl,,,"1, 44",
321992,7,"to come",ho-mai,,,1,
322016,8,"to turn","-per (ɣəni)",,,44,
322038,9,"to swim",-ᵑgar,,,5,
322061,10,dirty,paxsaŋɔ,,,,
322082,11,dust,masiaɸ,,,"1,102",
322105,12,skin,"horxo (ᵐbɪ-m)",,,"1, 80, 71",
322131,13,back,maⁿdʳu-m,,,35,
322155,14,belly,baɣavu-m,,,66,
322181,15,bone,bəlasu-m,,,61,
322206,16,intestines,ni-nɪm,,,74,
322227,17,liver,mamp,,,7,
322250,18,breast,na-zus,,,1,
322273,19,shoulder,ᵐbatɣovɛla-m,,,"65,95",
322297,22,"to fear",mɪtax,,,1,
322323,23,blood,nɪ-nda,,,1,
322348,24,head,kaⁿdʳu-m,,,28,
322373,25,neck,hora-m,,,"18,102?",
322396,26,hair,horo-m,,,31,
322421,27,nose,honozu-m,,,"1,58, 89",
322445,28,"to breathe","-lavɪn laŋ",,,77,
322469,29,"to sniff, smell",mʷo-nuzi,,,65,
322494,30,mouth,ᵐboŋo-m,,,41,
322520,31,tooth,rivo-m,,,"1,35",
322546,32,tongue,meə-m,,,"7, 41",
322571,33,"to laugh",-mæn,,,51,
322596,34,"to cry",-taŋ,,,1,
322622,35,"to vomit",-ru,,,8,
322647,36,"to spit",-pulai,,,"35, 86, 96",
322671,37,"to eat",-han,,,1,
322692,38,"to chew",-ɳazi,,,12,
322711,39,"to cook",-panun,,,110,
322735,40,"to drink",-mun,,,"1,49",
322762,43,ear,dariŋa-m,,,"1, 40",
322787,44,"to hear",-susuloŋ,,,"1, 71",
322811,45,eye,mɪta-n,,,1,
322858,47,"to yawn",-hanɪmao,,,36,
322884,48,"to sleep",-pat,,,86,
322905,49,"to lie down",-tutumaf,,,,
322927,50,"to dream",-ᵐbəᵐbʷer,,,10,
322953,51,"to sit",-ᵐʙutax,,,112,
322978,52,"to stand",-il,,,97,
322991,53,"person/human being",vanuan,,,86,
323010,54,man/male,uluman,,,"1,14",
323036,55,woman/female,pəɣavut,,,103,
323060,56,child,Tðɪðai,,,5,
323085,57,husband,"soan norman",,,"2, 90",
323107,58,wife,"soan paɣavut",,,"64, 100",
323131,59,mother,nana,,,"1,83",
323155,60,father,tata,,,19,
323179,61,house,a-im,,,1,
323204,62,thatch/roof,ni-at,,,1,
323229,63,name,xasa-n,,,"1, 35",
323254,64,"to say",-kele,,,105,
323278,65,rope,nə-ɣao,,,25,
323304,66,"to tie up, fasten",-ᵐbaŋizi,,,83,
323319,67,"to sew",-soⁿde,,,62,
323339,69,"to hunt",-ⁿdas(mowai),,,40,
323363,70,"to shoot",-pɛn,,,"1, 37",
323386,71,"to stab, pierce",-turi,,,14,
323409,72,"to hit",-wazi,,,86,
323436,73,"to steal",-vɪnɔɣi,,,"1,58",
323462,74,"to kill",-waᵐbuni,,,"66, 1",
323463,74,"to kill",-wavuni,,,"66, 1",
323489,75,"to die, be dead",-mæt,,,1,
323515,76,"to live, be alive",-maur,,,"1, 76",
323538,77,"to scratch",-harowi,,,"1, 87",
323564,78,"to cut, hack",-tai,,,1,
323591,79,stick/wood,na-xai,,,1,
323615,80,"to split",-tafuli,,,1,
323616,80,"to split",mabul,,,1,
323640,81,sharp,-kan,,,14,
323660,82,"dull, blunt",ɛ-ᵐbʷit,,,15,
323661,82,"dull, blunt","ɛ- ᵐbʷið",,,15,
323684,83,"to work",-um,,,1,
323710,84,"to plant",-naᵐbʊl,,,70,
323735,87,"to swell",-tʊmb,,,12,
323783,89,"to hold",təŋao,,,93,
323808,90,"to dig",-xəri,,,1,
323835,91,"to buy",-vori,,,1,
323859,92,"to open, uncover",-sɪŋav(ɣeni),,,40,
323881,93,"to pound, beat",-tʊxtoɣi,,,"20, 2",
323907,94,"to throw",-ᵐbʷil(ɣeni),,,86,
323932,95,"to fall",i-tiɛx,,,95,
323957,96,dog,lipax,,,29,
323983,97,bird,nɪ-mæn,,,1,
324009,98,egg,na-vɣodɛ,,,40,
324034,99,feather,vuru-n,,,1,
324058,100,wing,khaᵐbɛla-n,,,"1, 12",
324080,101,"to fly",-mɪlax,,,27,
324102,102,rat,xazu,,,3,
324120,103,meat/flesh,no-ᵑgɔⁿdʳ,,,,
324144,105,tail,ᵑgilɛn,,,39,
324168,106,snake,nɪ-mat,,,12,
324190,107,"worm (earthworm)",tuŋulas,,,"68, 64",
324214,108,louse,na-ɣʊt,,,1,
324237,109,mosquito,nɪ-nam,,,1,
324259,110,spider,liɳɛsɪɳɛs,,,96,
324281,111,fish,a-jɛx,,,1,
324306,112,rotten,to-momf,,,51,
324331,113,branch,pasɣaðe,,,"30,1",
324355,114,leaf,lute,,,38,
324356,114,leaf,luðe,,,38,
324382,115,root,harxɪte,,,2,
324383,115,root,harxəðe,,,2,
324403,116,flower,vʷɪlɣaur,,,,
324424,117,fruit,huiðe,,,,
324425,117,fruit,wide,,,"1, 26",
324448,118,grass,liʉl,,,1,
324473,119,earth/soil,na-tan,,,1,
324474,119,earth/soil,"na- ðan",,,1,
324500,120,stone,nɪ-vat,,,1,
324524,121,sand,biʉn,,,"1, 79",
324547,122,water,nu-wai,,,2,
324570,124,sea,nɪ-tas,,,1,
324590,126,lake,lɪᵐbliᵐbor,,,,
324613,127,woods/forest,liliɣai,,,"2, 87",
324631,128,sky,nɪ-mɪsav,,,63,
324651,129,moon,ɣaᵐbaðie,,,6,
324674,130,star,mʷeso,,,13,
324675,130,star,mʷezɔ,,,13,
324698,131,cloud,mariuŋ,,,34,
324724,133,rain,na-us,,,1,
324748,134,thunder,"næ-ᵐbʷil urur",,,,
