id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1414,"Uliveo (Pescaros) 162-106","Aviva Shimelman",klv,mask1242,"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as \"dʳ\".",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Malekula Coastal","Aviva Shimelman","Aviva Shimelman","@misc{Shimelman-1414-2016,  author = \"Aviva Shimelman\",  date = \"2016\",  howpublished = \"personal communication\"}"
latitude,longitude
-16.50730000000000000000,167.81800000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
321839,1,hand,na-vɛla-m,,,16,
321866,2,left,ni-mair,,,"1,59",
321893,3,right,ni-matu,,,"5, 37",
321919,4,leg/foot,na-riɛ-m,,,37,
321945,5,"to walk",ⁿdati-ar,,,10,
321969,6,road/path,na-pʷisal,,,"1, 44",
321994,7,"to come",ᵑgo-mai,,,1,
322018,8,"to turn","-pair (ɣeni)",,,44,
322040,9,"to swim",-lilos,,,8,
322063,10,dirty,na-ᵐbʷiŋal,,,69,
322084,11,dust,masiaɸ,,,"1,102",
322107,12,skin,xorxuᵐbɛ-m,,,"1, 80,71",
322133,13,back,maⁿdu-m,,,35,
322157,14,belly,na-ᵐbaɣavu-m,,,66,
322183,15,bone,bəlaseɔ-x,,,61,
322208,16,intestines,ni-nɛm,,,74,
322229,17,liver,nɪ-maᵐb,,,7,
322252,18,breast,na-sus,,,1,
322275,19,shoulder,ᵐbatɣovoso-m,,,"65,71",
322299,22,"to fear",mɪtax,,,1,
322325,23,blood,nɛ-nda,,,1,
322350,24,head,nɛ-kaⁿdu-m,,,28,
322375,25,neck,na-ɣoloa-m,,,"18,102",
322398,26,hair,na-vuru-m,,,31,
322423,27,nose,xonusu-m,,,"1,58, 89",
322447,28,"to breathe",-suŋavuŋaɸ,,,69,
322470,29,"to sniff, smell",no-ᵐbon,,,42,
322496,30,mouth,na-ᵐboŋom,,,41,
322522,31,tooth,na-rifo-m,,,"1,35",
322548,32,tongue,na-mea-m,,,"7, 41",
322573,33,"to laugh",ku-mæn,,,51,
322598,34,"to cry",ku-taŋ,,,1,
322624,35,"to vomit",ko-ru,,,8,
322673,37,"to eat",-xani,,,1,
322694,38,"to chew",-ɳasi,,,12,
322713,39,"to cook",-panun,,,110,
322737,40,"to drink",-muni,,,"1,49",
322764,43,ear,ⁿdariŋa-m,,,"1, 40",
322789,44,"to hear",-susuloŋ,,,"1, 71",
322813,45,eye,na-mɪta-m,,,1,
322835,46,"to see",-resi,,,"14, 94",
322860,47,"to yawn",-xanɪmao,,,36,
322886,48,"to sleep",-pat,,,86,
322929,50,"to dream","(pat ris) na—ᵐbuᵐbʷer",,,10,
322955,51,"to sit","kɪ-ᵐʙutax (vipan)",,,112,
322980,52,"to stand","ke-il (viməɣat)",,,97,
322993,53,"person/human being",nɪ-fanuan,,,86,
323012,54,man/male,na-uluman,,,"1,14",
323038,55,woman/female,na-pʊɣavut,,,103,
323062,56,child,na-tɪtai,,,5,
323087,57,husband,"fanuan sa-m",,,,
323109,58,wife,"a-suam paɣavut",,,"64, 100",
323133,59,mother,nana,,,"1,83",
323157,60,father,tata,,,19,
323181,61,house,na-im,,,1,
323206,62,thatch/roof,ni-at,,,1,
323231,63,name,na-ɣəsa-m,,,"1, 35",
323256,64,"to say",ki--kele,,,105,
323280,65,rope,na-ɣao,,,25,
323320,67,"to sew",ᵑgi-ʃoⁿde,,,62,
323340,69,"to hunt","-ⁿdoŋ (na-ᵐʙuai)",,,,
323365,70,"to shoot",-fini,,,1,
323388,71,"to stab, pierce",-turi,,,14,
323411,72,"to hit",-fanᵐʙuni,,,94?,
323438,73,"to steal",-fɪnoɣi,,,"1,58",
323465,74,"to kill","-fanʙuni ti-mat",,,"66, 1, 2",
323491,75,"to die, be dead",i--mat,,,1,
323517,76,"to live, be alive",i--maur,,,"1, 76",
323540,77,"to scratch",ka-ruvkukuwi,,,"1, 87",
323566,78,"to cut, hack",-tai,,,1,
323593,79,stick/wood,na-ɣai,,,1,
323618,80,"to split",-tapuli,,,1,
323642,81,sharp,i-kan,,,14,
323662,82,"dull, blunt",ɛ-ᵐbʷit,,,15,
323686,83,"to work",-um,,,1,
323712,84,"to plant",-mᵐʙule,,,70,
323737,87,"to swell",i-tumb,,,12,
323761,88,"to squeeze","-ᵐbus (ɣeni)",,,"18, 71",
323785,89,"to hold",-təŋao,,,93,
323810,90,"to dig",-xiri,,,1,
323837,91,"to buy",-hori,,,1,
323861,92,"to open, uncover",-sɪŋavu(ɣeni),,,40,
323883,93,"to pound, beat",-vaswasi,,,61,
323884,93,"to pound, beat",-faswasi,,,61,
323909,94,"to throw",-ᵐbar(ɣeni),,,86,
323934,95,"to fall","ti--teɪx vipan",,,95,
323959,96,dog,na-lipax,,,29,
323985,97,bird,ni-mæn,,,1,
324011,98,egg,"ⁿdabuɣ iman",,,40,
324036,99,feather,na-vurun,,,1,
324060,100,wing,na-xaᵐbula-n,,,"1, 12",
324082,101,"to fly",-mɪlax,,,27,
324104,102,rat,na-ɣasu,,,3,
324121,103,meat/flesh,na-visox,,,10,
324146,105,tail,na-ᵑgilɛn,,,39,
324170,106,snake,nɪ-mat,,,12,
324192,107,"worm (earthworm)",na-tuŋulas,,,"68, 64",
324216,108,louse,na-ɣut,,,1,
324239,109,mosquito,ni-nam,,,1,
324261,110,spider,na-liŋɛsɪɳɛs,,,96,
324283,111,fish,na-jɛx,,,1,
324308,112,rotten,i-mom,,,51,
324333,113,branch,pasɪɣai,,,"30,1",
324358,114,leaf,lute,,,38,
324385,115,root,na-xararite,,,"2,41",
324405,116,flower,na-pusiɣai,,,53,
324427,117,fruit,na-vʷite,,,"1, 26",
324450,118,grass,na-liʉl,,,1,
324476,119,earth/soil,nɪ-tan,,,1,
324502,120,stone,nɪ-vat,,,1,
324526,121,sand,na-ᵐbiʉn,,,"1, 79",
324549,122,water,nu-wai,,,2,
324572,124,sea,nɪ-tas,,,1,
324592,126,lake,"mɛt doŋⁿdoŋ",,,,
