id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1415,"Mandri (Faru) 162-100","Aviva Shimelman",,,"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as \"dʳ\".",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior","Aviva Shimelman","Aviva Shimelman","@misc{Shimelman-1415-2016,  author = \"Aviva Shimelman\",  date = \"2016\",  howpublished = \"personal communication\"}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
321827,1,hand,na-vɛra-ŋk,,,16,
321854,2,left,ti-mʷair,,,"1,59",
321880,3,right,ti-ɣavui,,,57,
321907,4,leg/foot,na-lɛ-ŋk,,,37,
321933,5,"to walk",ⁿdara-van,,,2,
321959,6,road/path,nɪ--sal,,,1,
321982,7,"to come",ᵑga-mai,,,1,
322052,10,dirty,naslo-mɛrmɛɾ,,,2,
322074,11,dust,maʧiaɸ,,,"1,102",
322097,12,skin,na-ɣulɣul,,,1,
322121,13,back,nɪ--maⁿdrɪ-m,,,35,
322146,14,belly,na-ᵐbaɣavu-m,,,66,
322171,15,bone,ᵐʙulᵐʙul,,,58,
322197,16,intestines,ni--ʧɪnɪ-m,,,1,
322219,17,liver,na-βiβus,,,57,
322240,18,breast,na-sus,,,1,
322264,19,shoulder,ᵐbarvosu-m,,,"71, 65",
322287,22,"to fear",ᵑga-mɪrax,,,1,
322313,23,blood,ⁿdʳe,,,1,
322338,24,head,ᵐbʷarə-m,,,9,
322363,25,neck,ɣaluə-m,,,102,
322388,26,hair,na-vɪrxor,,,,
322411,27,nose,na-ᵑgunsu-m,,,"1,58,55",
322435,28,"to breathe","ka-pɛlɪvɪn laŋ",,,"77, 78",
322461,29,"to sniff, smell","(ᵑgato) naᵐbon",,,42,
322484,30,mouth,ᵐboŋo-m,,,41,
322510,31,tooth,na-ruvo-m,,,"1,35",
322536,32,tongue,meluwə-m,,,"7, 42",
322561,33,"to laugh",ᵑga-mɪn,,,51,
322586,34,"to cry",ᵑga-raŋ,,,1,
322612,35,"to vomit",ᵑga-lu,,,8,
322638,36,"to spit",ᵑga-ᴩurai,,,"35, 86, 96",
322661,37,"to eat",ᵑga-kan,,,1,
