id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1426,Bunama,"Schlossberg (2012)",bdd,buna1276,"Schlossberg's data come from various sources.See Schlossberg 2012 for details",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear, North Papuan Mainland-D'Entrecasteaux, Dobu-Duau","Malcolm Ross","Malcolm Ross","@mastersthesis{schlossberg2012,  title  = {Lexical Reconstruction in the Papuan Tip Cluster},  school = {Monash University},  year   = {2012},  author = {Schlossberg, J.}}"
latitude,longitude
-10.07610000000000000000,151.06600000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
327015,1,hand,nima,,,1,
327016,2,left,ʔadigeyageya,,,,
327017,3,right,ʔebeula,,,,
327018,4,leg/foot,ʔaɣe,,,1,
327019,5,"to walk",ɣaʔesa,,,,
327020,6,road/path,ʔeda,,,12,
327021,7,"to come",latu,,,92,
327022,7,"to come",tauyama,,,"1,93",
327023,8,"to turn",ɣila,,,70,
327024,8,"to turn",sakowasi,,,133,
327025,9,"to swim",tube,,,17,
327026,10,dirty,buda,,,140,
327027,11,dust,ʔaɣu,,,,
327028,12,skin,ʔwapina,,,15,
327029,13,back,gwaɣuna,,,40,
327030,14,belly,gamwa,,,45,
327031,15,bone,lulu,,,32,
327032,16,intestines,sinaena,,,1,
327033,17,liver,ʔate,,,1,
327034,18,breast,susu,,,1,
327035,19,shoulder,ʔaɣalana,,,1,
327036,20,"to know, be knowledgeable",sanapu,,,83,
327037,21,"to think",nuwanuwa,,,30,
327038,22,"to fear",matauta,,,1,
327039,23,blood,bweyaɣina,,,,
327040,24,head,deba,,,"43,72",
327041,25,neck,ʔaniʔona,,,,
327042,26,hair,hunuhunu,,,,
327043,28,"to breathe",yawasina,breath,,22,
327044,29,"to sniff, smell",niso,,,,
327045,30,mouth,ʔahwa,,,36,
327046,31,tooth,sala@,,,11,
327047,32,tongue,memena,,,"7,40",
327048,33,"to laugh",hedagi,,,104,
327049,33,"to laugh",lomaiwa,"to vomit",,109,
327050,34,"to cry",dou,,,8,
327051,35,"to vomit",lomaiwa,,,4,
327052,36,"to spit",ʔesoha,,,19,
327053,37,"to eat",ʔai,,,"1,44",
327054,38,"to chew",ʔuta,,,14,
327055,39,"to cook",ʔeʔule,,,117,
327056,40,"to drink",numa,,,"1,34",
327057,41,"to bite",sasasaina,,,,
327058,42,"to suck",malaʔuʔuya,,,,
327059,43,ear,tena,,,,
327060,44,"to hear",ɣesagoɣa,,,,
327061,45,eye,matana,,,1,
327062,45,eye,meɣe,,,30,
327063,46,"to see",ʔita,,,1,
