id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1433,Gumawana,"Schlossberg (2012)",gvs,guma1254,"Schlossberg's data come from various sources.See Schlossberg 2012 for details",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear, North Papuan Mainland-D'Entrecasteaux, Gumawana","Malcolm Ross","Malcolm Ross","@mastersthesis{schlossberg2012,  title  = {Lexical Reconstruction in the Papuan Tip Cluster},  school = {Monash University},  year   = {2012},  author = {Schlossberg, J.}}"
latitude,longitude
-9.28500000000000000000,150.76200000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
328490,1,hand,nimana,,,1,
328491,2,left,kekeli,,,"1,43",
328492,3,right,kakatai,,,14,
328493,4,leg/foot,ae-na,foot,,1,
328494,4,leg/foot,kae-na,leg,,1,
328495,5,"to walk",ketoiya,,,,
328496,6,road/path,enao,,,,
328497,6,road/path,kenao,,,,
328498,7,"to come",ma,,,1,
328499,7,"to come",meko,,,,
328500,8,"to turn",lugavila,,,66,
328501,8,"to turn",kivivili,,,66,
328502,9,"to swim",kaya,,,32,
328503,10,dirty,baila,,,75,
328504,11,dust,kaukau,,,,
328505,12,skin,sakava,,,,
328506,13,back,toluna,,,12,
328507,14,belly,gamona,,,45,
328508,15,bone,lulu,,,32,
328509,17,liver,ate,,,1,
328510,18,breast,nunu,,,3,
328511,19,shoulder,valava,,,1,
328512,20,"to know, be knowledgeable",namasa,,,,
328513,21,"to think",nuwatu,,,30,
328514,22,"to fear",matoita,,,1,
328515,23,blood,ikaika,,,62,
328516,24,head,bulubulu,,,78,
328517,25,neck,koto,,,89,
328518,26,hair,kununa,,,,
328519,27,nose,kubuna,,,17,
328520,28,"to breathe",yawana,,,22,
328521,29,"to sniff, smell",samkone,,,109,
328522,30,mouth,tobuna,,,,
328523,31,tooth,sala,,,11,
328524,32,tongue,maena,,,7,
328525,33,"to laugh",koluwa,,,,
328526,33,"to laugh",vanama,,,22,
328527,34,"to cry",taiya,,,1,
328528,35,"to vomit",lagoba,,,20,
328529,36,"to spit",giwala,,,40,
328530,37,"to eat",kaika,,,"1,44",
328531,37,"to eat",kani,,,1,
328532,38,"to chew",kauli,,,67,
328533,38,"to chew",kuta,,,14,
328534,39,"to cook",vaipolu,,,,
328535,39,"to cook",kuye,,,,
328536,40,"to drink",nim,,,"1,34",
328537,41,"to bite",kani,,,38,
328538,43,ear,taiyana,,,,
328539,44,"to hear",nowo,,,"1, 36",
328540,44,"to hear",taiyakeke,,,,
328541,45,eye,mata,,,1,
328542,46,"to see",gita,,,1,
328543,47,"to yawn",kamova,,,,
328544,48,"to sleep",masisi,,,"1,70",
328545,48,"to sleep",kena,,,8,
328546,49,"to lie down",masisi,,,47,
328547,50,"to dream",kanamimi,,,"1, 37, 40",
328548,51,"to sit",tusobu,,,"80,155",
328549,52,"to stand",taoya,,,106,
328550,53,"person/human being",tomota,,,"1,66",
328551,54,man/male,koroto,,,21,
328552,55,woman/female,vavina,,,"1,106",
328553,56,child,gomana,,,14,
328554,56,child,natu,,,5,
328555,57,husband,monena,,,26,
328556,58,wife,monena,,,18,
328557,59,mother,sinana,,,1,
328558,60,father,tamana,,,1,
328559,61,house,vada,,,42,
328560,62,thatch/roof,katava,,,1,
328561,62,thatch/roof,atava,,,1,
328562,63,name,yoina,,,"1,18",
328563,64,"to say",digo,,,,
328564,65,rope,buyala,,,19,
328565,66,"to tie up, fasten",yowana,,,37,
328566,66,"to tie up, fasten",siko,,,,
328567,67,"to sew",giluma,,,,
