id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1435,Iamalele,"Schlossberg (2012)",yml,iama1237,"Schlossberg's data come from various sources.See Schlossberg 2012 for details",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear, North Papuan Mainland-D'Entrecasteaux, Bwaidoga","Malcolm Ross","Malcolm Ross","@mastersthesis{schlossberg2012,  title  = {Lexical Reconstruction in the Papuan Tip Cluster},  school = {Monash University},  year   = {2012},  author = {Schlossberg, J.}}"
latitude,longitude
-9.45000000000000000000,150.57300000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
328919,1,hand,nima,,,1,
328920,2,left,wama,,,,
328921,2,left,ʔeli,,,"1,43",
328922,3,right,ʔatagi,,,14,
328923,4,leg/foot,ʔage,,,1,
328924,5,"to walk",dale,,,,
328925,5,"to walk",nago,,,1,
328926,6,road/path,ʔeda,,,12,
328927,7,"to come",mai,,,1,
328928,8,"to turn",sivilai,,,66,
328929,9,"to swim",kayo,,,32,
328930,10,dirty,yokeyokena,,,,
328931,11,dust,fwayafwaya,,,,
328932,11,dust,ʔaufuala,,,,
328933,12,skin,bunu,,,,
328934,12,skin,ʔaʔia,,,,
328935,13,back,kwavu,,,40,
328936,15,bone,lulu,,,32,
328937,16,intestines,kamo,,,30,
328938,17,liver,ʔaseʔase,,,1,
328939,18,breast,u,,,1,
328940,19,shoulder,vogavoga,,,,
328941,19,shoulder,ʔavala,,,1,
328942,20,"to know, be knowledgeable",ʔasetai,,,"35,132",
328943,21,"to think",nuanuani,,,30,
328944,22,"to fear",nuafouviga,,,,
328945,23,blood,dayaga,,,32,
328946,24,head,ʔunuʔunu,,,1,
328947,25,neck,ʔodo,,,89,
328948,26,hair,nevaʔau,,,,
328949,27,nose,kabuni,,,17,
328950,28,"to breathe",vuke,,,,
328951,28,"to breathe",yawai,,,22,
328952,29,"to sniff, smell",magai,,,104,
328953,29,"to sniff, smell",yaoga,,,105,
328954,30,mouth,ʔawa,,,36,
328955,31,tooth,nigo,,,1,
328956,32,tongue,meana,,,7,
328957,33,"to laugh",namaga,,,22,
328958,34,"to cry",taiga,,,1,
328959,35,"to vomit",ovala,,,11,
328960,36,"to spit",vula,,,122,
328961,37,"to eat",ʔani,,,1,
328962,38,"to chew",ʔutai,,,14,
328963,39,"to cook",vetago,,,27,
328964,39,"to cook",ʔumuli,,,,
328965,40,"to drink",yemuyeni,,,65,
328966,41,"to bite",ovai,,,44,
328967,41,"to bite",ʔaiova,,,44,
328968,42,"to suck",kumuya,,,,
328969,42,"to suck",lumwesisia,,,,
328970,43,ear,taniga,,,,
328971,44,"to hear",nogaya,,,"1, 36",
328972,45,eye,mata,,,1,
328973,46,"to see",ʔisa,,,1,
328974,47,"to yawn",mwagova,,,,
328975,48,"to sleep",ʔeno,,,8,
328976,49,"to lie down",ʔetobala,,,100,
328977,50,"to dream",ʔenoneganena,,,1,
328978,51,"to sit",miabui,,,26,
328979,52,"to stand",tovoi,,,2,
328980,53,"person/human being",tomotoga,,,"1,66",
328981,54,man/male,iaveta,,,,
328982,54,man/male,tomogo,,,"70,14",
328983,55,woman/female,vavine,,,"1,106",
328984,56,child,kwamana,,,14,
328985,56,child,natu,,,5,
328986,57,husband,"lamoga moyanena",,,26,
328987,59,mother,ina,,,1,
328988,60,father,tama,,,1,
328989,60,father,waʔavula,,,,
328990,61,house,vanuga,,,7,
328991,62,thatch/roof,sailaʔa,,,,
328992,63,name,wegava,,,9,
328993,64,"to say",vona,,,20,
328994,64,"to say",ʔainana,,,,
328995,65,rope,bulava,,,84,
328996,65,rope,ʔitava,,,,
328997,66,"to tie up, fasten",luifa,,,136,
328998,66,"to tie up, fasten",yogona,,,37,
328999,67,"to sew",agila,,,"2,53",
329000,67,"to sew",saila,,,"2,53",
329001,68,needle,vasi,,,,
329002,68,needle,aima,,,1,
329003,69,"to hunt",ʔavuta,,,,
329004,70,"to shoot",tufu,,,,
329005,71,"to stab, pierce",bweka,,,,
329006,71,"to stab, pierce",ʔetofolefole,,,96,
329007,72,"to hit",tutu,,,8,
329008,72,"to hit",ʔainike,,,,
329009,73,"to steal",vainago,,,"1,32",
329010,74,"to kill",luvewafa,,,,
329011,74,"to kill",lugiva,,,,
329012,75,"to die, be dead",wafa,,,44,
329013,76,"to live, be alive",mia,,,81,
329014,76,"to live, be alive",vevanuga,,,,
329015,77,"to scratch",ʔaʔalo,,,1,
329016,77,"to scratch",labuʔa,,,,
329017,78,"to cut, hack",bobo,,,130,
329018,78,"to cut, hack",ʔautona,,,,
329019,79,stick/wood,ʔai,,,1,
329020,80,"to split",ʔanifua,,,,
329021,80,"to split",ʔaniʔegali,,,,
329022,81,sharp,nigonigona,,,101,
329023,82,"dull, blunt",tutumina,,,25,
329024,83,"to work",faisewa,,,20,
329025,83,"to work",folova,,,98,
329026,84,"to plant",tavuni,,,72,
329027,84,"to plant",tavuna,,,72,
329028,85,"to choose",vesinuana,,,8,
329029,86,"to grow",taula,,,,
329030,87,"to swell",tubuga,,,12,
329031,88,"to squeeze",vuloga,,,88,
329032,89,"to hold",ʔiveʔavina,,,117,
329033,90,"to dig",inawa,,,,
329034,90,"to dig",ʔaiala,,,64,
329035,91,"to buy",taʔona,,,66,
329036,91,"to buy",vekimwane@lakwana,,,"17, 70",
329037,92,"to open, uncover",yavuya,,,76,
329038,92,"to open, uncover",talayakata,,,,
329039,93,"to pound, beat",tutu,,,20,
329040,94,"to throw",tawe,,,74,
329041,94,"to throw",lovena,,,73,
329042,95,"to fall",beʔu,,,25,
329043,96,dog,ʔouʔou,,,17,
329044,97,bird,manuga,,,1,
329045,98,egg,fou,,,15,
329046,99,feather,dakula,,,13,
329047,100,wing,fafe,,,21,
329048,101,"to fly",yavega,,,44,
329049,102,rat,ʔwaisalu@ʔautoga,,,32,
329050,103,meat/flesh,ʔaisaya,,,,
329051,104,fat/grease,yafa,,,40,
329052,105,tail,giu,,,1,
329053,106,snake,babisinage,,,,
329054,106,snake,ʔoʔolo,,,,
329055,107,"worm (earthworm)",babisinage,,,,
329056,108,louse,ʔutu,,,1,
329057,109,mosquito,niʔuniʔu,,,,
329058,110,spider,ʔaʔawa,,,88,
329059,111,fish,igana,,,1,
329060,112,rotten,bokanina,,,,
329061,113,branch,didi,,,56,
329062,113,branch,lagalagana,,,"1,34",
329063,115,root,"ʔai ʔwalama",,,62,
329064,116,flower,idi,,,,
329065,116,flower,seni,,,"9,14",
329066,117,fruit,vuaaga,,,1,
329067,119,earth/soil,bidabidala,,,90,
329068,119,earth/soil,fwayafwaya,,,92,
329069,120,stone,kileu,,,,
329070,121,sand,nidula,,,67,
329071,122,water,siʔwevi,,,,
329072,122,water,ufa,,,63,
329073,123,"to flow",ʔina,,,,
329074,123,"to flow",taina,,,,
329075,124,sea,eyaga,,,71,
329076,125,salt,eyaga,,,49,
329077,126,lake,lavu,,,46,
329078,127,woods/forest,walaʔai,,,119,
329079,128,sky,abama,,,18,
329080,129,moon,wetaʔi,,,70,
329081,130,star,ʔubwana,,,56,
