id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1441,Minaveha,"Schlossberg (2012)",mvn,mina1269,"Schlossberg's data come from various sources.See Schlossberg 2012 for details",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear, North Papuan Mainland-D'Entrecasteaux, Are-Taupota, Taupota","Malcolm Ross","Malcolm Ross","@mastersthesis{schlossberg2012,  title  = {Lexical Reconstruction in the Papuan Tip Cluster},  school = {Monash University},  year   = {2012},  author = {Schlossberg, J.}}"
latitude,longitude
-9.59920000000000000000,150.50100000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
330276,1,hand,nima,,,1,
330277,2,left,akeni,,,,
330278,3,right,atei,,,14,
330279,4,leg/foot,ae,,,1,
330280,5,"to walk",venau,,,,
330281,6,road/path,eta(wana),,,12,
330282,7,"to come",omo,,,1,
330283,8,"to turn",vina,,,66,
330284,9,"to swim",ðaðabama,,,,
330285,10,dirty,gawagawamina,,,,
330286,11,dust,apunava,,,,
330287,12,skin,inini,,,31,
330288,12,skin,waga,,,,
330289,13,back,upu,,,101,
330290,13,back,muni,,,3,
330291,14,belly,madi,,,,
330292,15,bone,nunu,,,52,
330293,16,intestines,amoamo,,,30,
330294,17,liver,ateate,,,1,
330295,18,breast,nunu,,,3,
330296,19,shoulder,avana,,,1,
330297,20,"to know, be knowledgeable",anamane,,,,
330298,21,"to think",nua,,,30,
330299,22,"to fear",matauta,,,1,
330300,23,blood,daðaɣi,,,32,
330301,24,head,ununu,,,1,
330302,25,neck,oto,,,,
330303,26,hair,apana,,,,
330304,27,nose,apuni,,,17,
330305,28,"to breathe",ðawai,,,22,
330306,29,"to sniff, smell",maui,,,,
330307,30,mouth,awa,,,36,
330308,31,tooth,niɣo,,,1,
330309,32,tongue,mea,,,7,
330310,33,"to laugh",(vi)nepa,,,,
330311,34,"to cry",tou,,,8,
330312,35,"to vomit",ovana,,,11,
330313,36,"to spit",iwana,,,40,
330314,37,"to eat",ani,,,1,
330315,37,"to eat",am,,,"1,43",
330316,38,"to chew",uta,,,14,
330317,39,"to cook",itavi,,,116,
330318,40,"to drink",nim,,,"1,34",
330319,41,"to bite",ɣova,,,44,
330320,41,"to bite",uta-vi-avini,,,,
330321,42,"to suck",nim,,,,
330322,43,ear,taniga,,,,
330323,44,"to hear",nonona,,,"1, 36",
330324,45,eye,mata,,,1,
330325,46,"to see",dueðe,,,,
330326,47,"to yawn",moava,,,,
330327,48,"to sleep",dauva,,,64,
330328,49,"to lie down",dauva,,,,
330329,50,"to dream",ava,,,66,
330330,51,"to sit",manuena,,,,
330331,52,"to stand",mini,,,"1,105",
330332,53,"person/human being",tomotau,"folk etymology",,"1,66",
330333,54,man/male,onoto,,,21,
330334,55,woman/female,vavine,,,"1,52",
330335,56,child,natu,,,5,
330336,57,husband,awa,,,2,
330337,58,wife,awa,,,1,
330338,59,mother,ayo,,,30,
330339,60,father,ama,,,"1,20",
330340,61,house,manua,,,"7,44",
330341,63,name,wava,,,9,
330342,64,"to say",vona,,,20,
330343,65,rope,manawa,,,85,
330344,65,rope,yavunai,metathesis,,19,
330345,66,"to tie up, fasten",tohoni,,,,
330346,67,"to sew",tona,,,,
330347,68,needle,haima,,,1,
330348,69,"to hunt",vitana,,,,
330349,70,"to shoot",nuta,,,44,
330350,71,"to stab, pierce",etonei,,,32,
330351,72,"to hit",vunu,,,23,
330352,73,"to steal",vainau,,,"1,32",
330353,74,"to kill",vunua,,,1,
330354,75,"to die, be dead",aniga,,,46,
330355,76,"to live, be alive",mae,,,80,
330356,77,"to scratch",kakanoi,,,1,
330357,78,"to cut, hack",gono,,,,
330358,78,"to cut, hack",guɣani,,,,
330359,79,stick/wood,ai,,,1,
330360,80,"to split",giana,,,,
330361,80,"to split",sisi,,,,
330362,81,sharp,gamgamna,,,49,
330363,82,"dull, blunt",duduma,,,25,
330364,83,"to work",paisewa,,,20,
330365,84,"to plant",baguna,,,,
330366,85,"to choose",vi-nua-dadana,,,43,
330367,86,"to grow",nata,,,58,
330368,86,"to grow",tabo,,,11,
330369,87,"to swell",kokoko,,,,
330370,87,"to swell",nonone,,,,
330371,88,"to squeeze",pipi,,,21,
330372,89,"to hold",avini,,,,
330373,90,"to dig",gane,,,10,
330374,91,"to buy",vimaiei,,,69,
330375,91,"to buy",amwane,,,17,
330376,92,"to open, uncover",ðavuɣi,,,76,
330377,92,"to open, uncover",wae@wage,,,75,
330378,93,"to pound, beat",tutu,,,20,
330379,94,"to throw",one,,,,
330380,95,"to fall",peu,,,25,
330381,96,dog,kedewa,,,18,
330382,97,bird,manua,,,1,
330383,98,egg,pou,,,15,
330384,99,feather,daguna,,,13,
330385,100,wing,pape,,,21,
330386,101,"to fly",ðaveɣa,,,44,
330387,102,rat,kwekweanu,,,32,
330388,103,meat/flesh,vio,,,10,
330389,104,fat/grease,bina,,,102,
330390,105,tail,ɣiu,,,1,
330391,106,snake,mwata,,,12,
330392,107,"worm (earthworm)",mwatamwata,,,10,
330393,108,louse,utu,,,1,
330394,109,mosquito,namo-kina,,,"1,100",
330395,110,spider,kakakwa,,,88,
330396,111,fish,vio,,,,
330397,112,rotten,davuna,,,78,
330398,114,leaf,ðawai,,,17,
330399,115,root,wasaina,,,,
330400,116,flower,tapatapa,,,,
330401,117,fruit,ua,,,1,
330402,118,grass,wetau,,,,
330403,119,earth/soil,tanopi,,,1,
330404,120,stone,hanu,,,,
330405,121,sand,magama,,,29,
330406,122,water,daudau,,,62,
330407,123,"to flow",taina,,,,
330408,124,sea,hawana,,,"13,66",
330409,125,salt,badabadana,,,,
330410,126,lake,navu,,,46,
330411,127,woods/forest,gonuana,,,118,
330412,127,woods/forest,nudana,,,"7,20",
330413,128,sky,wahuma,,,,
330414,129,moon,wahava,,,,
330415,130,star,wadima,,,86,
330416,131,cloud,ðou,,,,
330417,132,fog,gawata,,,,
330418,133,rain,wei,,,27,
330419,134,thunder,anitana,,,,
330420,134,thunder,dududu,,,,
330421,135,lightning,vonaina,,,,
330422,136,wind,ðahina,,,,
330423,137,"to blow",ive,,,77,
330424,137,"to blow",vaini,,,78,
330425,138,warm,vi-vana,,,1,
330426,138,warm,ðaðavina,,,75,
330427,139,cold,tutumina,,,,
330428,140,dry,pwavu,,,106,
330429,141,wet,davuna,,,,
330430,142,heavy,vita,,,19,
330431,143,fire,ai,,,35,
