id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1443,Molima,"Schlossberg (2012)",mox,moli1248,"Schlossberg's data come from various sources.See Schlossberg 2012 for details",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear, North Papuan Mainland-D'Entrecasteaux, Bwaidoga","Malcolm Ross","Malcolm Ross","@mastersthesis{schlossberg2012,  title  = {Lexical Reconstruction in the Papuan Tip Cluster},  school = {Monash University},  year   = {2012},  author = {Schlossberg, J.}}"
latitude,longitude
-9.57460000000000000000,150.61400000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
330666,1,hand,nima-,,,1,
330667,2,left,keli,,,"1,43",
330668,3,right,atai,,,14,
330669,4,leg/foot,ae-,,,1,
330670,5,"to walk",nao,,,1,
330671,6,road/path,ʔeda,,,12,
330672,9,"to swim",ʔayoʔayo,,,32,
330673,10,dirty,bwawubwawuna,,,139,
330674,11,dust,pwayavasu,,,,
330675,12,skin,pusa-,,,102,
330676,12,skin,ʔwapi-,,,15,
330677,13,back,gwawu-,,,40,
330678,14,belly,gamo-,,,45,
330679,14,belly,ʔumutuna,,,104,
330680,15,bone,lulu-,,,32,
330681,16,intestines,diya-,,,88,
330682,17,liver,ʔateʔate,,,1,
330683,18,breast,susu-,,,1,
330684,19,shoulder,ʔavala-,,,1,
330685,20,"to know, be knowledgeable",mwalatoni,,,133,
330686,21,"to think",nuanua-,,,30,
330687,22,"to fear",matauta,,,1,
330688,23,blood,lala-,,,1,
330689,24,head,ʔunuʔunu,,,1,
330690,25,neck,maga-,,,,
330691,26,hair,deba-,,,,
330692,27,nose,gabu-,,,17,
330693,28,"to breathe",yawasi,,,22,
330694,29,"to sniff, smell",yaso-ya,,,1,
330695,30,mouth,ʔawa,,,36,
330696,31,tooth,sala-,,,11,
330697,32,tongue,meya-,,,7,
330698,33,"to laugh",venama,,,22,
330699,33,"to laugh",maiwa,"to vomit",,109,
330700,34,"to cry",ʔauʔautoni,,,78,
330701,34,"to cry",doo,,,8,
330702,35,"to vomit",maiwa,,,4,
330703,36,"to spit",giligilisese,,,,
330704,36,"to spit",wewe,,,"19, 88",
330705,37,"to eat",ʔai,,,"1,44",
330706,38,"to chew",ʔuta,,,14,
330707,39,"to cook",bude,,,118,
330708,40,"to drink",numa,,,"1,34",
330709,41,"to bite",ʔalas-ia,,,1,
330710,42,"to suck",ʔamwagu,,,,
330711,43,ear,tena-,,,,
330712,44,"to hear",nowola,,,"1, 36",
330713,45,eye,mata,,,1,
330714,46,"to see",ʔita,,,1,
330715,47,"to yawn",lomwaova,,,,
330716,48,"to sleep",ʔeno,,,8,
330717,49,"to lie down",ʔeno,,,1,
330718,50,"to dream",madawala,,,18,
330719,51,"to sit",towa,,,80,
330720,52,"to stand",towolo,,,2,
330721,53,"person/human being",tomo-tau,"folk etymology",,"1,66",
330722,54,man/male,meʔolotona,,,"21, 103",
330723,55,woman/female,vavine,,,"1,106",
330724,56,child,gwama,,,14,
330725,56,child,natu-,,,5,
330726,57,husband,mwane-,,,26,
330727,58,wife,mwane-,,,18,
330728,59,mother,sina-,,,1,
330729,60,father,tama-,,,1,
330730,61,house,vanua,,,7,
330731,62,thatch/roof,laʔalaʔa,,,35,
330732,62,thatch/roof,lakalaka,,,35,
330733,63,name,wawa,,,9,
330734,64,"to say",wona[wona],,,20,
330735,65,rope,malakwa,,,85,
