id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1444,Motu,"Schlossberg (2012)",meu,motu1246,"Schlossberg's data come from various sources.See Schlossberg 2012 for details",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Peripheral, Central Papuan, Sinagoro-Keapara","Malcolm Ross","Malcolm Ross","@mastersthesis{schlossberg2012,  title  = {Lexical Reconstruction in the Papuan Tip Cluster},  school = {Monash University},  year   = {2012},  author = {Schlossberg, J.}}"
latitude,longitude
-9.67490000000000000000,147.42400000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
330883,1,hand,ima,,,1,
330884,2,left,lauri,,,"1,73",
330885,3,right,idiba,,,22,
330886,4,leg/foot,ae,,,1,
330887,5,"to walk",raka,,,,
330888,6,road/path,dala,,,1,
330889,7,"to come",mai,,,1,
330890,8,"to turn",kerehai,,,,
330891,9,"to swim",nahu,,,,
330892,10,dirty,miro,,,142,
330893,11,dust,kahu,,,,
330894,12,skin,kopi,,,15,
330895,13,back,doru,,,12,
330896,14,belly,boga,,,21,
330897,15,bone,turia,,,40,
330898,16,intestines,bogarau,,,89,
330899,17,liver,ase,,,1,
330900,18,breast,rata,,,59,
330901,19,shoulder,paɣa,,,17,
330902,20,"to know, be knowledgeable",diba,,,66,
330903,21,"to think",lalo-a,,,96,
330904,22,"to fear",gari,,,86,
330905,23,blood,rara,,,1,
330906,24,head,kwara,,,44,
330907,25,neck,aio,,,"1,31",
330908,25,neck,gado,,,30,
330909,26,hair,hui,,,,
330910,27,nose,udu,,,27,
330911,28,"to breathe",laɣa,,,46,
330912,29,"to sniff, smell",bona-ia,,,42,
330913,30,mouth,udu,,,2,
330914,31,tooth,ise,,,24,
330915,32,tongue,mala,,,7,
330916,33,"to laugh",kiri,,,67,
330917,34,"to cry",tai,,,1,
330918,35,"to vomit",mumuta,,,1,
330919,36,"to spit",kanudi,,,"14, 84",
330920,37,"to eat",ani-a,,,1,
330921,38,"to chew",ɣaua-ia,,,8,
330922,39,"to cook",nadu-a,,,3,
330923,40,"to drink",inu-a,,,1,
330924,41,"to bite",kori-a,,,45,
330925,42,"to suck",topo-a,,,,
330926,43,ear,taia,,,,
330927,44,"to hear",kamonai,,,41,
330928,45,eye,mata,,,1,
330929,46,"to see",ita-ia,,,1,
330930,47,"to yawn",mava,,,,
330931,48,"to sleep",mahuta,,,15,
330932,49,"to lie down",eno,,,1,
330933,50,"to dream",nihi,,,"1, 60",
330934,51,"to sit",helai,,,,
330935,52,"to stand",gini,,,,
330936,53,"person/human being",tau,,,1,
330937,54,man/male,marurane,,,"1,69",
330938,54,man/male,tau,,,22,
330939,55,woman/female,hahine,,,"1,106",
330940,56,child,natu-na,,,5,
330941,57,husband,adava-na,,,2,
330942,58,wife,adava-na,,,1,
330943,59,mother,sina-na,,,1,
330944,60,father,tama-na,,,1,
330945,61,house,ruma,,,1,
330946,62,thatch/roof,biri,,,68,
330947,63,name,lada,,,"1,18",
330948,64,"to say",toma,,,161,
330949,64,"to say",gwau,,,98,
330950,65,rope,kwanau,,,20,
330951,66,"to tie up, fasten",mata-ia,,,147,
330952,67,"to sew",turi,,,13,
330953,68,needle,kobi,,,42,
330954,69,"to hunt",labana,,,50,
330955,70,"to shoot",pidia,,,22,
330956,71,"to stab, pierce",gwadaia,,,,
330957,72,"to hit",bota-ia,,,116,
330958,89,"to hold",kahu-a,,,,
330959,89,"to hold",abi-a,,,23,
330960,90,"to dig",ɣei-a,,,1,
330961,91,"to buy",hoi-a,,,1,
330962,92,"to open, uncover",keho-a,,,47,
330963,93,"to pound, beat",bidi-a,,,,
330964,94,"to throw",taho-a,,,98,
330965,95,"to fall",moru,,,57,
330966,96,dog,sisia,,,34,
330967,97,bird,manu,,,1,
330968,98,egg,gatoi,,,1,
330969,99,feather,hui,,,1,
330970,100,wing,hani,,,2,
330971,101,"to fly",roho,,,1,
330972,102,rat,bita,,,,
330973,103,meat/flesh,hidio,,,10,
330974,104,fat/grease,diɣara,,,103,
330975,104,fat/grease,dia,ointment,,103,
330976,105,tail,iu,,,1,
330977,106,snake,gaigai,,,30,
330978,107,"worm (earthworm)",biluga,,,,
330979,108,louse,utu,,,1,
330980,109,mosquito,namo,,,1,
330981,110,spider,magera,,,,
330982,110,spider,valavala,,,,
330983,111,fish,gwarume,,,,
330984,112,rotten,pouka,,,,
330985,113,branch,rigi,,,"1,14",
330986,113,branch,raga,,,1,
330987,114,leaf,rau,,,1,
330988,115,root,ramu-na,,,3,
330989,116,flower,"au bure-na",,,22,
330990,117,fruit,"au huahua",,,1,
330991,118,grass,kudekude,,,,
330992,119,earth/soil,tano,,,1,
330993,120,stone,nadi,,,,
330994,121,sand,raria,,,,
330995,121,sand,kone,beach,,1,
330996,122,water,ranu,,,1,
330997,122,water,sina-vai,river,,2,
330998,123,"to flow",aru,,,21,
330999,124,sea,davara,,,39,
331000,125,salt,damena,,,25,
331001,125,salt,tadi,"sea water",,20,
331002,126,lake,gohu,,,15,
331003,127,woods/forest,uda,,,"7,20",
331004,128,sky,guba,,,17,
331005,129,moon,hua,,,1,
331006,130,star,hisiu,,,1,
331007,131,cloud,ori,,,52,
331008,132,fog,ɣahu,,,1,
331009,132,fog,ninoa,,,107,
331010,133,rain,medu,,,,
331011,134,thunder,"guba rahua",,,"98, 103",
331012,135,lightning,kevaru,,,,
331013,136,wind,lai,,,,
331014,136,wind,lahara@laurabada,,,,
331015,137,"to blow",toa,,,20,
331016,138,warm,hiriria,,,,
331017,139,cold,keruma,,,,
331018,140,dry,kaukau,,,112,
331019,141,wet,paripari,,,,
331020,142,heavy,metau,,,48,
331021,143,fire,lahi,,,1,
331022,144,"to burn",ara-ia,,,17,
331023,144,"to burn",gabu,,,16,
331024,145,smoke,kwalahu,,,16,
331025,146,ash,rahurahu,,,67,
331026,147,black,koremakorema,,,,
331027,148,white,kurokuro,,,74,
331028,149,red,kakakaka,,,26,
331029,150,yellow,laboralabora,,,41,
331030,151,green,gadokagadoka,,,,
331031,152,small,maragi,,,,
331032,153,big,bada,,,66,
331033,154,short,kwadogi,,,,
331034,154,short,kubakuba,,,20,
331035,155,long,lata,,,,
331036,156,thin,severasevera,,,,
331037,157,thick,uduna,,,,
331038,158,narrow,iora,,,,
331039,159,wide,lababa,,,,
331040,160,"painful, sick",hisi,,,95,
331041,160,"painful, sick",gorere,,,,
331042,161,"shy, ashamed",hemarai,"-r- for expected -l-.",,1,
331043,162,old,iahu,,,,
331044,162,old,guine,,,,
331045,163,new,matamata,,,19,
331046,164,good,namo,,,27,
331047,165,"bad, evil",dika,,,14,
331048,166,"correct, true",maoro,,,97,
331049,167,night,boi,,,1,
331050,168,day,dina,,,11,
331051,168,day,laɣani,year,,6,
331052,169,year,laɣani,,,16,
331053,170,when?,edananegai,,,,
331054,171,"to hide",huni-a,,,1,
331055,172,"to climb",dadadae,,,2,
331056,173,at,ai,,,12,
331057,174,"in, inside",lalo-nai,,,1,
331058,175,above,atai,,,1,
331059,176,below,henuai@,,,56,
331060,177,this,ina,,,,
331061,178,that,ena,,,,
331062,178,that,una,,,,
331063,179,near,kahirakahira,,,106,
331064,180,far,daudau,,,1,
331065,181,where?,edesini,,,,
331066,182,I,lau,,,"1,21",
331067,183,thou,oi,,,1,
331068,184,he/she,ia,,,1,
331069,185,we,ita,,,,
331070,185,we,ai,,,,
331071,186,you,umui,,,"1,13",
331072,187,they,idia,,,25,
331073,188,what?,dahaka,,,1,
331074,189,who?,daika,,,1,
331075,190,other,idau,,,,
331076,191,all,ibou-,,,93,
331077,192,and,mai,,,"2, 46",
331078,192,and,bona,,,27,
331079,193,if,bema,,,"28,3",
331080,194,how?,edeheto,,,,
331081,195,"no, not",asi,,,1,
331082,195,"no, not",ida,,,,
331083,196,"to count",duahi-a,,,19,
331084,197,One,ta,,,14,
331085,197,One,tamona,,,14,
331086,198,Two,rua,,,1,
331087,199,Three,toi,,,1,
331088,200,Four,hani,,,"1,69",
331089,201,Five,ima,,,1,
