id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1445,Muyuw,"Schlossberg (2012)",myw,muyu1244,"Schlossberg's data come from various sources.See Schlossberg 2012 for details",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Peripheral, Kilivila-Louisiades, Kilivila","Malcolm Ross","Malcolm Ross","@mastersthesis{schlossberg2012,  title  = {Lexical Reconstruction in the Papuan Tip Cluster},  school = {Monash University},  year   = {2012},  author = {Schlossberg, J.}}"
latitude,longitude
-9.19500000000000000000,152.73100000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
331090,1,hand,nim,,,1,
331091,1,hand,niman,,,1,
331092,2,left,kimaw,,,,
331093,3,right,katay,,,14,
331094,4,leg/foot,kaken,,,1,
331095,5,"to walk",noun,,,,
331096,6,road/path,ked,,,12,
331097,7,"to come",am,,,1,
331098,7,"to come",im,,,,
331099,8,"to turn",silikivin,,,,
331100,9,"to swim",gay,,,32,
331101,10,dirty,bik,,,139,
331102,11,dust,musamus,,,,
331103,11,dust,musew,,,,
331104,12,skin,kaléivin,,,53,
331105,12,skin,mom,,,101,
331106,13,back,kureim,,,,
331107,13,back,tubwélon,,,,
331108,14,belly,nun,,,105,
331109,15,bone,tatuwan,,,"1,10",
331110,15,bone,toutoun,,,"1,10",
331111,16,intestines,sinewun,,,1,
331112,17,liver,kat,,,1,
331113,18,breast,sasun,,,1,
331114,18,breast,sus,,,1,
331115,19,shoulder,yalavan,,,1,
331116,20,"to know, be knowledgeable",kakin,,,135,
331117,20,"to know, be knowledgeable",sinóp(w),,,83,
331118,21,"to think",dik,,,98,
331119,21,"to think",kanuway,,,99,
331120,22,"to fear",goul,,,89,
331121,22,"to fear",pwayat@wen,,,90,
331122,23,blood,buyav,,,33,
331123,24,head,daban,,,43,
331124,24,head,kunun,,,1,
331125,25,neck,káyon,,,90,
331126,26,hair,sinewun,,,,
331127,27,nose,abunun,,,"1,17",
331128,28,"to breathe",yatun,,,94,
331129,28,"to breathe","kayow nuwan",,,,
331130,29,"to sniff, smell",sikwén,,,110,
331131,29,"to sniff, smell",sukon,,,110,
331132,30,mouth,wádon,,,60,
331133,30,mouth,awan,,,36,
331134,31,tooth,kud,,,61,
331135,31,tooth,kudun,,,61,
331136,32,tongue,mayen,,,7,
331137,33,"to laugh",gagig,,,85,
331138,33,"to laugh",gig,,,85,
331139,34,"to cry",kawnavin,,,,
331140,34,"to cry",valam,,,47,
331141,35,"to vomit",lagoba,,,20,
331142,36,"to spit",giw,,,65,
331143,36,"to spit",gus,,,"14, 83",
331144,37,"to eat",kam,,,"1,43",
331145,37,"to eat",koum,,,"1,43",
331146,38,"to chew",gen,,,63,
331147,39,"to cook",kaleibwan,,,119,
331148,40,"to drink",mom,,,27,
331149,40,"to drink",moum,,,27,
331150,41,"to bite",ged,,,46,
331151,42,"to suck",sus,,,25,
331152,42,"to suck",mwes,,,6,
331153,43,ear,teg,,,,
331154,43,ear,teigan,,,,
331155,44,"to hear",kataluteg,,,,
331156,44,"to hear",ligen@neg,,,"1, 36",
331157,45,eye,mat,,,1,
331158,45,eye,matan,,,1,
331159,46,"to see",kin,,,119,
331160,47,"to yawn",kanawat,,,,
331161,48,"to sleep",masis,,,"1,70",
331162,48,"to sleep",kandakwek,,,,
331163,49,"to lie down",masis,,,37,
331164,50,"to dream",kamikon,,,73,
331165,50,"to dream",mikon@kantet,,,73,
331166,51,"to sit",sin,,,160,
331167,52,"to stand",tow,,,2,
331168,52,"to stand",tabalawaw,,,,
331169,53,"person/human being",gamag,,,42,
331170,55,woman/female,vin,,,"1,106",
331171,56,child,gwad,,,39,
331172,57,husband,mwan,,,26,
331173,58,wife,kwav,,,99,
331174,59,mother,ínan,,,1,
331175,60,father,taman,,,1,
331176,61,house,bunatum,,,,
331177,61,house,bwan,,,43,
331178,62,thatch/roof,lakwet,,,65,
331179,62,thatch/roof,loukwat,,,65,
331180,63,name,yágan,,,20,
331181,63,name,yeg,,,20,
331182,64,"to say",dibek,,,,
331183,64,"to say",kavatag@lana@livan,,,,
331184,65,rope,balawn,,,84,
331185,65,rope,yiwayoun,,,54,
