id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1448,"Proto North Mainland/D'Entrecasteaux","Schlossberg (2012)",,nort2848,"Schlossberg's data come from various sources.See Schlossberg 2012 for details",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear, North Papuan Mainland-D'Entrecasteaux","Malcolm Ross","Malcolm Ross","@mastersthesis{schlossberg2012,  title  = {Lexical Reconstruction in the Papuan Tip Cluster},  school = {Monash University},  year   = {2012},  author = {Schlossberg, J.}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
331693,1,hand,*nima,,,1,
331694,3,right,*kataqi,,,14,
331695,4,leg/foot,*qaqe,,,1,
331696,5,"to walk",*naqo,,,,
331697,6,road/path,*qeda,,,,
331698,7,"to come",*mai,,,,
331699,9,"to swim",*tuba,,,,
331700,11,dust,*qavu,,,,
331701,12,skin,*kwapi,,,,
331702,13,back,*muri,,,,
331703,14,belly,*gamwa,,,,
331704,15,bone,*ruru,,,,
331705,15,bone,*turiqa,,,,
331706,16,intestines,"*gam(wa,o)",,,,
331707,17,liver,*kate,,,,
331708,18,breast,*susu,,,,
331709,19,shoulder,*kavala,,,,
331710,21,"to think",*nuwa,,,30,
331711,22,"to fear",*matauta,,,,
331712,23,blood,*daraqa,,,,
331713,24,head,*kulu,,,,
331714,25,neck,*qoto,,,,
331715,26,hair,*vunu,,,,
331716,27,nose,-,,,,
331717,28,"to breathe",*yawati,,,,
331718,30,mouth,*qawa,,,,
331719,31,tooth,*nivo,,,,
331720,32,tongue,*mea,,,,
331721,33,"to laugh",*maniva,,,,
331722,34,"to cry",*dou,,,,
331723,34,"to cry",*taŋisa,,,,
331724,36,"to spit",*kanu,,,,
331725,37,"to eat",*qani,,,,
331726,38,"to chew",*kuta,,,,
331727,39,"to cook",*vetaqo,,,,
331728,40,"to drink",*inuma,,,,
331729,41,"to bite","*(k,q)arati",,,,
331730,42,"to suck",*susu,,,,
331731,43,ear,*taniŋa,,,,
331732,44,"to hear",*noŋora,,,,
331733,45,eye,*mata,,,,
331734,46,"to see",*kita,,,,
331735,47,"to yawn",*mwaqova,,,,
331736,48,"to sleep",*keno,,,,
331737,49,"to lie down",*qeno,,,,
331738,50,"to dream",*nivi,,,,
331739,52,"to stand",*tovoro,,,,
331740,53,"person/human being",*tomota[u],,,,
331741,54,man/male,"*m(wa,o)(ru)qane",,,,
331742,55,woman/female,*vavine,,,,
331743,56,child,*natu,,,,
331744,56,child,*gwama,,,,
331745,57,husband,*mwaqane,,,,
331746,57,husband,*qawa,,,,
331747,58,wife,*mwa(qa)ne,,,,
331748,58,wife,*qawa,,,,
331749,59,mother,*tina,,,,
331750,60,father,*tama,,,,
331751,61,house,*numa,,,,
331752,62,thatch/roof,*qatova,,,,
331753,63,name,*waqava,,,,
331754,64,"to say",*vona,,,,
331755,65,rope,*qurava,,,,
331756,65,rope,*bwalawa,,,,
331757,66,"to tie up, fasten",*tipwa,,,,
331758,67,"to sew",*saqira,,,,
331759,68,needle,*sa(n)ima,,,,
331760,70,"to shoot",*ruta,,,,
331761,70,"to shoot",*rusa,,,,
331762,72,"to hit",*vunu,,,,
331763,73,"to steal",*vainaqo,,,,
331764,74,"to kill",*vunu[qa],,,,
331765,75,"to die, be dead",*mate,,,,
331766,76,"to live, be alive",*yawati,,,,
331767,77,"to scratch",*qaro,,,,
331768,78,"to cut, hack",*taraqa,,,,
331769,79,stick/wood,"*qai(we,wa)",,,,
331770,81,sharp,*mata,,,,
331771,83,"to work",*paisewa,,,,
331772,84,"to plant",*bagura,,,,
331773,85,"to choose",*(ve)sinua,,,,
331774,86,"to grow",*tubuqa,,,,
331775,87,"to swell",*doro,,,,
331776,88,"to squeeze",*bibi,,,,
331777,89,"to hold",*qabi,,,,
331778,90,"to dig",*sara,,,,
331779,91,"to buy",*gimwane,,,,
331780,92,"to open, uncover","*vu(q,k)esa",,,,
331781,93,"to pound, beat",*tutu,,,,
331782,95,"to fall",*beku,,,,
331783,96,dog,*kedewa,,,,
331784,96,dog,*koukou,,,,
331785,97,bird,*manuqa,,,,
331786,98,egg,*pou,,,,
331787,99,feather,*dagura,,,,
331788,100,wing,*pape,,,,
331789,101,"to fly",*rovo,,,,
331790,103,meat/flesh,*visiqo,,,,
331791,104,fat/grease,*momona@*sapa,,,,
331792,105,tail,*giqu,,,,
331793,106,snake,*mwata,,,,
331794,107,"worm (earthworm)",*dimwa,,,,
331795,107,"worm (earthworm)",*mwatamwata,,,,
331796,108,louse,*kutu,,,,
331797,108,louse,*tuma,,,,
