id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1449,"Proto Papuan Tip","Schlossberg (2012)",,papu1253,"Schlossberg's data come from various sources.See Schlossberg 2012 for details",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip,","Malcolm Ross","Malcolm Ross","@mastersthesis{schlossberg2012,  title  = {Lexical Reconstruction in the Papuan Tip Cluster},  school = {Monash University},  year   = {2012},  author = {Schlossberg, J.}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
331868,1,hand,*lima,,,1,
331869,4,leg/foot,*qaqe,,,,
331870,5,"to walk",*laqo,,,,
331871,6,road/path,*jalan,,,,
331872,7,"to come",*laqoma,,,"1,85",
331873,7,"to come",*mai,,,,
331874,11,dust,*qavu,,,,
331875,12,skin,*kwapi,,,,
331876,13,back,*muri,,,,
331877,14,belly,*boga,,,,
331878,15,bone,*turiqa,,,,
331879,16,intestines,*tinaqe,,,,
331880,17,liver,*qate,,,,
331881,18,breast,*susu,,,,
331882,19,shoulder,*qarava,,,,
331883,22,"to fear",*mataut,,,,
331884,23,blood,*daraq,,,,
331885,24,head,*qulu,,,,
331886,25,neck,*gado,,,,
331887,26,hair,*vulu,,,,
331888,27,nose,*isu,,,,
331889,30,mouth,*ŋudu,,,,
331890,30,mouth,*qawa,,,,
331891,31,tooth,*nivo,,,,
331892,32,tongue,*maya,,,,
331893,32,tongue,*mea,,,,
331894,33,"to laugh",*maliv,,,,
331895,34,"to cry",*taŋis,,,,
331896,35,"to vomit",*mumuta,,,,
331897,36,"to spit",*kanusi,,,,
331898,37,"to eat",*kani,,,,
331899,38,"to chew",*samu,,,,
331900,39,"to cook",*(ve)taqo,,,,
331901,40,"to drink",*inum,,,,
331902,41,"to bite","*(k,q)arati",,,,
331903,42,"to suck",*susu,,,,
331904,43,ear,*taliŋa,,,,
331905,44,"to hear",*loŋor,,,,
331906,45,eye,*mata,,,,
331907,46,"to see",*kita,,,,
331908,47,"to yawn",*mawav,,,,
331909,49,"to lie down",*qeno,,,,
331910,50,"to dream",*nivi,,,,
337298,53,"person/human being",*tau,person,,,
337299,53,"person/human being","*tam(wa,o)ta[u]","human being",,,
