id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1455,Suau,"Schlossberg (2012)",swp,suau1242,"Schlossberg's data come from various sources.See Schlossberg 2012 for details",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear, Suauic","Malcolm Ross","Malcolm Ross","@mastersthesis{schlossberg2012,  title  = {Lexical Reconstruction in the Papuan Tip Cluster},  school = {Monash University},  year   = {2012},  author = {Schlossberg, J.}}"
latitude,longitude
-10.66060000000000000000,150.21000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
333007,1,hand,nima-,,,"1,66",
333008,2,left,seuseuli,,,38,
333009,3,right,tutu,,,"5,70",
333010,4,leg/foot,ʔae,,,1,
333011,5,"to walk",laulau,,,,
333012,6,road/path,dobila,,,72,
333013,6,road/path,eda,,,12,
333014,7,"to come",laoma,,,"1,85",
333015,8,"to turn",bui,,,134,
333016,9,"to swim",tuba,,,17,
333017,9,"to swim",dui,,,93,
333018,10,dirty,biʔi,,,139,
333019,11,dust,"huhua muʔamuʔa",,,,
333020,12,skin,ʔopi,,,15,
333021,13,back,dagila-,,,22,
333022,14,belly,boga-,,,21,
333023,15,bone,siada-,,,26,
333024,16,intestines,sinae,,,1,
333025,17,liver,ʔate,,,1,
333026,18,breast,susu-,,,1,
333027,20,"to know, be knowledgeable",ʔata,,,35,
333028,21,"to think",nuatui,,,30,
333029,22,"to fear",matausi,,,"1,68",
333030,23,blood,ʔosina-,,,21,
333031,24,head,ʔulu,,,1,
333032,25,neck,gado-,,,30,
333033,26,hair,ʔulutalana,,,,
333034,27,nose,isu,,,1,
333035,28,"to breathe",yahua,,,90,
333036,28,"to breathe",yawasi,,,22,
333037,29,"to sniff, smell",panei,,,107,
333038,30,mouth,ʔawa,,,36,
333039,31,tooth,ʔawa,"reflects POc *qawa 'mouth'",,65,
333040,32,tongue,memena,,,7,
333041,33,"to laugh",maluhi,,,66,
333042,34,"to cry",tani,,,1,
333043,34,"to cry",dou,,,8,
333044,35,"to vomit",maliwe,,,4,
333045,36,"to spit",galiso,,,14,
333046,37,"to eat",ʔaiʔai,,,"1,44",
333047,39,"to cook",lauliga,,,28,
333048,40,"to drink",nom,,,"1,34",
333049,41,"to bite",letai,,,,
333050,42,"to suck",madoi,,,,
333051,42,"to suck",susuii,,,25,
333052,43,ear,bea-,,,,
333053,44,"to hear",ataiei,,,75,
333054,45,eye,mata-,,,1,
333055,46,"to see",ʔita,,,1,
333056,48,"to sleep",ʔeno,,,8,
333057,49,"to lie down",ʔeno,,,1,
333058,51,"to sit",bawa,,,158,
333059,52,"to stand",tolo,,,2,
333060,53,"person/human being",doga,,,"1,66",
333061,54,man/male,tau,,,22,
333062,55,woman/female,sine,,,71,
333063,56,child,natu-,,,5,
333064,57,husband,mone,,,26,
333065,57,husband,tau,,,,
333066,58,wife,mone,,,18,
333067,58,wife,sina,,,,
333068,59,mother,sina-,,,1,
333069,60,father,tama-,,,1,
333070,61,house,numa,,,"1,49",
333071,63,name,hesa-,,,"1,18",
333072,64,"to say",liba,,,158,
333073,65,rope,maina,,,86,
333074,66,"to tie up, fasten",ʔau,,,138,
333075,67,"to sew",bodi,,,7,
333076,69,"to hunt",ailoa,,,,
333077,70,"to shoot",lusai,,,48,
333078,71,"to stab, pierce",goli,,,20,
333079,72,"to hit",lubi,,,,
333080,74,"to kill",unui,,,1,
333081,75,"to die, be dead",mate,,,1,
333082,76,"to live, be alive",mauli,,,"1, 76",
333083,77,"to scratch",gahili,,,96,
333084,78,"to cut, hack",ibo,,,129,
333085,79,stick/wood,laga-,,,41,
333086,80,"to split",igali,,,31,
333087,81,sharp,mata,,,36,
333088,82,"dull, blunt",bou,,,21,
333089,83,"to work",umai,,,,
333090,83,"to work",paisoa,,,20,
333091,87,"to swell",pou,,,81,
333092,88,"to squeeze",hihi,,,21,
333093,88,"to squeeze",tam,,,33,
333094,89,"to hold",ʔabi,,,23,
333095,90,"to dig",sala,,,10,
333096,94,"to throw",tu,,,31,
333097,94,"to throw",gabaei,,,117,
333098,95,"to fall",beʔu,,,25,
333099,96,dog,kedewa,,,18,
333100,97,bird,manu,,,1,
333101,98,egg,pou,,,15,
333102,98,egg,kasino,,,102,
333103,100,wing,bala-@mabe,,,86,
333104,101,"to fly",loi,,,92,
333105,102,rat,ibou,,,93,
333106,103,meat/flesh,buluma,,,34,
333107,104,fat/grease,momona-,,,"1,65",
333108,105,tail,dele-,,,81,
333109,106,snake,mota,,,12,
333110,107,"worm (earthworm)",niʔoi,,,88,
333111,108,louse,tuma,,,3,
333112,111,fish,yama,,,33,
333113,112,rotten,posa-,,,"9, 74",
333114,112,rotten,molu,,,"1,65",
333115,113,branch,laga-,,,"1,34",
333116,114,leaf,lugu-,,,16,
333117,115,root,lamu,,,3,
333118,116,flower,pasa,,,33,
333119,116,flower,wane,,,,
333120,117,fruit,ua-ua,,,1,
333121,118,grass,lagau,,,101,
333122,119,earth/soil,tano,,,1,
333123,120,stone,weʔu,,,17,
333124,121,sand,gelegele,,,"30,74",
333125,122,water,goila,,,2,
333126,123,"to flow",didi,,,52,
333127,124,sea,gabogabo,,,73,
333128,125,salt,ʔalita,,,12,
333129,126,lake,pulu,"< 'pool' ?",L?,,
333130,127,woods/forest,nuʔula,,,28,
333131,127,woods/forest,gunuala,,,28,
333132,128,sky,galewa,,,16,
333133,130,star,ʔipola,,,16,
333134,131,cloud,yada,,,102,
333135,131,cloud,yaloi,,,23,
333136,132,fog,goula,,,"1, 55",
333137,132,fog,madagau,,,108,
333138,133,rain,nabu,,,28,
333139,136,wind,mana,,,,
333140,137,"to blow",yuhi,,,4,
333141,137,"to blow",toa,,,20,
333142,138,warm,gigiboli,,,49,
333143,139,cold,gogoma,,,49,
333144,140,dry,pitali,,,74,
333145,141,wet,buta,,,20,
333146,142,heavy,polohe,,,69,
333147,143,fire,"ʔoyagi alasi",,,,
333148,143,fire,ʔoyegialaʔoyalana,,,,
333149,144,"to burn",gabu,,,16,
333150,145,smoke,asu,,,2,
333151,146,ash,ʔahu,,,1,
333152,147,black,dubaduba,,,21,
333153,148,white,posiposi,,,67,
333154,149,red,buyabuya,,,,
333155,150,yellow,yogeyoge,,,86,
333156,151,green,ʔalaʔalawa,,,"13, 52",
333157,152,small,gagili-,,,,
333158,153,big,laʔilaʔi,,,43,
333159,154,short,kuʔukuʔu,,,94,
333160,155,long,lohaloha,,,36,
333161,156,thin,yaloyalo,,,66,
333162,157,thick,potopoto,,,67,
333163,158,narrow,mosisi,,,,
333164,159,wide,tabataba,,,,
333165,159,wide,magagana,,,,
333166,162,old,beabea-,,,50,
333167,163,new,halihaliu-,,,"1,63",
333168,164,good,lolo,,,133,
333169,165,"bad, evil",baʔaya,,,,
333170,166,"correct, true",mamohoi,,,59,
333171,166,"correct, true",dudulai,,,96,
333172,167,night,maiona,,,81,
333173,168,day,ʔasubena,,,"1,31",
333174,169,year,bolimai,,,15,
333175,170,when?,auyana,,,,
333176,173,at,yai,,,12,
333177,174,"in, inside","ʔalo-na yai",,,65,
333178,176,below,guni,,,83,
333179,177,this,inai,,,,
333180,178,that,neʔi,,,,
333181,178,that,meta,,,,
333182,179,near,gegesina,,,,
333183,179,near,dedea,,,,
333184,180,far,loha,,,23,
333185,181,where?,"saha yai","'what at?'",,,
333186,182,I,yau,,,"1,21",
333187,183,thou,oa,,,"1,64",
333188,184,he/she,ia,,,1,
333189,185,we,ʔai,,,,
333190,185,we,ʔita,,,,
333191,186,you,ʔomi,,,"1,13",
333192,187,they,isi,,,62,
333193,188,what?,saha,,,1,
333194,189,who?,yai,,,56,
333195,190,other,esau,,,68,
333196,190,other,headi,,,,
333197,191,all,gamagali,,,,
333198,192,and,yo,,,62,
333199,192,and,hinage,,,,
333200,193,if,taba,,,"28,83",
333201,194,how?,edoha,,,19,
333202,195,"no, not",nige,,,"23,24",
333203,196,"to count",hasili,,,20,
333204,197,One,ʔesega,,,32,
333205,198,Two,labui,,,12,
333206,199,Three,haiona,,,66,
333207,200,Four,hasi,,,"1,65",
333208,201,Five,haligigi,,,23,
