id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1463,"Isinay (Dupax)","Sarah Eve Perlawan",inn,isin1239,"Perlawan, Sarah Eve. 2015. Grammatical Sketch of Isinay Dupax. m.s. University of the Philippines, Diliman.Standard Isinay as spoken in Dupax del Sur municipality, Nueva Vizcaya province, Philippines",,"Austronesian, Malayo-Polynesian, Philippine, Northern Luzon, Meso-Cordilleran, South-Central Cordilleran, Central Cordilleran, Isinai","Andrew Hsiu",,"@book{perlawan2015a,  date      = {2015},  title     = {Grammatical Sketch of Isinay Dupax},  publisher = {University of the Philippines, Diliman.},  address   = {Philippines},  author    = {Perlawan, Sarah Eve}}"
latitude,longitude
16.32990000000000000000,121.12000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
334608,1,hand,lima,'li?.ma,,"1,64",
334609,2,left,ihir,?i.'hir,,,
334610,3,right,wawan,wa.'wan,,1,
334611,4,leg/foot,si-i,si.'?i?,,,
334612,5,"to walk",manlaar,man.'la?.?ar,,,
334613,6,road/path,deyan,'de?.jan,,,
334614,7,"to come",dumatong,du.ma.'to?,,,
334615,9,"to swim",man-iyat,man.'?i?.jat,,,
335085,10,dirty,maleta,ma.'le?.ta,,,
335086,10,dirty,nariddi-a,na.'rid.di.?a,,,
335065,11,dust,bunuvun,bu.'nu?.?un,,,
335066,11,dust,depu,de.'pu?,,,
334618,12,skin,katat,ka.'tat,,,
334619,13,back,oroj,?o.'roh,,,
334620,14,belly,putu,pu.'tu?,,,
334621,15,bone,tueng,tu.'?e?,,,
334622,16,intestines,bitu-a,bi.'tu?.?a,,,
334623,17,liver,etoy,,,"1,51",
334624,18,breast,susu,'su?.su,,,
334625,19,shoulder,abeya,?a.'be?.ja,,,
334626,20,"to know, be knowledgeable",amton,'?am.ton,,,
335069,21,"to think",man-esep,man.'?e?.sep,,,
335070,21,"to think",esepon,?e.'se?.pon,,,
334628,22,"to fear",tumaut,tu.'ma?.?ut,,,
334629,23,blood,deya,'de?.ja,,,
334630,24,head,iyu,'?i?.ju,,,
334631,25,neck,tongor,to.'?or,,,
334632,26,hair,bû,bu?,,,
334633,27,nose,eyong,?e.'jo?,,,
334634,28,"to breathe",manlong-ah,man.'lo?.?ah,,,
334635,29,"to sniff, smell",mantepa,"man.'te?.pa (Tagalog: mangamoy)",,,
334636,30,mouth,taaw,ta.'?aw,,38,
335077,31,tooth,bava,"'ba?.?a (front tooth)",,,
335078,31,tooth,bawa,"'ba?.wa (front tooth)",,,
334638,33,"to laugh",mantatawa,man.ta.'ta?.wa,,,
334639,35,"to vomit",man-uta,man.'?u?.ta,,,
334640,36,"to spit",manluppa,man.'lup.pa,,44,
334641,37,"to eat",mangan,ma.'?an,,,
335093,40,"to drink",inumon,?i.nu.'mon,,,
335094,40,"to drink",man-inum,man.?i.'num,,,
334643,41,"to bite",eyaton,?e.ja.'ton,,1,
334644,42,"to suck",supsupon,sup.su.'pon,,,
334645,43,ear,tangila,ta.'?i?.la,L,,
