id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1465,Proto-Manobo,"Richard E. Elkins (1974)",,mano1276,"Elkins, Richard E. 1974. A Proto-Manobo Word List. Oceanic Linguistics 13. 601-641.",,"Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Manobo","Andrew Hsiu",,"@article{147167,  journal    = {Oceanic Linguistics},  number     = {1/2},  pages      = {601-641},  title      = {A Proto-Manobo Word List},  volume     = {13},  year       = {1974},  bibtexkey  = {elkins_manobo-list1974},  fn         = {papua\elkins_proto-manobo1974.pdf},  hhtype     = {overview;comparative},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#hv:Elkins:Proto-Manobo},  author     = {Elkins, Richard E.}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
334939,1,hand,*belad,,,,
334940,2,left,*gibang,,,24,
334941,3,right,*kawanan,"right hand",,"1,62",
334942,4,leg/foot,*paʔa,leg,,20,
334943,5,"to walk",*(hi)panaw,,,,
334944,6,road/path,*dalan,"path (trail)",,,
334945,14,belly,*getek,,,,
334946,15,bone,*tuʔlan,,,,
334947,17,liver,*ʔatay,,,,
335044,22,"to fear",*haldek,,,,
335045,22,"to fear",*handek,,,,
334949,23,blood,*langesa,,,,
334950,24,head,*ʔulu,,,,
334951,25,neck,*liʔeg,,,,
334952,27,nose,*ʔidung,,,,
334953,29,"to sniff, smell",*hadek,"to smell or kiss",,,
334954,30,mouth,*baʔbaʔ,,,,
334955,31,tooth,*ngipen,,,,
334956,32,tongue,*dilaʔ,,,4,
334957,34,"to cry",*sinegaw,,,,
334958,36,"to spit",*ʔileb,,,,
334959,37,"to eat",*kaʔen,,,,
335089,40,"to drink",*ʔinem,,,,
335090,40,"to drink",*ʔinum,,,,
334961,41,"to bite",*kagat,,,,
334962,43,ear,*talinga,,,,
334963,45,eye,*mata,,,,
334964,48,"to sleep",*lipedeng,,,,
334965,51,"to sit",*pinuʔu,,,,
334966,52,"to stand",*(hi)tindeg,,,,
334967,53,"person/human being",*etaw,,,,
334968,54,man/male,*maʔama,,,,
334969,55,woman/female,*bahi,,,,
335132,56,child,*bataʔ,"2nd word - offspring",,,
335133,56,child,*ʔanak,,,,
334971,57,husband,*ʔasawa,spouse,,,
334972,58,wife,*ʔasawa,spouse,,,
334973,59,mother,*ʔinay,,,,
334974,60,father,*ʔamay,,,,
334975,61,house,*balay,,,,
334976,62,thatch/roof,*ʔatep,,,,
334977,63,name,*ngadan,,,,
334978,65,rope,*pisiʔ,,,,
334979,67,"to sew",*taHiʔ,,,,
334980,68,needle,*dagum,,,,
334981,74,"to kill",*himatay,,,,
334982,81,sharp,*garang,,,,
334983,85,"to choose",*piliʔ,,,,
335091,96,dog,*ʔasu,,,1,
335092,96,dog,*tuyang,,,,
334985,100,wing,*pakpak,,,,
334986,101,"to fly",*layang,,,,
334987,105,tail,*ʔikug,,,,
334988,106,snake,*ʔuled,,,,
334989,108,louse,*kutu,,,,
334990,109,mosquito,*tag(e)nek,,,,
334991,114,leaf,*dahun,,,1,
334992,115,root,*dalid,,,,
334993,116,flower,*bulak,,,,
334994,119,earth/soil,*tanaʔ,,,,
334995,120,stone,*batu,,,,
334996,121,sand,*pantad,,,,
334997,122,water,*wahig,,,,
334998,126,lake,*danaw,,,,
334999,128,sky,*langit,,,,
335000,129,moon,*bulan,,,,
335001,130,star,*bituʔen,,,,
335002,133,rain,*ʔudan,,,,
335003,134,thunder,*rugung,,,,
335004,135,lightning,*kilat,,,,
335005,136,wind,*karamag,,,,
335006,140,dry,*mada,,,,
335007,141,wet,*hames,,,,
335008,142,heavy,*begat,,,,
335009,143,fire,*hapuy,,,,
335010,145,smoke,*ʔebel,,,,
335011,147,black,*ʔitem,,,,
335012,148,white,*putiʔ,,,1,
335013,151,green,*ʔilem,,,,
335014,152,small,*deʔisek,,,,
335015,153,big,*dakel,,,,
335016,155,long,*layat,,,,
335017,156,thin,*nipis,,,,
335018,157,thick,*kepal,,,,
335019,160,"painful, sick",*sakit,,,,
335020,163,new,*bag(ʔ)u,,,,
335021,167,night,*dukilem,,,,
335128,168,day,*ʔaldaw,,,,
335129,168,day,*ʔandaw,,,,
335023,169,year,*tuʔig,,,,
335024,171,"to hide",*heles,,,,
335025,172,"to climb",*(pa[N]-)naHik,,,,
335026,179,near,*dani,,,,
335027,180,far,*diyuʔ,,,,
335028,198,Two,*(da)duwa,,,,
335029,199,Three,*(ta)telu,,,,
335030,200,Four,*(ha)ʔepat,,,,
335031,202,Six,*(ha)ʔenem,,,,
335032,204,Eight,*walu,,,,
335040,205,Nine,*siyam,,,,
335041,205,Nine,*siyaw,,,,
335034,206,Ten,*sa(m)puluʔ,,,,
335035,209,"One Hundred",*gatus,,,,
335036,210,"One Thousand",*libu,,,,
