id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1468,"Proto North Sarawak","Smith (2015)",,nort3171,"Smith, A.D. (2015). On the classification of Kenyah and Kayanic languages. Oceanic Linguistics, 54, 2, 333-357.",,"Austronesian, Malayo-Polynesian, North Borneo, North Sarawakan","Kwang-Ju Cho",,"@article{478018,  author     = {Smith, Alexander D.},  journal    = {Oceanic Linguistics},  number     = {2},  pages      = {333-357},  title      = {On the classification of Kenyah and Kayanic languages},  volume     = {54},  year       = {2015},  besttxt    = {ptxt2papuasmith_kenyah-kayanic2015.txt},  cfn        = {papuasmith_kenyah-kayanic2015.pdf},  fn         = {papuasmith_kenyah-kayanic2015.pdf},  hhtype     = {overview;comparative;wordlist},  inlg       = {English [eng]},  lgcode     = {Lebo' Vo' in Long San = Mboh (a Kenyan lg) = Western Lowland Kenyah [ttw], Uma' Pawe = Eastern Lowland Kenyah [whk], Lepo' Gah, Lepo' Laang, Lepo' Sawa', Lepo' Tau = Kenyah-Mainstream [xkl], Badeng = Kenyah-Mainstream [xkl], Ngorek = Murik (Malaysia) [mxr], Long Naah Kayan = Baram Kayan [kys]},  macro_area = {Papunesia},  src        = {hh}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
336454,13,back,*kikud,back,,,
336469,16,intestines,*tinaʔi,intestines,,,
336470,23,blood,*daRaʔ,blood,,,
336467,24,head,*ulu,head,,,
336475,25,neck,*likəR,neck,,,
336466,26,hair,*əbʰuk,"head hair",,,
336477,27,nose,*uduŋ/ənduŋ,nose,,,
336473,30,mouth,*əbʰaʔ,mouth,,,
336483,31,tooth,*ŋipən,tooth,,,
336460,40,"to drink",*inum,drink,,,
336461,45,eye,*mata,eye,,,
336485,47,"to yawn",*huab,yawn,,19,
336480,48,"to sleep",*tiduR,sleep,,,
336481,52,"to stand",*diRi,stand,,1,
336471,54,man/male,*laki,man,,2,
336484,55,woman/female,*dədʰuR,woman,,,
336472,59,mother,*t-ina/*ina-i,mother,,1,
336474,63,name,*ŋadan,name,,,
336479,65,rope,*tali,rope,,,
336456,97,bird,*manuk-manuk,bird,,,
336482,105,tail,*ikuR,tail,,1,
336468,109,mosquito,*Ratus,hundred,,,
336464,118,grass,*udu,grass,,,
336458,131,cloud,*abun,cloud,,,
336478,133,rain,*ujan,rain,,,
336463,143,fire,*apuy,fire,,,
336457,147,black,*mitən,black,,,
336465,151,green,*gaduŋ,green,,,
336455,153,big,*Raya,big,,1,
336476,163,new,*bəʔəRu,new,,,
336459,168,day,*ədʰaw,day,,,
336486,169,year,*taʔun,year,,,
336462,180,far,*jauʔ,far,,1,
336437,183,thou,*kahu,2SG,,,
336438,184,he/she,*ia,3SG,,,
336439,185,we,*kita,1PL.IN,,,
336440,185,we,*kami,1PL.EX,,,
336436,186,you,*aku,1SG,,,
336441,186,you,*ikəm,2PL,,,
336442,187,they,*ida,3PL,,1,
336453,192,and,*ŋan,and,,65,
336443,197,One,*əjʰa,one,,,
336444,198,Two,*dua,two,,,
336445,199,Three,*təlu,three,,,
336446,200,Four,*əpat,four,,,
336447,201,Five,*lima,five,,,
336448,202,Six,*ənəm,six,,,
336449,203,Seven,*tujuʔ,seven,,4,
336450,204,Eight,*walu,eight,,,
336451,205,Nine,*siwa(?),nine,,,
336452,205,Nine,*puluʔ,ten,,,
