id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1470,"Lebo' Vo'","Smith (2015)",xkl,main1275,"Smith, A.D. (2015). On the classification of Kenyah and Kayanic languages. Oceanic Linguistics, 54, 2, 333-357.",,"Austronesian, Malayo-Polynesian, North Borneo, North Sarawakan, Kayan-Kenyah, Kenyah","Kwang-Ju Cho",,"@article{478018,  author     = {Smith, Alexander D.},  journal    = {Oceanic Linguistics},  number     = {2},  pages      = {333-357},  title      = {On the classification of Kenyah and Kayanic languages},  volume     = {54},  year       = {2015},  besttxt    = {ptxt2papuasmith_kenyah-kayanic2015.txt},  cfn        = {papuasmith_kenyah-kayanic2015.pdf},  fn         = {papuasmith_kenyah-kayanic2015.pdf},  hhtype     = {overview;comparative;wordlist},  inlg       = {English [eng]},  lgcode     = {Lebo' Vo' in Long San = Mboh (a Kenyan lg) = Western Lowland Kenyah [ttw], Uma' Pawe = Eastern Lowland Kenyah [whk], Lepo' Gah, Lepo' Laang, Lepo' Sawa', Lepo' Tau = Kenyah-Mainstream [xkl], Badeng = Kenyah-Mainstream [xkl], Ngorek = Murik (Malaysia) [mxr], Long Naah Kayan = Baram Kayan [kys]},  macro_area = {Papunesia},  src        = {hh}}"
latitude,longitude
3.54440000000000000000,114.03900000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
336566,10,dirty,səgit,dirty,,,
336560,13,back,likot,back,,1,
336576,16,intestines,bure,intestines,,,
336577,23,blood,laaʔ,blood,,,
336574,24,head,ulu,head,,,
336583,25,neck,batok,neck,,,
336573,26,hair,ɓok,"head hair",,1,
336585,27,nose,roŋ,nose,,,
336581,30,mouth,muʄu,mouth,,,
336594,31,tooth,jipɨ,tooth,,,
336567,40,"to drink",nəsəp,drink,,,
336568,45,eye,matɨ,eye,,,
336596,47,"to yawn",nuap,yawn,,19,
336590,48,"to sleep",luroʔ,sleep,,,
336589,51,"to sit",məñon,"sit down",,,
336592,52,"to stand",nəkəɗeŋ,stand,,18,
336578,54,man/male,laki,man,,2,
336595,55,woman/female,ləɗo,woman,,,
336580,59,mother,inaʔ,mother,,,
336582,63,name,ŋaran,name,,,
336587,65,rope,tali,rope,,,
336562,97,bird,sui,bird,,,
336593,105,tail,iko,tail,,,
336575,109,mosquito,ato,hundred,,,
336579,109,mosquito,yəŋ,mosquito,,,
336591,110,spider,*kəlawaʔ,spider,,,
336571,118,grass,uru,grass,,52,
336588,125,salt,usən,salt,,,
336564,131,cloud,aɓun,cloud,,,
336586,133,rain,imaʔ,rain,,,
336570,143,fire,lutən,fire,,,
336563,147,black,paɗəŋ,black,,,
336572,151,green,biləŋ,green,,,
336561,153,big,bioʔ,big,,,
336584,163,new,mariŋ,new,,,
336565,168,day,ɗaw,day,,,
336597,169,year,uman,year,,,
336569,180,far,ʄoʔ,far,,1,
336543,183,thou,ikoʔ,2SG,,,
336544,184,he/she,yɨ,3SG,,,
336545,185,we,təpat/ilu,1PL.IN,,,
336546,185,we,ameʔ,1PL.EX,,,
336542,186,you,akeʔ,1SG,,,
336547,186,you,ikəm,2PL,,,
336548,187,they,irɨ,3PL,,,
336559,192,and,ŋan,and,,65,
336549,197,One,ʄo,one,,,
336550,198,Two,luɨ,two,,,
336551,199,Three,təlu,three,,,
336552,200,Four,pat,four,,,
336553,201,Five,ləmɨ,five,,,
336554,202,Six,nəm,six,,,
336555,203,Seven,tuʄək,seven,,4,
336556,204,Eight,ayɨ,eight,,,
336557,205,Nine,*piʔən,nine,,,
336558,205,Nine,ʄap,ten,,,
