id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1475,"Lepo' Tau","Smith (2015)",xkl,main1275,"Smith, A.D. (2015). On the classification of Kenyah and Kayanic languages. Oceanic Linguistics, 54, 2, 333-357.",,"Austronesian, Malayo-Polynesian, North Borneo, North Sarawakan, Kayan-Kenyah, Kenyah","Kwang-Ju Cho",,"@article{478018,  author     = {Smith, Alexander D.},  journal    = {Oceanic Linguistics},  number     = {2},  pages      = {333-357},  title      = {On the classification of Kenyah and Kayanic languages},  volume     = {54},  year       = {2015},  besttxt    = {ptxt2papuasmith_kenyah-kayanic2015.txt},  cfn        = {papuasmith_kenyah-kayanic2015.pdf},  fn         = {papuasmith_kenyah-kayanic2015.pdf},  hhtype     = {overview;comparative;wordlist},  inlg       = {English [eng]},  lgcode     = {Lebo' Vo' in Long San = Mboh (a Kenyan lg) = Western Lowland Kenyah [ttw], Uma' Pawe = Eastern Lowland Kenyah [whk], Lepo' Gah, Lepo' Laang, Lepo' Sawa', Lepo' Tau = Kenyah-Mainstream [xkl], Badeng = Kenyah-Mainstream [xkl], Ngorek = Murik (Malaysia) [mxr], Long Naah Kayan = Baram Kayan [kys]},  macro_area = {Papunesia},  src        = {hh}}"
latitude,longitude
3.54440000000000000000,114.03900000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
336841,10,dirty,mano,dirty,,,
336835,13,back,likot,back,,1,
336851,16,intestines,tənaʔi,intestines,,,
336852,23,blood,daaʔ,blood,,,
336849,24,head,ulu,head,,,
336858,25,neck,batok,neck,,,
336848,26,hair,pok,"head hair",,1,
336860,27,nose,ntoŋ,nose,,,
336856,30,mouth,paʔ,mouth,,,
336869,31,tooth,jipən,tooth,,,
336842,40,"to drink",nisəp,drink,,,
336843,45,eye,mata,eye,,,
336871,47,"to yawn",nuap,yawn,,19,
336865,48,"to sleep",luntoʔ,sleep,,,
336864,51,"to sit",madoŋ,"sit down",,98,
336867,52,"to stand",nəkəjəŋ,stand,,18,
336853,54,man/male,laki,man,,2,
336870,55,woman/female,ləto,woman,,,
336855,59,mother,ueʔ,mother,,,
336857,63,name,ŋadan,name,,,
336862,65,rope,tali,rope,,,
336837,97,bird,sui,bird,,,
336868,105,tail,iko,tail,,,
336850,109,mosquito,ato,hundred,,,
336854,109,mosquito,yəŋ,mosquito,,,
336866,110,spider,kəlawaʔ,spider,,,
336846,118,grass,udu,grass,,52,
336863,125,salt,usən,salt,,,
336839,131,cloud,abun,cloud,,,
336861,133,rain,ujan,rain,,,
336845,143,fire,lutən,fire,,,
336838,147,black,saləŋ,black,,,
336847,151,green,biləŋ,green,,,
336836,153,big,bioʔ,big,,,
336859,163,new,madiŋ,new,,,
336840,168,day,taw,day,,,
336872,169,year,uman,year,,,
336844,180,far,coʔ,far,,1,
336819,183,thou,ikoʔ,2SG,,,
336820,184,he/she,ia,3SG,,,
336821,185,we,təpat,1PL.IN,,,
336822,185,we,"ameʔ pat",1PL.EX,,,
336818,186,you,akeʔ,1SG,,,
336823,186,you,ikəm,2PL,,,
336824,187,they,ida,3PL,,1,
336825,197,One,ca,one,,,
336826,198,Two,dua,two,,,
336827,199,Three,təlu,three,,,
336828,200,Four,pat,four,,,
336829,201,Five,ləma,five,,,
336830,202,Six,nəm,six,,,
336831,203,Seven,tujoʔ,seven,,4,
336832,204,Eight,aya,eight,,,
336833,205,Nine,*piʔən,nine,,,
336834,205,Nine,puloʔ,ten,,,
