id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1482,Ajiø,"Leenhardt (1946)",aji,ajie1238,"Leenhardt, Maurice. 1946. Langues et dialectes de l'Austro-Mèlanèsie","Transcription converteⁿd to IPA based on author's phonetic descriptions.Except: some vowels;    [r̃] = \"dental nasalised liquid\"; and    [’], which I assume to be glottal stop but the author does not explicitly discuss.","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Southern, South, Wailic","Mary Walworth & John Lynch",,"@book{303461,  address    = {Paris},  author     = {Leenhardt, Maurice},  pages      = {697},  publisher  = {Institut d'Ethnologie},  series     = {Travaux et Mémoires de l'Institut d'Ethnologie},  title      = {Langues et dialectes de l'Austro-Mélanésie},  volume     = {XLVI},  year       = {1946},  besttxt    = {ptxt2papualeenhardt_austro-melanesie1946_o.txt},  fn         = {papualeenhardt_austro-melanesie1946.pdf, papualeenhardt_austro-melanesie1946pages.pdf, papualeenhardt_austro-melanesie1946_o.pdf},  hhtype     = {overview;comparative;wordlist;specific_feature},  inlg       = {French [fra]},  lgcode     = {Ajië [aji], Arha = Arhâ [aqr], Aro = Arhö [aok], Boewe = Orowe [bpk], Sirhe = Sîshëë [sih], Neku [nek], Ciri = Tiri [cir], Anesu = Xârâcùù [ane], Aragure = Xârâgurè [axx], Dubea = Drubea [duf], Kapone = Numèè [kdk], Pati = Paicî [pri], Camuki = Cemuhî [cam], Pinje = Pije [piz], Poai = Fwâi [fwa], Nemi = Nemi [nem], Wamoang = Waamwang [wmn], Jawe [jaz], Moenebeng = Caac [msq], Yalasu = Balade [NOCODE_Balade], Belep = Belep Nyelâyu [yly], Nenema = Nêlêmwa-Nixumwak [nee], Koumac = Nêlêmwa-Nixumwak [nee], Nua/Bonde = Yuanga [nua], Poapoa = Pwapwâ [pop], Poamei = Pwaamei [pme], Moaveke = Hmwaveke [mrk], Moaeke = Vamale [mkt], Aveke = Haveke [hvk], Aeke = Haeke [aek], Nengone [nen], Iwatenu = Nengone [nen], De'u = Dehu [dhv], Miñ = Dehu [dhv], Iai = Iaai [iai]},  macro_area = {Papunesia},  oclc       = {870114007},  src        = {hh}}"
latitude,longitude
-21.30290000000000000000,165.46800000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
337804,1,hand,"kowi ø xerua",,,28,
337851,2,left,"e ⁿdara",,,29,
337884,3,right,"e gamë",,,60,
337916,4,leg/foot,"kowi ø xeria",,,54,
337960,5,"to walk",vana,,,2,
337994,6,road/path,weʝe,,,30,
338028,7,"to come",mi,,,1,
338060,8,"to turn",pugewe,,,92?,
338092,9,"to swim",u,,,5,
338124,11,dust,purujë,,,"20,6",
338158,13,back,"ⁿdɛ ɛ",,,82,
338192,14,belly,"poe e",,,36,
338226,16,intestines,"koena e",,,82,
338260,17,liver,"kamere e",,,62,
338294,18,breast,"mɛsã e",,,"8, 60",
338329,19,shoulder,"ᵐbegunu e",,,64,
338363,20,"to know, be knowledgeable",t̪awai,,,1,
338396,21,"to think",ᵐbara,,,101,
338429,23,blood,"wara xiø",,,"65,1",
338463,24,head,"goa e",,,9,
338498,25,neck,"koegunu e",,,23,
338532,26,hair,"punugoa e",,,31,
338566,27,nose,"kʷi ø",,,11,
338600,29,"to sniff, smell",t̪apɛ,,,113,
338635,30,mouth,"newã e",,,36,
338668,31,tooth,"pewa e",,,21,
338701,32,tongue,"koromɛ ɛ",,,"14,7",
338735,35,"to vomit",go:ru,,,39?,
338773,37,"to eat",ã,,,,
338774,37,"to eat",ara,,,39,
338807,40,"to drink",wa,,,66,
338808,40,"to drink",waʝo,,,66,
338854,42,"to suck",ji,,,25,
338888,43,ear,"ᵐboⁿde e",,,16,
338921,44,"to hear",poer̃e,,,7,
338922,44,"to hear",t̪apɛ,,,,
338953,45,eye,"piemɛ ɛ",,,"31,1",
338986,46,"to see",rʃi,,,,
339029,48,"to sleep","kuru veine",,,,
339060,49,"to lie down",kuru,,,1,
339092,50,"to dream",ŋøxë,,,64,
339124,53,"person/human being","kamo xiø",,,93,
339158,54,man/male,wi,,,,
339159,54,man/male,"wi xiø",,,,
339225,55,woman/female,ᵐboe,,,1?,
339226,55,woman/female,"ᵐboɛ xiø",,,1?,
339288,56,child,"osari xiø",,,,
339289,56,child,"ole e",,,,
339320,57,husband,"kui e",,,2,
339354,58,wife,"kui e",,,"1,53",
339390,59,mother,"pani ø",,,"1,45",
339424,60,father,"pøva xiø",,,37,
339459,61,house,moa,,,1,
339493,62,thatch/roof,ⁿdeo:,,,"1,61",
339528,64,"to say",er̃e,,,104,
339560,65,rope,koe,,,25,
339595,68,needle,kaju,,,,
339631,72,"to hit",rʃovoxɛ,,,11,
339662,75,"to die, be dead",mɛt̪e,,,1,
339663,75,"to die, be dead",mɛ,,,1,
339704,78,"to cut, hack",ke,,,133,
339705,78,"to cut, hack",si,,,131,
339744,79,stick/wood,ùrù,,,7,
339783,84,"to plant",nai,,,44,
339815,85,"to choose",paᵐbiri,,,42,
339846,92,"to open, uncover",cĩi,,,78,
339878,93,"to pound, beat",rʃa,,,66,
339911,95,"to fall",ᵐbei,,,128,
339912,95,"to fall",ma,,,128,
339951,96,dog,lova,,,,
339952,96,dog,t̪aua,,,45,
339987,97,bird,mùr̃ù,,,1,
340021,101,"to fly",ce,,,93,
340054,102,rat,ᵐbarawe,,,1,
340055,102,rat,sipù,,,3,
340109,107,"worm (earthworm)",kavea,,,,
340145,109,mosquito,na,,,1,
340179,110,spider,naᵐbo,,,91,
340213,111,fish,exoa,,,1,
340247,113,branch,jiø,,,15,
340281,114,leaf,"ⁿdø e",,,1,
340315,115,root,"koɛ ɛ",,,"2,41,42",
340350,117,fruit,"poẽ ɛ",,,1,
340384,119,earth/soil,jë,,,1,
340418,120,stone,pesa,,,,
340453,121,sand,ⁿda:we,,,15,
340487,122,water,rʃë,,,1,
340521,124,sea,nekuie,,,18,
340522,124,sea,"nerʃë mai",,,23,
340556,128,sky,neko,,,35,
340590,129,moon,varui,,,21,
340625,130,star,arawire,,,"28,16?",
340659,131,cloud,ko:,,,12,
340693,133,rain,koa,,,27?,
340726,134,thunder,noro,,,2,
340759,135,lightning,kasø,,,1,
340792,136,wind,kasa,,,,
340825,138,warm,maxɛ,,,108,
340826,138,warm,pixe,,,37,
340863,139,cold,kieo,,,127,
340896,140,dry,meri,,,1,
340929,141,wet,ⁿdi,,,111,
340963,143,fire,kemoru,,,45,
340998,145,smoke,"puru kemoru",,,89,
341032,146,ash,ⁿdɛ,,,1,
341066,147,black,ᵐboere,,,90,
341100,148,white,ue,,,22,
341101,148,white,mɛ,,,121,
341136,149,red,mi:,,,"1,55",
341168,150,yellow,mi:,,,x,
341169,150,yellow,kakoⁿdøxaru,,,"96,88",
341205,151,green,kono,,,44,
341237,152,small,sari,,,,
341269,153,big,kau,,,101,
341303,156,thin,aranaᵐbi,,,60,
341337,157,thick,sivɛ,,,,
341369,160,"painful, sick","pei mɛ",,,"51,1",
341408,162,old,mᵐbear̃i,,,16,
341409,162,old,joe,,,29,
341453,163,new,ⁿdovo,,,18,
341488,164,good,ø,,,53,
341522,165,"bad, evil",sane,,,,
341556,166,"correct, true",avar̃i,,,1?,
341590,167,night,ᵐboe,,,1,
341624,168,day,karẽ,,,6?,
341658,170,when?,ani,,,1,
341659,170,when?,waneʝe,,,1,
341692,174,"in, inside",ro,,,1,
341693,174,"in, inside",roi,,,1,
341694,174,"in, inside",ru,,,1,
341732,179,near,"t̪o ve uᵐba",,,109,
341764,180,far,mai,,,96,
341765,180,far,"t̪o ve mai",,,96,
341800,181,where?,we,,,3,
341801,181,where?,ari,,,,
341835,182,I,ɲa,,,"1,22?",
341871,183,thou,i,,,1,
341902,184,he/she,e,,,1,
341903,184,he/she,ø,,,1,
341936,185,we,re,,,,
341937,185,we,ve,,,,
341995,186,you,vø,,,1,
342025,187,they,re,,,"1,70",
342058,188,what?,jiø,,,1,
342059,188,what?,"jø wene",,,1,
342097,192,and,ma,,,2,
342130,193,if,ki,,,86,
342161,195,"no, not",ae,,,10,
342195,196,"to count",vana,,,26,
342229,197,One,rʃa,,,14,
342230,197,One,rʃaxa,,,14,
342266,198,Two,karu,,,1,
342300,199,Three,kariri,,,1,
342334,200,Four,kavue,,,"1,65",
342368,201,Five,kani,,,"1,15",
342402,202,Six,"kani na ma rʃaxa",,,,
342436,203,Seven,"kani na ma karu",,,,
342469,204,Eight,"kani na ma kariri",,,,
342503,205,Nine,"kani na ma kavue",,,,
342536,206,Ten,paroro,,,12,
342571,207,Twenty,"t̪awerɛ rʃa kamo",,,,
342602,209,"One Hundred","kani kamo",,,,
