id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1484,Aro,"Leenhardt (1946)",aok,arho1237,"Leenhardt, Maurice. 1946. Langues et dialectes de l'Austro-Mèlanèsie","Transcription converteⁿd to IPA based on author's phonetic descriptions.Except: some vowels;    [r̃] = \"dental nasalised liquid\"; and    [’], which I assume to be glottal stop but the author does not explicitly discuss.","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Southern, South, Wailic","Mary Walworth & John Lynch",,"@book{303461,  address    = {Paris},  author     = {Leenhardt, Maurice},  pages      = {697},  publisher  = {Institut d'Ethnologie},  series     = {Travaux et Mémoires de l'Institut d'Ethnologie},  title      = {Langues et dialectes de l'Austro-Mélanésie},  volume     = {XLVI},  year       = {1946},  besttxt    = {ptxt2papualeenhardt_austro-melanesie1946_o.txt},  fn         = {papualeenhardt_austro-melanesie1946.pdf, papualeenhardt_austro-melanesie1946pages.pdf, papualeenhardt_austro-melanesie1946_o.pdf},  hhtype     = {overview;comparative;wordlist;specific_feature},  inlg       = {French [fra]},  lgcode     = {Ajië [aji], Arha = Arhâ [aqr], Aro = Arhö [aok], Boewe = Orowe [bpk], Sirhe = Sîshëë [sih], Neku [nek], Ciri = Tiri [cir], Anesu = Xârâcùù [ane], Aragure = Xârâgurè [axx], Dubea = Drubea [duf], Kapone = Numèè [kdk], Pati = Paicî [pri], Camuki = Cemuhî [cam], Pinje = Pije [piz], Poai = Fwâi [fwa], Nemi = Nemi [nem], Wamoang = Waamwang [wmn], Jawe [jaz], Moenebeng = Caac [msq], Yalasu = Balade [NOCODE_Balade], Belep = Belep Nyelâyu [yly], Nenema = Nêlêmwa-Nixumwak [nee], Koumac = Nêlêmwa-Nixumwak [nee], Nua/Bonde = Yuanga [nua], Poapoa = Pwapwâ [pop], Poamei = Pwaamei [pme], Moaveke = Hmwaveke [mrk], Moaeke = Vamale [mkt], Aveke = Haveke [hvk], Aeke = Haeke [aek], Nengone [nen], Iwatenu = Nengone [nen], De'u = Dehu [dhv], Miñ = Dehu [dhv], Iai = Iaai [iai]},  macro_area = {Papunesia},  oclc       = {870114007},  src        = {hh}}"
latitude,longitude
-21.31830000000000000000,165.16100000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
337807,1,hand,"ã e xerua",,,28,
337853,2,left,"e ⁿdara",,,29,
337886,3,right,"e kamo:",,,60,
337919,4,leg/foot,"ã e xeia",,,54,
337962,5,"to walk",vørɛ,,,2,
337996,6,road/path,oⁿdoxa,,,61?,
338030,7,"to come",ma:,,,1,
338062,8,"to turn",kipoenawe,,,92?,
338094,9,"to swim",øe,,,86?,
338126,11,dust,"puru ⁿdo:",,,"20,65",
338160,13,back,"net̪u e",,,82,
338194,14,belly,"poe e",,,36,
338228,16,intestines,"muwer̃e e",,,,
338262,17,liver,"xomo e",,,62,
338296,18,breast,"mɛji ø",,,"8,1",
338331,19,shoulder,"moekaù e",,,64,
338365,20,"to know, be knowledgeable",t̪øwai,,,1,
338398,21,"to think",ko:xo:,,,103,
338431,23,blood,"koru i ø",,,"45,1",
338465,24,head,"moẽ ɛ",,,9,
338500,25,neck,"wereko e",,,,
338534,26,hair,"punumo e",,,31,
338568,27,nose,"mokõi ø",,,"14,11",
338602,29,"to sniff, smell",t̪apɛ,,,113,
338637,30,mouth,"nepɛ ɛ",,,36,
338670,31,tooth,"mepɛ ɛ",,,,
338703,32,tongue,"koromɛ ɛ",,,"14,7",
338738,35,"to vomit",go:wi,,,39?,
338776,37,"to eat",ara,,,39,
338810,40,"to drink",ejo,,,66,
338856,42,"to suck",ji,,,25,
338890,43,ear,"ᵐbaⁿdenũ e",,,16,
338924,44,"to hear",t̪øpar̃a,,,7,
338955,45,eye,"purukõi ø",,,,
338988,46,"to see",t̪oroa,,,130,
339031,48,"to sleep","mi ve uru",,,,
339062,49,"to lie down",mi,,,105,
339094,50,"to dream",kausa,,,,
339126,53,"person/human being","kamo i ø",,,93,
339162,54,man/male,pao,,,8,
339163,54,man/male,"pao i ø",,,8,
339229,55,woman/female,wijo,,,,
339230,55,woman/female,"wico i ø",,,,
339291,56,child,"uᵐbo: i e",,,97?,
339322,57,husband,"vomui e",,,,
339356,58,wife,"va kaɛ ɛ",,,"1,53",
339392,59,mother,"vane e",,,"1,45",
339426,60,father,"vano e",,,,
339461,61,house,moa,,,1,
339495,62,thatch/roof,ɲi,,,71,
339530,64,"to say",para,,,166,
339562,65,rope,we,,,25,
339597,68,needle,jumɛ,,,40,
339633,72,"to hit",sae,,,,
339665,75,"to die, be dead",mɛt̪e,,,1,
339707,78,"to cut, hack",soɲa,,,131?,
339746,79,stick/wood,ùrù,,,7,
339785,84,"to plant",nou,,,44,
339817,85,"to choose","va pori",,,42,
339848,92,"to open, uncover",ɲere,,,,
339880,93,"to pound, beat","so ɲa",,,67,
339914,95,"to fall",cù,,,133,
339954,96,dog,"kara kasamo",,,1,
339989,97,bird,mar̃i,,,1,
340023,101,"to fly",ci,,,93,
340058,102,rat,sine,,,96,
340111,107,"worm (earthworm)",ᵐboa,,,"1,34",
340147,109,mosquito,neu,,,1,
340181,110,spider,naᵐbo,,,91,
340215,111,fish,meiɛ,,,11,
340249,113,branch,jiø,,,15,
340283,114,leaf,"mã e",,,30,
340317,115,root,"were e",,,2,
340352,117,fruit,"põ ɛ",,,1,
340386,119,earth/soil,ⁿdo:,,,1,
340420,120,stone,foi,,,54,
340455,121,sand,ⁿdea:,,,15,
340489,122,water,ⁿdu,,,1,
340524,124,sea,neⁿdi,,,23,
340558,128,sky,neⁿda:,,,71,
340592,129,moon,arui,,,21,
340627,130,star,iriwørø,,,"28,16?",
340661,131,cloud,o:,,,12,
340695,133,rain,wia,,,27?,
340728,134,thunder,ⁿda,,,100,
340761,135,lightning,ɲoro,,,,
340794,136,wind,were,,,7?,
340828,138,warm,maxɛ,,,108,
340865,139,cold,mø,,,51,
340898,140,dry,mørø,,,1,
340931,141,wet,ⁿdi,,,111,
340965,143,fire,ⁿduo,,,47?,
341000,145,smoke,"puru ⁿduo",,,89,
341034,146,ash,ⁿdɛ,,,1,
341068,147,black,aoi,,,,
341103,148,white,oa,,,22,
341104,148,white,wau,,,22,
341138,149,red,mi:,,,"1,55",
341171,150,yellow,mi:,,,x,
341172,150,yellow,kopereⁿdøna,,,"97,88",
341207,151,green,"a ᵐbu",,,47?,
341239,152,small,aᵐbo:,,,,
341271,153,big,wese,,,124,
341305,156,thin,araɲaᵐbi,,,60,
341339,157,thick,arãᵐba,,,70,
341371,160,"painful, sick",mur̃u,,,,
341411,162,old,poeani,,,16,
341455,163,new,"amu pʷa",,,21,
341490,164,good,ø,,,53,
