id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1489,Kapone,"Leenhardt (1946)",kdk,nume1242,"Leenhardt, Maurice. 1946. Langues et dialectes de l'Austro-Mèlanèsie","Transcription converteⁿd to IPA based on author's phonetic descriptions.Except: some vowels;    [r̃] = \"dental nasalised liquid\"; and    [’], which I assume to be glottal stop but the author does not explicitly discuss.","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Southern, Extreme Southern","Mary Walworth & John Lynch",,"@book{303461,  address    = {Paris},  author     = {Leenhardt, Maurice},  pages      = {697},  publisher  = {Institut d'Ethnologie},  series     = {Travaux et Mémoires de l'Institut d'Ethnologie},  title      = {Langues et dialectes de l'Austro-Mélanésie},  volume     = {XLVI},  year       = {1946},  besttxt    = {ptxt2papualeenhardt_austro-melanesie1946_o.txt},  fn         = {papualeenhardt_austro-melanesie1946.pdf, papualeenhardt_austro-melanesie1946pages.pdf, papualeenhardt_austro-melanesie1946_o.pdf},  hhtype     = {overview;comparative;wordlist;specific_feature},  inlg       = {French [fra]},  lgcode     = {Ajië [aji], Arha = Arhâ [aqr], Aro = Arhö [aok], Boewe = Orowe [bpk], Sirhe = Sîshëë [sih], Neku [nek], Ciri = Tiri [cir], Anesu = Xârâcùù [ane], Aragure = Xârâgurè [axx], Dubea = Drubea [duf], Kapone = Numèè [kdk], Pati = Paicî [pri], Camuki = Cemuhî [cam], Pinje = Pije [piz], Poai = Fwâi [fwa], Nemi = Nemi [nem], Wamoang = Waamwang [wmn], Jawe [jaz], Moenebeng = Caac [msq], Yalasu = Balade [NOCODE_Balade], Belep = Belep Nyelâyu [yly], Nenema = Nêlêmwa-Nixumwak [nee], Koumac = Nêlêmwa-Nixumwak [nee], Nua/Bonde = Yuanga [nua], Poapoa = Pwapwâ [pop], Poamei = Pwaamei [pme], Moaveke = Hmwaveke [mrk], Moaeke = Vamale [mkt], Aveke = Haveke [hvk], Aeke = Haeke [aek], Nengone [nen], Iwatenu = Nengone [nen], De'u = Dehu [dhv], Miñ = Dehu [dhv], Iai = Iaai [iai]},  macro_area = {Papunesia},  oclc       = {870114007},  src        = {hh}}"
latitude,longitude
-22.26890000000000000000,166.70500000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
337813,1,hand,"me re",,,16?,
337925,4,leg/foot,"vɛ re",,,33,
337966,5,"to walk",verõ,,,2,
337967,5,"to walk",vere,,,2,
338000,6,road/path,waɲaro,,,1,
338034,7,"to come","gu me mɛ",,,1,
338098,9,"to swim","ɲie re",,,,
338130,11,dust,ᵐburiwi,,,20,
338164,13,back,"moaⁿdo re",,,35,
338198,14,belly,"wù re",,,36,
338232,16,intestines,"nigʷe re",,,,
338266,17,liver,"ɲi re",,,,
338300,18,breast,"ɲi re",,,32?,
338335,19,shoulder,"nieka: re",,,,
338369,20,"to know, be knowledgeable",t̪oŋene,,,97,
338402,21,"to think",mure,,,101,
338435,23,blood,"ⁿdɛ re",,,1,
338469,24,head,"noʰko re",,,83,
338470,24,head,"noʰko ne",,,83,
338504,25,neck,"ku koa re",,,23,
338538,26,hair,"u no ʰko re",,,31,
338572,27,nose,"woʰko re",,,"3,11",
338606,29,"to sniff, smell","wura mure",,,,
338641,30,mouth,"woŋe re",,,,
338674,31,tooth,"xʰenu re",,,1,
338707,32,tongue,"ne’ kone re",,,13,
338742,35,"to vomit",murere,,,"1,41",
338781,37,"to eat",ki,,,,
338815,40,"to drink",t̪u,,,68?,
338860,42,"to suck",jire,,,25,
338894,43,ear,"wanea re",,,1,
338928,44,"to hear",wur̃are,,,78,
338959,45,eye,"xʰemu re",,,"32,1?",
338993,46,"to see",t̪oa,,,130,
339066,49,"to lie down","ɲe mi re",,,105,
339098,50,"to dream",migat̪oa,,,74,
339130,53,"person/human being",amoro,,,94,
339172,54,man/male,ɲe,,,,
339173,54,man/male,"kã re",,,,
339237,55,woman/female,ɲo,,,123,
339238,55,woman/female,"veo: u re",,,,
339295,56,child,"vanikoere wen ne",,,98,
339325,57,husband,"kã re",,,2,
339359,58,wife,"veo: re",,,,
339360,58,wife,ⁿdumaɲo,,,,
339396,59,mother,"kãne ne",,,,
339430,60,father,"t̪a’ t̪e ne",,,19,
339465,61,house,moa,,,1,
339499,62,thatch/roof,kovekare,,,20,
339534,64,"to say","ni re",,,104,
339566,65,rope,nue,,,2,
339601,68,needle,ɲe,,,,
339637,72,"to hit","ʝau ne mi",,,,
339669,75,"to die, be dead",ᵐbune,,,,
339670,75,"to die, be dead",mere,,,1,
339711,78,"to cut, hack",ⁿduru,,,,
339751,79,stick/wood,"wa ŋoɛ",,,,
339789,84,"to plant","moar̃i ne",,,63,
339821,85,"to choose",goneë,,,,
339852,92,"to open, uncover",ucike,,,,
339884,93,"to pound, beat","vi sùrerɛ",,,,
339918,95,"to fall",vicikure,,,,
339958,96,dog,"t̪o:ke   ᵐb",,,B,
339993,97,bird,mar̃a,,,1,
340027,101,"to fly","ɲia re",,,,
340062,102,rat,xʰi,,,3?,
340063,102,rat,ciᵐbo,,,3,
340115,107,"worm (earthworm)",ᵐbie,,,11,
340151,109,mosquito,no:,,,1,
340185,110,spider,ri,,,,
340219,111,fish,mɛi,,,11,
340253,113,branch,"wa re",,,,
340287,114,leaf,"no re",,,1,
340321,115,root,"ŋu re",,,"2,41,42",
340356,117,fruit,"wã re",,,"1,26",
340390,119,earth/soil,ⁿda,,,1,
340424,120,stone,vu,,,1,
340459,121,sand,kʷä,,,1,
340493,122,water,jo,,,1,
340528,124,sea,"jo we",,,58,
340562,128,sky,rʃiriɛkoa,,,35,
340596,129,moon,mɛo,,,52,
340631,130,star,veo:,,,21?,
340665,131,cloud,ʰkõt̪’ɛ,,,,
340699,133,rain,xʰi,,,27?,
340732,134,thunder,"t̪’ eo",,,100,
340765,135,lightning,iuvea,,,,
340798,136,wind,kuie,,,"93,18?",
340833,138,warm,ame,,,108?,
340869,139,cold,mure,,,51,
340902,140,dry,amøo,,,1,
340935,141,wet,amie,,,113,
340969,143,fire,t̪’ã,,,47,
341004,145,smoke,"kãt̪’ ã",,,87,
341038,146,ash,ⁿdɛ,,,1,
341072,147,black,ⁿdine,,,98,
341109,148,white,ᵐba,,,11,
341142,149,red,ᵐbui,,,"1,55?",
341177,150,yellow,ᵐboro,,,,
341211,151,green,meru,,,,
341275,153,big,"ka at̪aɣʷat̪",,,,
341309,156,thin,amoanawa,,,62,
341343,157,thick,amenene,,,31,
341375,160,"painful, sick",veʝure,,,51,
341416,162,old,vaoreka,,,37,
341459,163,new,ava,,,,
341494,164,good,at̪e,,,135,
341528,165,"bad, evil",apoat̪u,,,,
341562,166,"correct, true","ⁿdo vi",,,94,
341596,167,night,moerɛ,,,1,
341630,168,day,ɲi,,,,
341666,170,when?,kaɲe,,,1,
341702,174,"in, inside",ni,,,15,
341703,174,"in, inside",ʝe,,,,
341738,179,near,t̪oᵐbet̪e,,,,
341771,180,far,"t̪o a moa",,,96,
341807,181,where?,ɲo,,,82,
341841,182,I,rʃa,,,"1,24",
341877,183,thou,o,,,1,
341909,184,he/she,re,,,40,
341949,185,we,ge,,,,
341950,185,we,ɛkoa,,,,
342001,186,you,ŋo,,,25?,
342032,187,they,ʰne,,,"1,33",
342067,188,what?,"je ro",,,1,
342167,195,"no, not",go,,,45,
342201,196,"to count",veɲeri,,,26,
342236,197,One,t̪are,,,14,
342237,197,One,t̪a,,,14,
342272,198,Two,ᵐbore,,,1,
342306,199,Three,ᵐbet̪i,,,1,
342340,200,Four,ᵐbevu,,,"1,65",
342374,201,Five,t̪avere,,,,
342408,202,Six,t̪anot̪a,,,,
342475,204,Eight,ᵐbet̪inot̪a,,,,
342542,206,Ten,ᵐbovere,,,12?,
342576,207,Twenty,"pani je",,,,
