id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
149,"Anejom (Aneityum)","John Lynch",aty,anei1239,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, South Vanuatu, Aneityum","Peng Du","Simon Greenhill","@misc{Lynch-149-2005,  author = \"John Lynch\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-20.19003509582258359956,169.82666015625000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
149,1,hand,nijma-,,,59,1
506,2,left,inm̃awu-,,,"1,59",1?
863,3,right,inmata-,,,5,1
1220,4,leg/foot,neθuo-,,,75,
1577,5,"to walk",atŋa,,,106,
1934,6,road/path,nefalañ,,,47,
2291,7,"to come",apam,,,"1,24",
2648,8,"to turn",auhañ,,,122,
3005,9,"to swim",aŋaŋ,,,1?,
3362,10,dirty,emeñ,,,109,
3719,11,dust,inm̃a,,,96,
4076,12,skin,narase-,,,20,
4433,13,back,inɣehe-,,,111,
4790,14,belly,nipjinetŋa-,,,72?,
5147,15,bone,neθuo-,,,52,
5504,16,intestines,nawiiti-,,,79,
5861,17,liver,inmop̃o-,,,7,
6218,18,breast,neθeθ,,,1,1
6575,19,shoulder,nili-,,,75,
6932,20,"to know, be knowledgeable",atou,,,1,1?
7289,21,"to think",ataktai,,,62,
7646,22,"to fear",emtaɣ,,,1,1
8003,23,blood,inja,,,1,?
8360,24,head,nitjini-,,,48,
8717,25,neck,nawunwa-,,,18,
9074,26,hair,numri-nitjini-,,,32,
9431,27,nose,inŋotje-,,,16,
9788,28,"to breathe",aθejhañ,,,15,
10145,29,"to sniff, smell",ipñii,,,73,
10502,30,mouth,nepje-ne|ɣse-,,,,
10859,31,tooth,nijho-,,,"1,35",1
11216,32,tongue,tooŋ,"+tooN has replaced the now archaic nama",L,,
11573,33,"to laugh",lav,"Bislama Loan",L,,
11930,34,"to cry",tañ,,,1,1
12287,35,"to vomit",alou,,,8,
