id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1490,Koumac,"Leenhardt (1946)",nee,kuma1276,"Leenhardt, Maurice. 1946. Langues et dialectes de l'Austro-Mèlanèsie","Transcription converteⁿd to IPA based on author's phonetic descriptions.Except: some vowels;    [r̃] = \"dental nasalised liquid\"; and    [’], which I assume to be glottal stop but the author does not explicitly discuss.","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Northern, Extreme Northern","Mary Walworth & John Lynch",,"@book{303461,  address    = {Paris},  author     = {Leenhardt, Maurice},  pages      = {697},  publisher  = {Institut d'Ethnologie},  series     = {Travaux et Mémoires de l'Institut d'Ethnologie},  title      = {Langues et dialectes de l'Austro-Mélanésie},  volume     = {XLVI},  year       = {1946},  besttxt    = {ptxt2papualeenhardt_austro-melanesie1946_o.txt},  fn         = {papualeenhardt_austro-melanesie1946.pdf, papualeenhardt_austro-melanesie1946pages.pdf, papualeenhardt_austro-melanesie1946_o.pdf},  hhtype     = {overview;comparative;wordlist;specific_feature},  inlg       = {French [fra]},  lgcode     = {Ajië [aji], Arha = Arhâ [aqr], Aro = Arhö [aok], Boewe = Orowe [bpk], Sirhe = Sîshëë [sih], Neku [nek], Ciri = Tiri [cir], Anesu = Xârâcùù [ane], Aragure = Xârâgurè [axx], Dubea = Drubea [duf], Kapone = Numèè [kdk], Pati = Paicî [pri], Camuki = Cemuhî [cam], Pinje = Pije [piz], Poai = Fwâi [fwa], Nemi = Nemi [nem], Wamoang = Waamwang [wmn], Jawe [jaz], Moenebeng = Caac [msq], Yalasu = Balade [NOCODE_Balade], Belep = Belep Nyelâyu [yly], Nenema = Nêlêmwa-Nixumwak [nee], Koumac = Nêlêmwa-Nixumwak [nee], Nua/Bonde = Yuanga [nua], Poapoa = Pwapwâ [pop], Poamei = Pwaamei [pme], Moaveke = Hmwaveke [mrk], Moaeke = Vamale [mkt], Aveke = Haveke [hvk], Aeke = Haeke [aek], Nengone [nen], Iwatenu = Nengone [nen], De'u = Dehu [dhv], Miñ = Dehu [dhv], Iai = Iaai [iai]},  macro_area = {Papunesia},  oclc       = {870114007},  src        = {hh}}"
latitude,longitude
-20.40350000000000000000,164.19300000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
337814,1,hand,"s.i n",,,10,
337857,2,left,"axaleɲ ᵐboama io",,,14,
337890,3,right,"axamalena ᵐboa ma io",,,31,
337926,4,leg/foot,"kua n",,,100,
337968,5,"to walk",walem,,,46,
338001,6,road/path,ⁿdan,,,1,
338035,7,"to come",ome,,,1,
338066,8,"to turn",ᵐboage,,,92,
338099,9,"to swim",ʰʝa,,,5,
338131,11,dust,ⁿdavuⁿdo,,,"1,58,65",
338165,13,back,ⁿduaxa,,,82,
338199,14,belly,"kiʝa n",,,1,
338233,16,intestines,"’auna n",,,82,
338267,17,liver,"kaxi n",,,1,
338301,18,breast,"t̪’i n",,,1,
338336,19,shoulder,"ᵐbu n",,,,
338370,20,"to know, be knowledgeable",sela,,,121,
338403,21,"to think",’axaxa,,,103,
338436,23,blood,"ⁿda ie",,,1,
338471,24,head,"ᵐboa n",,,9,
338505,25,neck,"no n",,,18,
338539,26,hair,"po ᵐboa n",,,31,
338573,27,nose,"ʰmʷaⁿdi n",,,14,
338607,29,"to sniff, smell",aia,,,118,
338608,29,"to sniff, smell",t̪ãla,,,116,
338708,32,tongue,"kume n",,,"14,7",
338743,35,"to vomit",kok,,,38?,
338744,35,"to vomit",koxe,,,38?,
338782,37,"to eat",kuvo,,,54,
338816,40,"to drink",kuxu,,,6,
338817,40,"to drink",paro,,,67,
338861,42,"to suck",t̪et̪,,,25,
338929,44,"to hear",t̪ãla,,,80,
338994,46,"to see",not̪,,,9,
338995,46,"to see",axe,,,1?,
339035,48,"to sleep",magojajali,,,,
339067,49,"to lie down",kalap,,,1,
339099,50,"to dream",nivi,,,"1,60",
339131,53,"person/human being",aguk,,,96,
339174,54,man/male,ak,,,14,
339239,55,woman/female,t̪’amoa,,,119,
339326,57,husband,aron,,,"2,31",
339361,58,wife,mawan,,,"56,5",
339397,59,mother,caʝa,,,89,
339431,60,father,kaman,,,1,
339466,61,house,moa,,,1,
339500,62,thatch/roof,maxi,,,52,
339535,64,"to say",kaᵐboe,,,"13,103",
339567,65,rope,ʰka,,,25,
339602,68,needle,"ⁿdu ᵐboak",,,44,
339638,72,"to hit",t̪aja,,,118,
339671,75,"to die, be dead",maxim,,,1,
339712,78,"to cut, hack",saxi,,,136,
339752,79,stick/wood,"’aⁿda cic",,,"49,47",
339790,84,"to plant",t̪’axe,,,76,
339822,85,"to choose",ʰkami,,,7,
339853,92,"to open, uncover",t̪anu,,,79,
339885,93,"to pound, beat",fa,,,69,
339919,95,"to fall",t̪aᵐbo,,,130,
339920,95,"to fall",nuk,,,46,
339959,96,dog,koau,,,17,
339994,97,bird,ma:lic,,,1,
340028,101,"to fly",fuk,,,45,
340064,102,rat,caivak,,,95,
340116,107,"worm (earthworm)",ᵐbe,,,11,
340152,109,mosquito,naᵐbuc,,,1,
340186,110,spider,ãp,,,95,
340220,111,fish,nok,,,9,
340254,113,branch,ⁿdegat̪,,,1,
340288,114,leaf,ⁿdut̪,,,1,
340322,115,root,wa:t̪,,,2,
340357,117,fruit,poat̪,,,1,
340391,119,earth/soil,ⁿdo,,,1,
340425,120,stone,pavi,,,1,
340460,121,sand,o:n,,,1,
340494,122,water,wi,,,2,
340529,124,sea,ⁿdalak,,,1,
340563,128,sky,ⁿdan,,,1,
340597,129,moon,ʰmoaluk,,,"52,71",
340632,130,star,piguk,,,1,
340666,131,cloud,"poa xi kuru",,,"12,67,83",
340766,135,lightning,ɲalem,,,,
340834,138,warm,’un,,,11,
340870,139,cold,caᵐbuk,,,12,
340903,140,dry,maxuk,,,54,
340936,141,wet,ip,,,114,
340970,143,fire,ʝavic,,,1,
341005,145,smoke,pu:ᵐbu,,,88,
341039,146,ash,ⁿdap,,,1,
341073,147,black,ⁿdaⁿdan,,,98,
341074,147,black,favaaŋ,,,99?,
341110,148,white,foro,,,3,
341143,149,red,ulo,,,13,
341178,150,yellow,kari,,,14,
341212,151,green,ʝalop,,,19?,
341243,152,small,poamoaʝu,,,,
341276,153,big,’ãk,,,7,
341310,156,thin,ava,,,62,
341344,157,thick,ʰkugu,,,28,
341376,160,"painful, sick",ʰkilu,,,106?,
341417,162,old,’ulak,,,65,
341418,162,old,moᵐboat̪,,,41,
341460,163,new,aᵐben,,,65,
341495,164,good,so:,,,53,
341529,165,"bad, evil",moaŋ,,,36,
341563,166,"correct, true",kemaguk,,,101,
341597,167,night,t̪an,,,31,
341631,168,day,naxat̪,,,51,
341667,170,when?,eneⁿda,,,1,
341704,174,"in, inside",nat̪,,,19,
341739,179,near,jeuk,,,57,
341772,180,far,ʰmoen,,,96,
341808,181,where?,"je pa",,,3,
342068,188,what?,"t̪i aᵐbili",,,,
342168,195,"no, not",’ai,,,10,
342202,196,"to count",ʰkomi,,,85,
342238,197,One,poagik,,,14,
342273,198,Two,poaⁿdu,,,1,
342307,199,Three,poagan,,,1,
342341,200,Four,poaᵐbak,,,"1,65",
342375,201,Five,poanem,,,"1,15",
342409,202,Six,poanemgik,,,,
342442,203,Seven,"poanem ⁿdu",,,,
342476,204,Eight,"poanem gan",,,,
342509,205,Nine,"poanem ᵐbak",,,,
342543,206,Ten,poalujie,,,50,
342577,207,Twenty,"axi ak",,,,
342607,209,"One Hundred","anem ak",,,,
