id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1494,Neŋone,"Leenhardt (1946)",nen,neng1238,"Leenhardt, Maurice. 1946. Langues et dialectes de l'Austro-Mèlanèsie","Transcription converteⁿd to IPA based on author's phonetic descriptions.Except: some vowels;    [r̃] = \"dental nasalised liquid\"; and    [’], which I assume to be glottal stop but the author does not explicitly discuss.","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Loyalty Islands","Mary Walworth & John Lynch",,"@book{303461,  address    = {Paris},  author     = {Leenhardt, Maurice},  pages      = {697},  publisher  = {Institut d'Ethnologie},  series     = {Travaux et Mémoires de l'Institut d'Ethnologie},  title      = {Langues et dialectes de l'Austro-Mélanésie},  volume     = {XLVI},  year       = {1946},  besttxt    = {ptxt2papualeenhardt_austro-melanesie1946_o.txt},  fn         = {papualeenhardt_austro-melanesie1946.pdf, papualeenhardt_austro-melanesie1946pages.pdf, papualeenhardt_austro-melanesie1946_o.pdf},  hhtype     = {overview;comparative;wordlist;specific_feature},  inlg       = {French [fra]},  lgcode     = {Ajië [aji], Arha = Arhâ [aqr], Aro = Arhö [aok], Boewe = Orowe [bpk], Sirhe = Sîshëë [sih], Neku [nek], Ciri = Tiri [cir], Anesu = Xârâcùù [ane], Aragure = Xârâgurè [axx], Dubea = Drubea [duf], Kapone = Numèè [kdk], Pati = Paicî [pri], Camuki = Cemuhî [cam], Pinje = Pije [piz], Poai = Fwâi [fwa], Nemi = Nemi [nem], Wamoang = Waamwang [wmn], Jawe [jaz], Moenebeng = Caac [msq], Yalasu = Balade [NOCODE_Balade], Belep = Belep Nyelâyu [yly], Nenema = Nêlêmwa-Nixumwak [nee], Koumac = Nêlêmwa-Nixumwak [nee], Nua/Bonde = Yuanga [nua], Poapoa = Pwapwâ [pop], Poamei = Pwaamei [pme], Moaveke = Hmwaveke [mrk], Moaeke = Vamale [mkt], Aveke = Haveke [hvk], Aeke = Haeke [aek], Nengone [nen], Iwatenu = Nengone [nen], De'u = Dehu [dhv], Miñ = Dehu [dhv], Iai = Iaai [iai]},  macro_area = {Papunesia},  oclc       = {870114007},  src        = {hh}}"
latitude,longitude
-21.53050000000000000000,167.96400000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
337819,1,hand,wanin,,,1,
337861,2,left,"gula ʰŋeroʰni",,,,
337894,3,right,"gula nat̪a",,,"5,13",
337931,4,leg/foot,wat̪a,,,13,
337972,5,"to walk",’ue,,,,
338005,6,road/path,len,,,1,
338039,7,"to come","’ue ᵐbot̪",,,,
338070,8,"to turn",iⁿd͡ʒuⁿd͡ʒuanelo,,,,
338103,9,"to swim",ale,,,30,
338135,11,dust,"θo θo θo θo",,,65?,
338169,13,back,co,,,82,
338203,14,belly,ore,,,93,
338237,16,intestines,cereθa,,,92,
338271,17,liver,guat̪,,,1,
338305,18,breast,pemimi,,,,
338340,19,shoulder,pekat̪a:ⁿd,,,,
338374,20,"to know, be knowledgeable",θuni,,,,
338407,21,"to think",pareu,,,101,
338440,23,blood,ⁿd͡ʒa,,,1,
338475,24,head,"’awo ni ᵐbon",,,9,
338509,25,neck,gureθo,,,,
338543,26,hair,"ʝe ’awo",,,4,
338577,27,nose,"gupieⁿd ni ᵐbon",,,,
338613,29,"to sniff, smell",t̪at̪i,,,117?,
338645,30,mouth,"t̪uᵐbe neŋoc",,,,
338678,31,tooth,ʝege,,,,
338712,32,tongue,gut̪inene,,,26,
338749,35,"to vomit",ʰnija,,,1,
338786,37,"to eat",ka:ka,,,,
338822,40,"to drink",kua,,,6,
338865,42,"to suck",mimi,,,,
338898,43,ear,waᵐbaiwa,,,,
338933,44,"to hear",t̪aeⁿdeŋi,,,1,
338963,45,eye,"waegogo n. ᵐb.",,,,
339000,46,"to see",ule,,,,
339040,48,"to sleep","θaet̪ ʰneⁿduŋon",,,,
339071,49,"to lie down",θaet̪,,,,
339103,50,"to dream",t̪ut̪uo,,,74,
339135,53,"person/human being",ŋome,,,,
339180,54,man/male,ca’an,,,"1,14?",
339181,54,man/male,"caʰmanie ni ᵐbon",,,"1,14",
339245,55,woman/female,ʰmenewe,,,,
339246,55,woman/female,"ʰmenue ni ᵐbon",,,,
339298,56,child,"t̪ei ᵐbon",,,,
339330,57,husband,"caʰmanie ni ᵐbon",,,,
339365,58,wife,"ʰmenue ni ᵐbon",,,,
339401,59,mother,"ʰmaien ni ᵐbon",,,,
339435,60,father,"cece ni ᵐbon",,,19,
339470,61,house,ma,,,1,
339504,62,thatch/roof,melegu,,,,
339539,64,"to say",ie,,,"13,103",
339571,65,rope,wacene,,,1,
