id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1503,camuki,"Leenhardt (1946)",cam,cemu1238,"Leenhardt, Maurice. 1946. Langues et dialectes de l'Austro-Mèlanèsie","Transcription converteⁿd to IPA based on author's phonetic descriptions.Except: some vowels;    [r̃] = \"dental nasalised liquid\"; and    [’], which I assume to be glottal stop but the author does not explicitly discuss.","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Northern, Central","Mary Walworth & John Lynch",,"@book{303461,  address    = {Paris},  author     = {Leenhardt, Maurice},  pages      = {697},  publisher  = {Institut d'Ethnologie},  series     = {Travaux et Mémoires de l'Institut d'Ethnologie},  title      = {Langues et dialectes de l'Austro-Mélanésie},  volume     = {XLVI},  year       = {1946},  besttxt    = {ptxt2papualeenhardt_austro-melanesie1946_o.txt},  fn         = {papualeenhardt_austro-melanesie1946.pdf, papualeenhardt_austro-melanesie1946pages.pdf, papualeenhardt_austro-melanesie1946_o.pdf},  hhtype     = {overview;comparative;wordlist;specific_feature},  inlg       = {French [fra]},  lgcode     = {Ajië [aji], Arha = Arhâ [aqr], Aro = Arhö [aok], Boewe = Orowe [bpk], Sirhe = Sîshëë [sih], Neku [nek], Ciri = Tiri [cir], Anesu = Xârâcùù [ane], Aragure = Xârâgurè [axx], Dubea = Drubea [duf], Kapone = Numèè [kdk], Pati = Paicî [pri], Camuki = Cemuhî [cam], Pinje = Pije [piz], Poai = Fwâi [fwa], Nemi = Nemi [nem], Wamoang = Waamwang [wmn], Jawe [jaz], Moenebeng = Caac [msq], Yalasu = Balade [NOCODE_Balade], Belep = Belep Nyelâyu [yly], Nenema = Nêlêmwa-Nixumwak [nee], Koumac = Nêlêmwa-Nixumwak [nee], Nua/Bonde = Yuanga [nua], Poapoa = Pwapwâ [pop], Poamei = Pwaamei [pme], Moaveke = Hmwaveke [mrk], Moaeke = Vamale [mkt], Aveke = Haveke [hvk], Aeke = Haeke [aek], Nengone [nen], Iwatenu = Nengone [nen], De'u = Dehu [dhv], Miñ = Dehu [dhv], Iai = Iaai [iai]},  macro_area = {Papunesia},  oclc       = {870114007},  src        = {hh}}"
latitude,longitude
-20.84890000000000000000,165.13000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
337831,1,hand,"a ’i n",,,11,
337870,2,left,"a eaum",,,12,
337902,3,right,"a ju ’in",,,24,
337942,4,leg/foot,"a ’a n",,,1,
337981,5,"to walk",ŋom,,,,
338014,6,road/path,"a poaⁿdan",,,"5,1",
338048,7,"to come",me,,,1,
338080,8,"to turn",t̪amiᵐbuni’in,,,,
338112,9,"to swim",eom,,,97,
338144,11,dust,"a mu pulut̪",,,"105,20",
338178,13,back,"ᵐboajei n",,,"35, 12",
338212,14,belly,"a ʰna: n",,,91,
338246,16,intestines,"ni ’oa n",,,82,
338280,17,liver,"a i n",,,,
338314,18,breast,"a t̪i n",,,1,
338349,19,shoulder,"a pi: an",,,64,
338383,20,"to know, be knowledgeable","t̪emeke eŋ",,,,
338417,21,"to think",moat̪ieŋ,,,105,
338449,23,blood,"a cawe’a n",,,,
338484,24,head,"a pun in",,,29,
338518,25,neck,"a ’ẽna n",,,18,
338552,26,hair,"a apuni n",,,31,
338586,27,nose,"a umui n",,,"11,14",
338623,29,"to sniff, smell",t̪ene,,,116,
338654,30,mouth,"a pua n",,,36,
338687,31,tooth,"a pecu’ a  n",,,6,
338721,32,tongue,"a upe’ a n",,,47,
338758,35,"to vomit",auɲa,,,1,
338795,37,"to eat",winaⁿdo,,,,
338836,40,"to drink",uⁿdu,,,6,
338874,42,"to suck",ⁿdit̪,,,25,
338907,43,ear,"a jena n",,,1,
338941,44,"to hear",t̪ene,,,80,
338972,45,eye,"a’ami n",,,1,
339014,46,"to see",nie,,,,
339049,48,"to sleep",pulut̪a,,,,
339080,49,"to lie down",pulut̪,,,52,
339112,50,"to dream","a niu",,,"1,60",
339144,53,"person/human being","a apulie t̪ene",,,"93,95",
339197,54,man/male,aʝu,,,22,
339198,54,man/male,"a aʝ t̪en",,,22,
339262,55,woman/female,"e t̪omoa",,,119,
339263,55,woman/female,"a moaⁿden",,,119,
339308,56,child,"a na’in",,,"5,52",
339339,57,husband,"a aʝu t̪en",,,"2,31",
339376,58,wife,"wa ø moaⁿden",,,56?,
339410,59,mother,"ɲa t̪en",,,1,
339445,60,father,"a ca t̪en",,,19,
339479,61,house,"a moa",,,1,
339513,62,thatch/roof,"e eai komet̪e",,,,
339548,64,"to say",vi:,,,"13,103",
339580,65,rope,"a t̪ai",,,,
339616,68,needle,"a ⁿdit̪i",,,,
339651,72,"to hit",t̪at̪e’eŋ,,,10?,
339687,75,"to die, be dead","a met̪",,,1,
339729,78,"to cut, hack",t̪agai,,,134,
339767,79,stick/wood,"ni moɲe ᵐba cut̪",,,47,
339803,84,"to plant",cemi,,,73,
339835,85,"to choose",pegoli,,,42,
339866,92,"to open, uncover",t̪e’e,,,,
339898,93,"to pound, beat",t̪a’e,,,20,
339937,95,"to fall",t̪en,,,,
339972,96,dog,"a wat̪a aɛ",,,,
340007,97,bird,"a meni",,,1,
340041,101,"to fly",t̪eɛ,,,90,
340085,102,rat,"a wat̪a",,,,
340086,102,rat,ciᵐbʷi,,,3,
340130,107,"worm (earthworm)","a ᵐbet̪",,,11,
340165,109,mosquito,"a naᵐbu",,,1,
340199,110,spider,"a eo",,,,
340233,111,fish,"a ikua",,,1,
340267,113,branch,"a ⁿdi’en",,,1,
340301,114,leaf,"a maⁿdi’in",,,"30,1",
340336,115,root,"a wa:n",,,2,
340370,117,fruit,"a ce’en",,,,
340404,119,earth/soil,"a oulut̪",,,,
340439,120,stone,"a pei",,,1,
340473,121,sand,"a wøn",,,1,
340507,122,water,"a t̪ãᵐbe",,,"1,2",
340542,124,sea,"’e a jie",,,58,
340576,128,sky,"a miⁿden",,,1,
340611,129,moon,"a wele",,,,
340645,130,star,"a ceni",,,65,
340679,131,cloud,ni:,,,3,
340712,133,rain,"a ut̪e",,,1,
340745,134,thunder,t̪ikakale,,,101,
340778,135,lightning,"a ile’i",,,,
340811,136,wind,"a ⁿda:",,,1,
340850,138,warm,et̪,,,109?,
340883,139,cold,ᵐboala,,,51,
340917,140,dry,"e ᵐbot̪",,,52,
340949,141,wet,t̪it̪i,,,111,
340984,143,fire,"a miu",,,51,
341018,145,smoke,"a axu",,,2,
341052,146,ash,"a ⁿdɛp",,,1,
341088,147,black,piŋ,,,99,
341124,148,white,poajo,,,11,
341156,149,red,maget̪,,,1,
341190,150,yellow,pun,,,91,
341224,151,green,ᵐbuipʷi,,,19?,
341257,152,small,"ju wa’en",,,,
341289,153,big,un,,,126,
341290,153,big,uᵐbʷo,,,50,
341325,156,thin,elolop,,,63,
341357,157,thick,t̪aᵐbo,,,70,
341390,160,"painful, sick","a cinu",,,106?,
341438,162,old,"ca ukaiu",,,65?,
341476,163,new,"moa a co’en",,,53,
341508,164,good,wãe,,,135,
341542,165,"bad, evil",t̪a,,,"1,99",
341576,166,"correct, true","a juju",,,99,
341610,167,night,ᵐboen,,,1,
341644,168,day,"a t̪an",,,6,
341680,170,when?,enit̪,,,1,
341717,174,"in, inside","e neᵐbe",,,,
341718,174,"in, inside","e ni",,,15,
341752,179,near,"e manu",,,,
341786,180,far,"e i t̪e",,,,
341822,181,where?,"e ko je jen",,,,
341856,182,I,g,,,1,
341857,182,I,o,,,1,
341858,182,I,je,,,,
341859,182,I,oŋ,,,1,
341889,183,thou,m,,,27,
341890,183,thou,go,,,1,
341891,183,thou,go,,,1,
341892,183,thou,am,,,27,
341921,184,he/she,n,,,"1,6",
341922,184,he/she,en,,,"1,6",
341923,184,he/she,nan,,,"1,6",
341924,184,he/she,an,,,"1,6",
341973,185,we,na,,,,
341974,185,we,gane,,,,
341975,185,we,me,,,,
341976,185,we,game,,,,
342014,186,you,we,,,1,
342015,186,you,gawe,,,1,
