id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1507,ʰMoaekɛ,"Leenhardt (1946)",mkt,vama1243,"Leenhardt, Maurice. 1946. Langues et dialectes de l'Austro-Mèlanèsie","Transcription converteⁿd to IPA based on author's phonetic descriptions.Except: some vowels;    [r̃] = \"dental nasalised liquid\"; and    [’], which I assume to be glottal stop but the author does not explicitly discuss.","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Northern","Mary Walworth & John Lynch",,"@book{303461,  address    = {Paris},  author     = {Leenhardt, Maurice},  pages      = {697},  publisher  = {Institut d'Ethnologie},  series     = {Travaux et Mémoires de l'Institut d'Ethnologie},  title      = {Langues et dialectes de l'Austro-Mélanésie},  volume     = {XLVI},  year       = {1946},  besttxt    = {ptxt2papualeenhardt_austro-melanesie1946_o.txt},  fn         = {papualeenhardt_austro-melanesie1946.pdf, papualeenhardt_austro-melanesie1946pages.pdf, papualeenhardt_austro-melanesie1946_o.pdf},  hhtype     = {overview;comparative;wordlist;specific_feature},  inlg       = {French [fra]},  lgcode     = {Ajië [aji], Arha = Arhâ [aqr], Aro = Arhö [aok], Boewe = Orowe [bpk], Sirhe = Sîshëë [sih], Neku [nek], Ciri = Tiri [cir], Anesu = Xârâcùù [ane], Aragure = Xârâgurè [axx], Dubea = Drubea [duf], Kapone = Numèè [kdk], Pati = Paicî [pri], Camuki = Cemuhî [cam], Pinje = Pije [piz], Poai = Fwâi [fwa], Nemi = Nemi [nem], Wamoang = Waamwang [wmn], Jawe [jaz], Moenebeng = Caac [msq], Yalasu = Balade [NOCODE_Balade], Belep = Belep Nyelâyu [yly], Nenema = Nêlêmwa-Nixumwak [nee], Koumac = Nêlêmwa-Nixumwak [nee], Nua/Bonde = Yuanga [nua], Poapoa = Pwapwâ [pop], Poamei = Pwaamei [pme], Moaveke = Hmwaveke [mrk], Moaeke = Vamale [mkt], Aveke = Haveke [hvk], Aeke = Haeke [aek], Nengone [nen], Iwatenu = Nengone [nen], De'u = Dehu [dhv], Miñ = Dehu [dhv], Iai = Iaai [iai]},  macro_area = {Papunesia},  oclc       = {870114007},  src        = {hh}}"
latitude,longitude
-20.77080000000000000000,165.04000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
337837,1,hand,"i si n",,,10,
337874,2,left,"jelan poan walaᵐbe",,,32,
337906,3,right,"jelan poan ji ei",,,31,
337947,4,leg/foot,"i xʰa n",,,100,
337984,5,"to walk",’an,,,2,
338018,6,road/path,"i foaⁿdan",,,"5,1",
338051,7,"to come",’am,,,1,
338083,8,"to turn",caguᵐboan,,,,
338115,9,"to swim",t̪om,,,97,
338148,11,dust,"ʰmun ⁿdop",,,"105,65",
338182,13,back,"i ᵐboan jai n",,,"35, 12",
338216,14,belly,"i jia n",,,1,
338250,16,intestines,"ni xʰot̪’a n",,,91,
338284,17,liver,"i xʰi: n",,,1,
338319,18,breast,"i t̪’i n",,,1,
338353,19,shoulder,"vin ᵐboaxisi n",,,"65,40",
338386,20,"to know, be knowledgeable","t̪’a ʰnaŋe ke",,,,
338420,21,"to think",ʰmuɲiman,,,28,
338453,23,blood,"i feⁿdala n",,,46,
338488,24,head,"ᵐboa n",,,9,
338522,25,neck,"i ɲo n",,,18,
338556,26,hair,"ian ᵐboan",,,4,
338590,27,nose,"ʰpoaⁿdi n",,,14,
338626,29,"to sniff, smell",t̪ina,,,116,
338658,30,mouth,"ɲivoa n",,,36,
338691,31,tooth,"vasĩvoa n",,,"6,1?",
338725,32,tongue,"u ʰpa n",,,47,
338763,35,"to vomit",muja,,,1,
338798,37,"to eat",ɣʷiaman,,,"1,55",
338840,40,"to drink","a uⁿdu",,,6,
338878,42,"to suck","a ⁿdit̪",,,25,
338911,43,ear,"i jena n",,,1,
338944,44,"to hear",t̪ina,,,80,
338976,45,eye,"ɲane man",,,1,
339017,46,"to see",xaleke,,,125,
339052,48,"to sleep",meᵐbam,,,,
339083,49,"to lie down",majit̪,,,37,
339115,50,"to dream","a voa xʰaɲip",,,"1,60",
339148,53,"person/human being","apuli nea",,,"93,95",
339205,54,man/male,"i xaʝu",,,,
339206,54,man/male,"apuli nea",,,,
339269,55,woman/female,"i t̪’amo",,,119,
339270,55,woman/female,"i moaⁿden",,,119,
339312,56,child,"i xawe nea",,,,
339344,57,husband,"i xat̪ot̪",,,"2,31",
339380,58,wife,"i xat̪one t̪’amo",,,,
339414,59,mother,"i ɲan",,,"1,83",
339449,60,father,"i jamoa n",,,1,
339483,61,house,"i moa",,,1,
339518,62,thatch/roof,"t̪age kon t̪ot̪",,,20,
339551,64,"to say",avi,,,"13,103",
