id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1510,ᵐBonⁿde,"Leenhardt (1946)",nua,yuag1237,"Leenhardt, Maurice. 1946. Langues et dialectes de l'Austro-Mèlanèsie","Transcription converteⁿd to IPA based on author's phonetic descriptions.Except: some vowels;    [r̃] = \"dental nasalised liquid\"; and    [’], which I assume to be glottal stop but the author does not explicitly discuss.","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Northern, Extreme Northern","Mary Walworth & John Lynch",,"@book{303461,  address    = {Paris},  author     = {Leenhardt, Maurice},  pages      = {697},  publisher  = {Institut d'Ethnologie},  series     = {Travaux et Mémoires de l'Institut d'Ethnologie},  title      = {Langues et dialectes de l'Austro-Mélanésie},  volume     = {XLVI},  year       = {1946},  besttxt    = {ptxt2papualeenhardt_austro-melanesie1946_o.txt},  fn         = {papualeenhardt_austro-melanesie1946.pdf, papualeenhardt_austro-melanesie1946pages.pdf, papualeenhardt_austro-melanesie1946_o.pdf},  hhtype     = {overview;comparative;wordlist;specific_feature},  inlg       = {French [fra]},  lgcode     = {Ajië [aji], Arha = Arhâ [aqr], Aro = Arhö [aok], Boewe = Orowe [bpk], Sirhe = Sîshëë [sih], Neku [nek], Ciri = Tiri [cir], Anesu = Xârâcùù [ane], Aragure = Xârâgurè [axx], Dubea = Drubea [duf], Kapone = Numèè [kdk], Pati = Paicî [pri], Camuki = Cemuhî [cam], Pinje = Pije [piz], Poai = Fwâi [fwa], Nemi = Nemi [nem], Wamoang = Waamwang [wmn], Jawe [jaz], Moenebeng = Caac [msq], Yalasu = Balade [NOCODE_Balade], Belep = Belep Nyelâyu [yly], Nenema = Nêlêmwa-Nixumwak [nee], Koumac = Nêlêmwa-Nixumwak [nee], Nua/Bonde = Yuanga [nua], Poapoa = Pwapwâ [pop], Poamei = Pwaamei [pme], Moaveke = Hmwaveke [mrk], Moaeke = Vamale [mkt], Aveke = Haveke [hvk], Aeke = Haeke [aek], Nengone [nen], Iwatenu = Nengone [nen], De'u = Dehu [dhv], Miñ = Dehu [dhv], Iai = Iaai [iai]},  macro_area = {Papunesia},  oclc       = {870114007},  src        = {hh}}"
latitude,longitude
-20.56640000000000000000,164.51000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
337840,1,hand,"’i n",,,11,
337877,2,left,"kolo mo",,,"1,59",
337909,3,right,"kolo moawa",,,31,
337950,4,leg/foot,"ko n",,,100,
337986,5,"to walk",t̪umeno,,,55,
338021,6,road/path,ⁿden,,,1,
338053,7,"to come",ami,,,1,
338085,8,"to turn",poepoeⁿde,,,92,
338117,9,"to swim",ðo:,,,97,
338151,11,dust,"puᵐbu ⁿdili",,,"20,78",
338185,13,back,"kai n",,,12,
338219,14,belly,"kio n",,,1,
338253,16,intestines,"’ono n",,,93,
338287,17,liver,"ko n",,,64,
338322,18,breast,"t̪’i n",,,1,
338356,19,shoulder,"ᵐbu je",,,37,
338388,20,"to know, be knowledgeable",’ine,,,116,
338422,21,"to think",’axa,,,103,
338456,23,blood,"kut̪a n",,,"45,1",
338491,24,head,"ᵐboa n",,,9,
338525,25,neck,"no n",,,18,
338559,26,hair,"pu ᵐboa n",,,31,
338593,27,nose,"ʰmʷeⁿdi n",,,14,
338628,29,"to sniff, smell",aca,,,119,
338661,30,mouth,"ʰpoa n",,,36,
338694,31,tooth,"paro n",,,"21,1?",
338728,32,tongue,"kume n",,,"14,7",
338765,35,"to vomit",muga,,,1,
338766,35,"to vomit",muge,,,1,
338800,37,"to eat",’upo,,,54,
338843,40,"to drink",kuⁿdo,,,6,
338844,40,"to drink",pojo,,,66?,
338880,42,"to suck",kuku,,,5,
338914,43,ear,"keni je",,,1,
338946,44,"to hear",t̪one,,,80,
338979,45,eye,"me en",,,1,
339020,46,"to see",no,,,9,
339054,48,"to sleep",mani,,,,
339085,49,"to lie down",kono,,,1,
339117,50,"to dream",noi,,,"1,60",
339151,53,"person/human being","egu ije",,,96,
339210,54,man/male,emoe,,,73,
339211,54,man/male,"emoe nai je",,,73,
339274,55,woman/female,mo:u,,,119,
339275,55,woman/female,"mo:u je",,,119,
339313,56,child,poxa,,,97,
339314,56,child,"poi je",,,97,
339347,57,husband,"alo je",,,"2,31",
339383,58,wife,"mo:u je",,,56,
339417,59,mother,caʝo,,,89,
339452,60,father,"ke je",,,19,
339486,61,house,moa,,,1,
339521,62,thatch/roof,ceʝa,,,52,
339553,64,"to say",koᵐboe,,,"13,103",
339587,65,rope,wa,,,2,
339623,68,needle,ⁿduᵐbo,,,44,
339656,72,"to hit",t̪oe,,,117,
339695,75,"to die, be dead",ᵐburo,,,43,
339696,75,"to die, be dead",maxi,,,1,
339735,78,"to cut, hack",ca,,,136,
339775,79,stick/wood,ja,,,49,
339808,84,"to plant",t̪oe,,,76,
339840,85,"to choose",kemeni,,,7,
339871,92,"to open, uncover",t̪ala,,,10?,
339905,93,"to pound, beat",pawe,,,69,
339943,95,"to fall",t̪oᵐbo,,,130,
339979,96,dog,kuau,,,17,
340014,97,bird,meni,,,1,
340047,101,"to fly",pu,,,45,
340097,102,rat,caipo,,,95,
340138,107,"worm (earthworm)",ᵐbe,,,11,
340172,109,mosquito,neᵐbu,,,1,
340206,110,spider,ʰnogi,,,94,
340240,111,fish,no:,,,9,
340274,113,branch,ije,,,15,
340308,114,leaf,"ⁿdo je",,,1,
340343,115,root,"we je",,,2,
340377,117,fruit,"po: je",,,1,
340411,119,earth/soil,ⁿdili,,,1,
340446,120,stone,pa:,,,1,
340480,121,sand,o:n,,,1,
340514,122,water,we,,,2,
340549,124,sea,"no weða",,,65,
340583,128,sky,ⁿdone,,,1,
340618,129,moon,moanu,,,"52,71",
340652,130,star,pio,,,1,
340686,131,cloud,ne,,,3,
340719,133,rain,poal,,,59,
340752,134,thunder,ɲo,,,43,
340785,135,lightning,ɲoni,,,95,
340818,136,wind,ⁿde,,,1,
340856,138,warm,t̪o:,,,110,
340889,139,cold,t̪uco,,,129,
340922,140,dry,mau,,,1,
340956,141,wet,ᵐbe,,,45,
340991,143,fire,iai,,,50,
341025,145,smoke,puᵐbu,,,88,
341059,146,ash,ⁿda,,,1,
341093,147,black,ᵐba,,,100,
341129,148,white,put̪o,,,3,
341161,149,red,mi:,,,"1,55",
341197,150,yellow,"mi: ka pa",,,93,
341198,150,yellow,"mi: ᵐba",,,93,
341230,151,green,ᵐbuᵐbu,,,19?,
341262,152,small,gaᵐbe,,,,
341295,153,big,’axai,,,7,
341330,156,thin,cit̪aⁿda,,,64,
341362,157,thick,’ugu,,,28,
341400,160,"painful, sick",ʰkinu,,,106?,
341444,162,old,’uama,,,46,
341445,162,old,muⁿdo,,,1,
341481,163,new,ape,,,65,
341515,164,good,ðo,,,53,
341549,165,"bad, evil",t̪ava,,,114,
341583,166,"correct, true",gumagu,,,101,
341617,167,night,t̪’o,,,32,
341651,168,day,t̪e,,,6,
341685,170,when?,init̪a,,,1,
341725,174,"in, inside",no:,,,19,
341757,179,near,"ge no nu",,,112,
341792,180,far,’o:,,,98,
341793,180,far,ge’o:,,,98,
341828,181,where?,mi,,,39?,
342122,192,and,ma,,,2,
342154,193,if,po,,,23,
342188,195,"no, not",’ai,,,10,
342220,196,"to count",pina,,,26,
342259,197,One,poxe,,,14,
342293,198,Two,poru,,,1,
342327,199,Three,poko,,,1,
342361,200,Four,popa,,,"1,65",
342395,201,Five,poni,,,"1,15",
342429,202,Six,ponimaxe,,,,
342462,203,Seven,"poni maⁿdu",,,,
342496,204,Eight,"poni mago",,,,
342529,205,Nine,"poni maᵐba",,,,
342564,206,Ten,t̪uci,,,50,
342595,207,Twenty,"axe egu",,,,
342625,209,"One Hundred","ani egu",,,,
