id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1515,ⁿDe’u,"Leenhardt (1946)",dhv,dehu1237,"Leenhardt, Maurice. 1946. Langues et dialectes de l'Austro-Mèlanèsie","Transcription converteⁿd to IPA based on author's phonetic descriptions.Except: some vowels;    [r̃] = \"dental nasalised liquid\"; and    [’], which I assume to be glottal stop but the author does not explicitly discuss.","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Loyalty Islands","Mary Walworth",,"@book{303461,  address    = {Paris},  author     = {Leenhardt, Maurice},  pages      = {697},  publisher  = {Institut d'Ethnologie},  series     = {Travaux et Mémoires de l'Institut d'Ethnologie},  title      = {Langues et dialectes de l'Austro-Mélanésie},  volume     = {XLVI},  year       = {1946},  besttxt    = {ptxt2papualeenhardt_austro-melanesie1946_o.txt},  fn         = {papualeenhardt_austro-melanesie1946.pdf, papualeenhardt_austro-melanesie1946pages.pdf, papualeenhardt_austro-melanesie1946_o.pdf},  hhtype     = {overview;comparative;wordlist;specific_feature},  inlg       = {French [fra]},  lgcode     = {Ajië [aji], Arha = Arhâ [aqr], Aro = Arhö [aok], Boewe = Orowe [bpk], Sirhe = Sîshëë [sih], Neku [nek], Ciri = Tiri [cir], Anesu = Xârâcùù [ane], Aragure = Xârâgurè [axx], Dubea = Drubea [duf], Kapone = Numèè [kdk], Pati = Paicî [pri], Camuki = Cemuhî [cam], Pinje = Pije [piz], Poai = Fwâi [fwa], Nemi = Nemi [nem], Wamoang = Waamwang [wmn], Jawe [jaz], Moenebeng = Caac [msq], Yalasu = Balade [NOCODE_Balade], Belep = Belep Nyelâyu [yly], Nenema = Nêlêmwa-Nixumwak [nee], Koumac = Nêlêmwa-Nixumwak [nee], Nua/Bonde = Yuanga [nua], Poapoa = Pwapwâ [pop], Poamei = Pwaamei [pme], Moaveke = Hmwaveke [mrk], Moaeke = Vamale [mkt], Aveke = Haveke [hvk], Aeke = Haeke [aek], Nengone [nen], Iwatenu = Nengone [nen], De'u = Dehu [dhv], Miñ = Dehu [dhv], Iai = Iaai [iai]},  macro_area = {Papunesia},  oclc       = {870114007},  src        = {hh}}"
latitude,longitude
-20.88920000000000000000,167.22900000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
337847,1,hand,ime,,,1,
337848,1,hand,iwanakoim,,,1,
337882,2,left,mi,,,"1,59",
337914,3,right,maca,,,"5,13",
337956,4,leg/foot,waca,,,13,
337957,4,leg/foot,iwaca,,,13,
337992,5,"to walk",t̪o,,,,
338026,6,road/path,goðⁿdeɲ,,,1,
338058,7,"to come",t̪aɣʷa,,,,
338091,8,"to turn","uðëneðë ɣʷëmeken ’ut̪on",,,91?,
338122,9,"to swim",að,,,30,
338156,11,dust,xaxau,,,78,
338190,13,back,ðu,,,82,
338224,14,belly,ʰni,,,,
338258,16,intestines,ixele,,,92,
338292,17,liver,iⁿd͡ʒe,,,1,
338327,18,breast,θi,,,1,
338361,19,shoulder,ʰnaiape,,,,
338393,20,"to know, be knowledgeable",at̪e,,,,
338394,20,"to know, be knowledgeable",ʰmekun,,,,
338427,21,"to think",ɣʷouen,,,,
338461,23,blood,maⁿd͡ʒa,,,1,
338496,24,head,"’e i aŋeic",,,,
338530,25,neck,ɲinawa,,,18,
338564,26,hair,"i’ nai’e",,,,
338598,27,nose,"ʰnafiði i aŋeic",,,,
338633,29,"to sniff, smell",ʰŋøleʰŋølën,,,,
338666,30,mouth,ɣʷe,,,1,
338699,31,tooth,ɲø,,,1,
338733,32,tongue,θineme,,,7,
338771,35,"to vomit",ʰmit̪a,,,1,
338805,37,"to eat",xen,,,1,
338851,40,"to drink",ið,,,69,
338852,40,"to drink",’uce,,,6?,
338886,42,"to suck",t̪imet̪imën,,,,
338919,43,ear,ʰnaŋeɲë,,,1?,
338951,44,"to hear",t̪eɣʷen,,,,
338984,45,eye,alamek,,,1,
339027,46,"to see",goëen,,,123,
339090,49,"to lie down",mekøl,,,37,
339122,50,"to dream",puð,,,75,
339156,53,"person/human being","at̪e i aŋeic",,,4,
339220,54,man/male,t̪aʰmaɲ,,,"1,14",
339221,54,man/male,"at̪e i ɲiⁿdo",,,,
339222,54,man/male,"ðoxa iuɲiⁿdo",,,,
339284,55,woman/female,føe,,,,
339285,55,woman/female,"fø i ɲiⁿdo",,,,
339318,56,child,"nekø i aŋeic",,,5,
339352,57,husband,"fø i ɲiⁿdo",,,,
339388,58,wife,"fø i niⁿdë",,,,
339422,59,mother,"θine i aŋeic",,,1,
339457,60,father,"keme i aŋeic",,,1,
339491,61,house,uma,,,1,
339526,62,thatch/roof,nalima,,,,
339558,64,"to say",ɣʷoða,,,,
339593,65,rope,eu,,,25,
339628,68,needle,nilan,,,L,
339629,68,needle,"ðem (L)",,,,
339661,72,"to hit","aca ʰna",,,8?,
339701,75,"to die, be dead",menumenu,,,,
339742,78,"to cut, hack",θupa,,,135?,
339781,79,stick/wood,wanamamik,,,,
339813,84,"to plant",tan,,,2,
339876,92,"to open, uncover",fe,,,,
339910,93,"to pound, beat",ʰna,,,,
339949,95,"to fall",kei,,,132,
339984,96,dog,vailai,,,7,
339985,96,dog,"kuli [ᵐb]",,,L,
340019,97,bird,waco,,,,
340052,101,"to fly",sʰesʰë,,,93,
340104,102,rat,aði,,,,
340108,106,snake,un,,,43,
340143,107,"worm (earthworm)",piagot̪,,,1,
340177,109,mosquito,t̪esit̪,,,,
340211,110,spider,iaðuðu,,,,
340245,111,fish,i,,,1,
340279,113,branch,"picine i aŋeic",,,,
340313,114,leaf,"ⁿd͡ʒøn i. a",,,1,
340348,115,root,"it̪e wan",,,2,
340382,117,fruit,wene,,,1,
340416,119,earth/soil,ⁿdo,,,1,
340451,120,stone,et̪ë,,,1,
340485,121,sand,ŋøni,,,1,
340519,122,water,t̪im,,,8,
340554,124,sea,ʰnageðë,,,,
340588,128,sky,ʰneŋøⁿd͡ʒai,,,,
340623,129,moon,t̪eu,,,,
340657,130,star,wët̪esið,,,,
340691,131,cloud,iaw,,,12,
340724,133,rain,mani,,,,
340757,134,thunder,’eⁿdeŋ,,,,
340790,135,lightning,samek,,,15?,
340823,136,wind,eɲ,,,1,
340861,138,warm,iⁿdeuθ,,,,
340894,139,cold,nanazið,,,,
340927,140,dry,weliwel,,,11,
340961,141,wet,maɲik,,,115,
340996,143,fire,eø,,,1,
341030,145,smoke,"so ne eë",,,2,
341064,146,ash,ʰnat̪esið,,,,
341098,147,black,wet̪ewet̪,,,90,
341134,148,white,wië,,,22,
341166,149,red,maⁿd͡ʒa,,,1?,
341204,150,yellow,ɣʷeⁿd,,,94,
341235,151,green,’at̪,,,,
341267,152,small,kaco,,,,
341301,153,big,katu,,,,
341335,156,thin,kaʰmelele,,,22,
341367,157,thick,"ka ʰmekøn",,,3,
341405,160,"painful, sick",wezipo,,,,
341406,160,"painful, sick",mec,,,1,
341451,162,old,nekø,,,,
341486,163,new,ɲipixe,,,,
341520,164,good,loi,,,18,
341554,165,"bad, evil",ŋazo,,,,
341588,166,"correct, true",ɲipici,,,,
341622,167,night,ðiⁿd,,,11,
341656,168,day,ⁿd͡ʒai,,,6,
341690,170,when?,eu,,,,
341730,174,"in, inside",ŋøn,,,15?,
341762,179,near,easʰeɲ,,,56,
341798,180,far,naɲ,,,,
341833,181,where?,ië,,,88,
341868,182,I,ni,,,"1,22",
341869,182,I,ŋe,,,1,
342095,188,what?,nemen,,,,
342127,192,and,ŋe,,,2,
342128,192,and,me,,,2,
342159,193,if,moine,,,"3,12",
342193,195,"no, not",o’ea,,,45,
342225,196,"to count",e,,,,
342226,196,"to count",numera,,,L,
342264,197,One,cas,,,1,
342298,198,Two,luet̪e,,,1,
342332,199,Three,kenit̪,,,1,
342366,200,Four,eket̪e,,,1,
342400,201,Five,t̪ipi,,,1?,
342434,202,Six,caŋemen,,,,
342467,203,Seven,"lue ŋemen",,,,
342501,204,Eight,"keni ŋemen",,,,
342534,205,Nine,"ekan ŋemen",,,,
342569,206,Ten,luepi,,,,
342600,207,Twenty,’ano,,,,
342630,209,"One Hundred","tipi lao at̪",,,,
