id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1517,"Siraya UM (Utrecht Manuscript) dialect","C. J. Van der Vlis, 1842, Formosaanse woordenlijst",fos,sira1267,"This is one of the two oldest and best documented sources (originally compiled in 17th century). The other is the Gospel dialect ( Gravius 1661)","Many gaps due to nature of the source (extended wordlist)","Austronesian, East Formosan, Southwest","Sander Adelaar",,
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
342701,1,hand,rima,,,1,
342702,2,left,uxi,,,1,
342703,3,right,ual,,,1,
342704,4,leg/foot,sapal,,,55,
342705,5,"to walk",d<m>a-darang,,,21,
342706,6,road/path,darang,,,1,
342885,7,"to come",m-u-kua,,,,
342886,7,"to come",mapil,,,,
342708,8,"to turn",maxu-vering,,,4,
342709,9,"to swim",l<m>anguy,,,1,
342887,10,dirty,marosok,,,110,
342888,10,dirty,maroksong,,,,
342711,12,skin,valit,,,"2,29",
342712,13,back,rikos,,,1,
342713,14,belly,vuil,,,81,
342714,15,bone,tural,,,1,
342715,16,intestines,talamey,,,97,
342716,17,liver,mawax,,,47,
342717,18,breast,oho,,,1,
342718,19,shoulder,taxo,,,80,
342719,20,"to know, be knowledgeable",m-u-mxa,,,,
342720,21,"to think",paxdimdim,,,13,
342721,22,"to fear",ma-takut,,,1,
342722,23,blood,xamax,,,"44,39",
342723,24,head,vungo,,,2,
342879,25,neck,rux,,,1,
342880,25,neck,taang,,,,
342725,26,hair,vukix,,,1,
342726,27,nose,xongos,,,"77,27",
342727,29,"to sniff, smell",s<m>a-sangox,,,"26,70",
342728,30,mouth,mutus,,,88,
342729,31,tooth,walix,,,1,
342730,32,tongue,?,"d<m>ira 'to lick'",,,
342731,33,"to laugh",ma-tawa,,,1,
342732,34,"to cry",t<m>angi,,,1,
342733,35,"to vomit",m-uta,,,1,
342734,37,"to eat",k<m>ang,,,1,
342735,40,"to drink",miit,,,71,
342736,41,"to bite",k<m>axat,,,1,
342737,42,"to suck",s<m>ipsip,,,1,
342738,43,ear,tangira,,,1,
342739,44,"to hear",x<m>ilingix,,,"1,27",
342740,45,eye,mata,,,1,
342741,46,"to see",k<m>ita,,,1,
342742,47,"to yawn",ma-xoap,,,1,
342743,48,"to sleep",m-esip,,,108,
342744,50,"to dream",mati-maling,"written with tt and ll",,50,
342745,51,"to sit",ma-raong,,,57,
342746,52,"to stand",mi-tuko,,,100,
342883,53,"person/human being",tau,,,1,
342884,53,"person/human being",kaxulung,,,72,
342889,54,man/male,paraix,,,60,
342890,54,man/male,ama,,,125,
342749,55,woman/female,ina,,,30,
342750,56,child,alak,,,1,
342751,57,husband,tbong,,,46,
342752,58,wife,kexaing,,,108,
342753,59,mother,s-ena,,,1,
342754,60,father,s-ama,,,1,
342755,61,house,talax,,,56,
342756,62,thatch/roof,apang,,,74,
342757,63,name,nanang,,,1,
342758,64,"to say",so,,,126,
342759,65,rope,tarix,,,,
342760,66,"to tie up, fasten",vuxot,,,50,
342761,67,"to sew",t<m>ahi,,,,
342762,68,needle,lakim,,,,
342763,69,"to hunt",m-alup,,,1,
342891,70,"to shoot",ma-tku-tkux,,,53,
342892,70,"to shoot",palto,,,24,
342765,71,"to stab, pierce",t<m>ivus,"s is suspect: a Loan?",,,
342766,72,"to hit",bukbuk,,,120,
342767,73,"to steal",husong,,,63,
342768,75,"to die, be dead",ma-patey,,,1,
342769,76,"to live, be alive",muxax,,,84,
342893,78,"to cut, hack",th<m>ata,,,142,
342894,78,"to cut, hack",t<m>ata,,,142,
342771,79,stick/wood,kayu,"cf.also Tsuchida&Yamada",,1,
342772,81,sharp,ma-sxingat,,,102,
342773,82,"dull, blunt",ma-ngihit,,,26,
342774,84,"to plant",t<m>alum,,,2,
342775,85,"to choose",peri,,,1,
342776,86,"to grow",tuul,,,61,
342777,88,"to squeeze",talding,,,92,
342778,90,"to dig",k<m>ari,,,1,
342779,91,"to buy",pa-ila,,,72,
342780,92,"to open, uncover",maxu-lip,,,"51,52",
342781,93,"to pound, beat",piaxaxaop,"'to thresh, stamp'",,71,
342895,94,"to throw",viul,'throw',,122,
342896,94,"to throw",m-asing,"'throw away'",,120,
342783,96,dog,asu,"s suspect",L,1,
342784,97,bird,ayam,"'animal (in general)'",,2,
342897,98,egg,popxax,,,55,
342898,98,egg,pupaax,,,55,
342786,99,feather,ilil,,,78,
342787,100,wing,palis,,,2,
342788,102,rat,taxuliang,,,70,
342789,103,meat/flesh,vaat,,,37,
342790,104,fat/grease,ximax,,,2,
342791,105,tail,ikox,,,1,
342792,106,snake,vuli,,,29,
342793,107,"worm (earthworm)",kurey,,,2,
342794,108,louse,kuto,,,1,
342795,109,mosquito,rikix,,,2,
342796,110,spider,rawa,,,1,
342797,111,fish,txing,,,"29,79",
342798,112,rotten,mi-tupak,"also 'michtoey' (orig. sp.)",,91,
342799,113,branch,pehil,,,64,
342800,114,leaf,hapa,,,44,
342801,115,root,patar,,,65,
342802,116,flower,isip,,,52,
342803,117,fruit,voa,,,1,
342804,118,grass,havur,"also aloop 'straw' (orig. sp.)",,,
342805,119,earth/soil,nai,"also: dulang",,38,
342806,120,stone,vato,,,1,
342807,121,sand,lixix,,,76,
342808,122,water,salom,,,1,
342809,124,sea,vaung,,,5,
342810,125,salt,veya,,,41,
342811,126,lake,valanga,,,48,
342812,127,woods/forest,vuxong,,,53,
342813,128,sky,vŭlŭm,,,1,
342814,129,moon,vural,,,1,
342815,130,star,ătatilingaxey,"short i",,67,
342816,131,cloud,purarey,,,114,
342817,133,rain,udal,,,1,
342818,134,thunder,xiltax,"'thunder strike'; singding 'rumbling'",,71,
342819,135,lightning,rikat,"short i",,"1, 89",
342820,136,wind,vare,,,2,
342821,138,warm,ma-dalat,,,113,
342822,139,cold,ma-harmil,,,132,
342823,140,dry,ma-skax,,,32,
342824,141,wet,ma-hala,,,120,
342825,142,heavy,ka-kdung,,,"52,83",
342826,143,fire,apoy,,,1,
342827,144,"to burn",mi-lamax,"short i",,105,
342828,146,ash,avo,,,1,
342829,147,black,ma-udim,,,44,
342830,148,white,ma-pule,,,111,
342831,149,red,mipxang,,,80,
342832,150,yellow,ma-kuli-ang,,,1,
342833,151,green,ma-xude,,,85,
342834,152,small,ma-kusing,,,102,
342835,153,big,ma-isang,,,2,
342836,155,long,ma-hangdax,,,103,
342837,156,thin,pulipix,,,"1,69",
342838,158,narrow,ma-soko,,,,
342839,159,wide,ma-surax,,,,
342840,160,"painful, sick",m-alam,,,92,
342841,161,"shy, ashamed",ma-ngala,,,83,
342842,162,old,rie,,,81,
342843,163,new,vaho,,,1,
342881,164,good,ma-xanix,,,106,
342882,164,good,ma-riang,,,139,
342845,166,"correct, true",ma-m'sing,,,103,
342846,167,night,vixnan,,,82,
342847,168,day,waxi,,,1,
342848,169,year,tawil,,,"1,22",
342849,170,when?,măno,,,87,
342850,172,"to climb",ma-kakax,,,,
342851,173,at,tu,,,28,
342852,174,"in, inside","tu rbo",,,41,
342853,175,above,vavaw,,,2,
342854,176,below,sasim,,,"20,37",
342855,177,this,ăna,,,43,
342856,178,that,ăta,,,2,
342899,179,near,taang,,,,
342900,179,near,hili,,,119,
342901,181,where?,hino,,,1,
342902,181,where?,"tu mang",,,90,
342859,182,I,akolo,,,1,
342860,183,thou,kaw,"in G dialect this is a nominative suffix",,1,
342861,188,what?,"ka mang",,,40,
342862,190,other,suma,,,1,
342863,191,all,iməd,"short i",,96,
342903,192,and,ka,,,1,
342904,192,and,ki,"has a wider application",,53,
342865,193,if,so,,,89,
342866,194,how?,"mama kimang","also: mamang",,86,
342867,195,"no, not",ăsey,,,20,
342868,196,"to count",k<m>utkut,,,88,
342869,197,One,sa-sat,,,1,
342870,198,Two,so-soa,,,1,
342871,199,Three,tu-turo,,,1,
342872,200,Four,paxpat,,,1,
342873,202,Six,ninam,"vowels uncertain, most probably nənəm",,1,
342874,202,Six,ninam,"vowels uncertain, most probably nənəm",,1,
