id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1518,"Proto Siraya","Sander Adelaar personal data; also: Adelaar 2014",fos,sira1267,"Based on the dialects represented in the Gospel of St Matthew text. the Utrecht Manuscript (wordlist), and some phonological features reflected in the lists provided by Tsuchida and Yamada (1991). See Adelaar, Alexander, 2014	Proto Siraya phonology, Cahiers de Linguistique Asie Orientale (Paris)	43:1-31.",,"Austronesian, East Formosan, Southwest","Sander Adelaar",,
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
342909,1,hand,*rima,,,1,
342910,2,left,*ui,,,1,
342911,3,right,*ual,,,1,
342912,4,leg/foot,*θapal,,,55,
342913,5,"to walk",*d<m>a-darang,,,21,
342914,6,road/path,*darang,,,1,
342915,7,"to come",*i[l]ua,"*r or *l ?",,,
342916,8,"to turn",*maxu-vering,,,4,
342917,9,"to swim",*l<m>anguy,,,1,
342918,10,dirty,"*ma-ru(s,θ)uk",,,110,
342919,11,dust,*vuravur,"also *θapul 'dust powder'",,14,
342920,12,skin,*baNit,,,"2, 29",
342921,13,back,*rikuθ,,,1,
342922,14,belly,*buiN,,,81,
342923,15,bone,*turaN,,,1,
342924,16,intestines,*talamey,,,97,
342925,17,liver,*mawax,"-> UM dialect mawax",,47,
342926,18,breast,*uhu,,,1,
342927,19,shoulder,*taxu,,,80,
342928,20,"to know, be knowledgeable",*ma-vana,"also: *m-umxa, *k<m>alang",,1,
342929,21,"to think",päx-dəmdəm,,,13,
342930,22,"to fear",*ma-takut,,,1,
342931,23,blood,*xamax,,,"44,39",
342932,24,head,*bungu,,,2,
342933,25,neck,*rəx,,,1,
342934,26,hair,*bukəx,,,1,
342935,27,nose,*xungu(θ),"θ is uncertain",,"77, 27",
342936,28,"to breathe",*mi-xinawa,,,1,
342937,29,"to sniff, smell",*θ<m>a-θangux,"'to smell'",,"26,70",
342938,30,mouth,*mutus,,,88,
342939,31,tooth,*walix,,,2,
342940,32,tongue,*θira,,,4,
342941,33,"to laugh",*ma-tawa,,,1,
342942,34,"to cry",*t<m>angi,,,1,
342943,35,"to vomit",*m-uta,,,1,
342944,36,"to spit",*ma-[d]ipax,,,74,
342945,37,"to eat",*k<m>an,,,1,
342946,40,"to drink",*m-i(i)t,,,71,
342947,41,"to bite",*k<m>axat,,,1,
343109,42,"to suck",*ma-uhu,"*ma-uhu 'to suck (baby)'",,25,
343110,42,"to suck",*s<m>ipsip?,,,1,
342949,43,ear,*tangira,"*taringa? see Tsuchida&Yamada",,1,
342950,44,"to hear",*x<m>ilingix,,,"1,27",
342951,45,eye,*mata,,,1,
342952,46,"to see",*k<m>ita,,,1,
342953,47,"to yawn",*ma-xuap,,,1,
342954,48,"to sleep",*ma-iθip,,,108,
342955,49,"to lie down",*ma-liku,,,,
342956,50,"to dream",*-maling,,,50,
342957,51,"to sit",*m-i-rung,,,57,
342958,52,"to stand",*m-i-tuku,,,100,
343111,53,"person/human being",*tau,,,1,
343112,53,"person/human being",*kaxulung,,,72,
342960,54,man/male,*parax,,,60,
342961,55,woman/female,*ina,,,30,
342962,56,child,*aNak,,,1,
342963,57,husband,*təbung,,,46,
342964,58,wife,*k-ixa-ən,"(less likely: *k-axa-ən)",,108,
342965,59,mother,*θa-ina,,,1,
342966,60,father,*θa-ama,,,1,
342967,61,house,*taNax,,,56,
342968,62,thatch/roof,*apang,,,74,
342969,63,name,*nanang,,,1,
342970,64,"to say",*ma-su-su,,,126,
342971,65,rope,*tarix,,,1,
343113,66,"to tie up, fasten",*hali-,,,,
343114,66,"to tie up, fasten",*buxut,,,50,
342973,67,"to sew",*t<m>ahi,,,,
342974,68,needle,"*simsim? *səmsəm?",,,46,
342975,69,"to hunt",*m-alup,,,1,
342976,70,"to shoot",*ma-təku-təkux,"also: pa-lətu (?)",,53,
342977,72,"to hit",*bukbuk,,,120,
342978,73,"to steal",*ha-uθung,,,63,
342979,74,"to kill",*lupux,"also: *paka-patey",,32,
342980,75,"to die, be dead",*ma-patay,,,1,
342981,76,"to live, be alive",*muxax,,,84,
342982,78,"to cut, hack","*ta(x)ta ?","consonants uncertain",,142,
342983,79,stick/wood,*kaxyu,"partly based on data in Tsuchida&Yamada 1991",,1,
342984,80,"to split","? *pa-p-u-duha","lit. 'make into two'",,68,
