id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1520,Kaisabu,"Mead, David. 2017. Kaisabu word list and notes. (Sulang Language Data and Working Papers: Word Lists, 5). Sulawesi Language Alliance. Online. URL: http://sulang.org/resources/word-lists/005",cia,kaes1237,"Pinpoint coordinates for this word list are 5° 28’ 30.8\" S and 122° 41’ 12.2\" E. Kaisabu is currently classified as a dialect of Cia-Cia. However in the near future I plan to submit an ISO639-3 change request to reclassify Kaisabu as a separate language",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Muna-Buton, Nuclear Muna-Buton, Buton, West Buton","David Mead","Simon Greenhill",
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
343588,1,hand,lima,,,,
343589,2,left,sombali,,,,
343590,3,right,soana,,,,
343591,4,leg/foot,kake,,,,
343592,5,"to walk",liŋka,,,,
343593,6,road/path,lala,,,,
343594,7,"to come",ambu,,,,
343595,7,"to come",xato,,,,
343596,8,"to turn",ɓelo,,,,
343597,9,"to swim",poŋano,,,,
343598,10,dirty,mobuxusi,,,,
343599,11,dust,ŋaβu,,,,
343600,12,skin,kuli,,,,
343601,13,back,taliku,,,,
343602,14,belly,haβa,,,,
343603,15,bone,buku,,,,
343604,16,intestines,ŋkaluŋkalu,,,,
343605,17,liver,hate,,,,
343606,18,breast,titi,,,,
343607,19,shoulder,buhu,,,,
343608,20,"to know, be knowledgeable",koni,,,,
343609,21,"to think",pikixi,,,,
343610,22,"to fear",mosasu,,,,
343611,23,blood,xea,,,,
343612,24,head,potu,,,,
343613,25,neck,laaβuku,,,,
343614,26,hair,βulumpotu,,,,
343615,27,nose,ŋoo,,,,
343616,28,"to breathe",pesinaa,,,,
343617,29,"to sniff, smell",peβono,,,,
343618,30,mouth,munʧu,,,,
343619,31,tooth,ŋii,,,,
343620,32,tongue,ela,,,,
343621,33,"to laugh",seɗeli,,,,
343622,34,"to cry",kee,,,,
343623,35,"to vomit",polonai,,,,
343624,36,"to spit",pekatupe,,,,
343625,37,"to eat",maa,,,,
343626,38,"to chew",naŋku,,,,
343627,39,"to cook",pepokotaa,,,,
343628,40,"to drink",poxoku,,,,
343629,41,"to bite",papaki,,,,
343630,42,"to suck",gomi,,,,
343631,43,ear,toliŋa,,,,
343632,44,"to hear",pendoŋo,,,,
343633,45,eye,mata,,,,
343634,46,"to see",ita,,,,
343635,47,"to yawn",moŋaβa,,,,
343636,48,"to sleep",monoko,,,,
343637,49,"to lie down",ndole,,,,
343638,50,"to dream",poinipi,,,,
343639,51,"to sit",poŋkoxa,,,,
343640,52,"to stand",taɗe,,,,
343641,53,"person/human being",mia,,,,
343642,54,man/male,mohane,,,,
343643,55,woman/female,moβine,,,,
343644,56,child,ana,,,,
343645,57,husband,mohane,,,,
343646,58,wife,moβine,,,,
343647,59,mother,ina,,,,
343648,60,father,ama,,,,
343649,61,house,kaana,,,,
343650,62,thatch/roof,hato,,,,
343651,63,name,kona,,,,
343652,64,"to say",pogau,,,,
343653,65,rope,xabuta,,,,
343654,66,"to tie up, fasten",tapu,,,,
343655,67,"to sew",meɗeu,,,,
343656,68,needle,ɗeu,,,,
343657,69,"to hunt",pekahokolo,,,,
343658,70,"to shoot",pepana,,,,
343659,71,"to stab, pierce",petoɓo,,,,
343660,72,"to hit",pehado,,,,
343661,73,"to steal",mbolaku,,,,
343662,74,"to kill",pepoŋko,,,,
343663,75,"to die, be dead",mate,,,,
343664,76,"to live, be alive",mokuxi,,,,
343665,77,"to scratch",pekusai,,,,
343666,78,"to cut, hack",petumpo,,,,
343667,79,stick/wood,sau,,,,
343668,80,"to split",peɓoha,,,,
343669,81,sharp,moxoko,,,,
343670,82,"dull, blunt",mokuɗo,,,,
343671,83,"to work",kaxaʤaa,"borrowed from Indonesian kerja",L,,
343672,84,"to plant",pembula,,,,
343673,85,"to choose",pili,,,,
343674,86,"to grow",tumbu,,,,
343675,87,"to swell",tente,,,,
343676,88,"to squeeze",pio,,,,
343677,89,"to hold",unta,,,,
343678,90,"to dig",peseli,,,,
343679,91,"to buy",holi,,,,
343680,92,"to open, uncover",peleŋka,,,,
343681,93,"to pound, beat",petutu,,,,
343682,94,"to throw",peɓambexi,,,,
343683,95,"to fall",mondaβu,,,,
343684,96,dog,ɗahu,,,,
343685,97,bird,manumanu,,,,
343686,98,egg,tikolu,,,,
343687,99,feather,βulu,,,,
343688,100,wing,pani,,,,
343689,101,"to fly",lola,,,,
343690,102,rat,sibu,,,,
343691,103,meat/flesh,isi,,,,
343692,104,fat/grease,taɓa,,,,
343693,105,tail,lenʧi,,,,
343694,106,snake,kule,,,,
343695,107,"worm (earthworm)",hundeletu,,,,
343696,108,louse,"tutuno potu",,,,
343697,109,mosquito,ɓoxoto,,,,
343698,110,spider,laβalaβa,,,,
343699,111,fish,kenta,,,,
343700,112,rotten,moɓoŋko,,,114,
343701,113,branch,xaha,,,,
343702,114,leaf,xoo,,,,
343703,115,root,kulese,,,,
343704,116,flower,kamba,,,,
343705,117,fruit,ɓake,,,,
343706,118,grass,kaxuku,,,,
343707,119,earth/soil,βuta,,,,
343708,120,stone,βatu,,,,
343709,121,sand,hone,,,,
343710,122,water,eʔe,,,,
343711,123,"to flow",siβulu,,,,
343712,124,sea,mokahi,,,,
343713,125,salt,gaxa,,,,
343714,126,lake,lembo,,,,
343715,127,woods/forest,ponue,,,,
343716,128,sky,laiano,,,,
343717,129,moon,βula,,,,
343718,130,star,kalipopo,,,,
343719,131,cloud,kaʔolu,,,,
343720,132,fog,gaβu,,,,
343721,133,rain,hise,,,,
343722,134,thunder,guntu,,,,
343723,135,lightning,ɓiɓito,,,,
343724,136,wind,kaβea,,,,
343725,137,"to blow",pii,,,,
343726,138,warm,mompana,,,,
343727,139,cold,moɗindi,,,,
343728,140,dry,mokele,,,,
343729,141,wet,ɓaŋka,,,,
343730,142,heavy,mobua,,,,
343731,143,fire,api,,,,
343732,144,"to burn",petunu,,,,
343733,145,smoke,humbo,,,,
343734,146,ash,habu,,,,
343735,147,black,mokito,,,,
343736,148,white,mopute,,,,
343737,149,red,moɗea,,,,
343738,150,yellow,moŋkuni,,,,
343739,151,green,moiʤo,,,,
343740,152,small,makiɗikiɗi,,,,
343741,153,big,tooβa,,,,
343742,154,short,molimbu,,,,
343743,155,long,koata,,,,
343744,156,thin,monipi,,,,
343745,157,thick,mokapa,,,,
343746,158,narrow,moseke,,,,
343747,159,wide,moleβa,,,,
343748,160,"painful, sick",molea,,,,
343749,161,"shy, ashamed",ambaŋu,,,,
343750,162,old,manʧuana,,,,
343751,163,new,βukou,,,,
343752,164,good,mela,,,,
343753,165,"bad, evil",moɗaki,,,,
343754,166,"correct, true",kotuhu,,,,
343755,167,night,kohondoxa,,,,
343756,168,day,hoholeo,,,,
343757,169,year,taku,,,,
343758,170,when?,nipiamo,"asking about the past",,,
343759,170,when?,naipia,"asking about the future",,,
343760,171,"to hide",pehoko,,,,
343761,172,"to climb",taga,"climb mountain",,,
343762,172,"to climb",hende,ascend,,,
343763,173,at,i,,,,
343764,174,"in, inside","i lalo",,,,
343765,175,above,"te βaβo",,,,
343766,176,below,"βe βoxu",,,,
343767,177,this,iina,,,,
343768,178,that,iintu,,,,
343769,179,near,mosumpe,,,,
343770,180,far,mbilai,,,,
343771,181,where?,impae,,,,
343772,182,I,indaʔu,,,,
343773,183,thou,isoo,,,,
343774,184,he/she,oia,,,,
343775,185,we,isami,"we (exclusive)",,,
343776,185,we,iŋkita,"we (inclusive)",,,
343777,186,you,isomiu,,,,
343778,187,they,maŋaya,"< ma?a 'plural' + ia",L,,
343779,188,what?,paxae,,,,
343780,189,who?,ieno,"possibly ieeno or iieno",,,
343781,190,other,agaano,,,,
343782,191,all,totoaxue,,,,
343783,192,and,ɓee,,,,
343784,193,if,ane,,,,
343785,194,how?,toompae,,,,
343786,195,"no, not",taina,"verbal negator",,,
343787,195,"no, not",minʧuano,"negation of classification (as with Indonesian bukan)",,,
343788,196,"to count",peise,,,,
343789,197,One,aanu,,,,
343790,198,Two,xoanu,,,,
343791,199,Three,toluanu,,,,
343792,200,Four,patoanu,,,,
343793,201,Five,limaˈanu,,,,
343794,202,Six,nomoanu,,,,
343795,203,Seven,pituanu,,,,
343796,204,Eight,aluanu,,,,
343797,205,Nine,siuanu,,,5,
343798,206,Ten,ompuluanu,,,,
343799,207,Twenty,xoapuluanu,,,,
343800,208,Fifty,limapuluanu,,,,
343801,209,"One Hundred",ahatuanu,,,,
343802,210,"One Thousand",axiβuanu,,,,
