id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1523,"Wakole dialect of Kumbewaha","Mead, David. 2017. Wolowa word lists. (Sulang Language Data and Working Papers: Word Lists, 8). Sulawesi Language Alliance. Online. URL: http://sulang.org/resources/word-lists/008",xks,kumb1274,"Pinpoint coordinates for this word list are 5° 26’ 12.1\" S 122° 53’ 58.7\" E",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Muna-Buton, Nuclear Muna-Buton, Buton, East Buton","David Mead","Simon Greenhill",
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
344244,1,hand,lima,,,,
344245,2,left,sombali,,,,
344246,3,right,soana,,,,
344247,4,leg/foot,kake,,,,
344248,5,"to walk",haŋka,,,,
344249,6,road/path,lala,,,,
344250,7,"to come",bundo,,,,
344251,7,"to come",kumbo,,,,
344252,7,"to come",rato,,,,
344253,8,"to turn",ɓelo,"borrowed from Indonesian belok",L,,
344254,9,"to swim",pikanaŋu,,,,
344255,10,dirty,moxumbu,,,,
344256,11,dust,gaβu,,,,
344257,12,skin,sili,,,,
344258,13,back,taliku,,,,
344259,14,belly,haβa,,,,
344260,15,bone,buku,,,,
344261,16,intestines,ŋkaluŋkalu,,,,
344262,17,liver,hate,,,,
344263,18,breast,ʧiʧi,,,,
344264,19,shoulder,ɓahu,,,,
344265,20,"to know, be knowledgeable",koni,,,,
344266,21,"to think",kalenʧu,,,,
344267,21,"to think",pikixi,"borrowed from Indonesian pikir",L,,
344268,22,"to fear",mosesu,,,,
344269,23,blood,xea,,,,
344270,24,head,poʧu,,,,
344271,25,neck,βuku,,,,
344272,26,hair,"βuluno poʧu",,,,
344273,27,nose,ŋoʔo,,,,
344274,28,"to breathe",pisinaʔa,,,,
344275,29,"to sniff, smell",piβono,,,,
344276,30,mouth,ɓoɓa,,,,
344277,31,tooth,leke,,,,
344278,32,tongue,ela,,,,
344279,33,"to laugh",βele,,,,
344280,34,"to cry",taŋi,,,,
344281,35,"to vomit",polonai,,,,
344282,36,"to spit",pikapera,,,,
344283,37,"to eat",maʔa,,,,
344284,38,"to chew",naŋku,,,,
344285,39,"to cook",pitoro,,,,
344286,39,"to cook",pereka,,,,
344287,40,"to drink",poxoku,,,,
344288,41,"to bite",kukuʧi,,,,
344289,42,"to suck",sosopi,,,,
344290,43,ear,ʧuli,,,,
344291,44,"to hear",pindoŋo,,,,
344292,45,eye,mata,,,,
344293,46,"to see",ita,,,,
344294,47,"to yawn",piŋaβa,,,,
344295,48,"to sleep",moʧuxu,,,,
344296,49,"to lie down",ndolendole,,,,
344297,50,"to dream",poinipi,,,,
344298,51,"to sit",hora,,,,
344299,52,"to stand",taɗe,,,,
344300,53,"person/human being",mia,,,,
344301,54,man/male,mohane,,,,
344302,55,woman/female,moβine,,,,
344303,56,child,ana,,,,
344304,57,husband,mohaneno,"with third person possessive -no",,,
344305,58,wife,moβineno,"with third person possessive -no",,,
344306,59,mother,ina,,,,
344307,60,father,ama,,,,
344308,61,house,βunua,,,,
344309,61,house,kaʔana,,,,
344310,62,thatch/roof,hato,,,,
344311,63,name,ŋea,,,,
344312,64,"to say",ɓoasa,,,,
344313,65,rope,kaɓoke,,,,
344314,66,"to tie up, fasten",ɓoke,,,,
344315,67,"to sew",piɗeu,,,,
344316,68,needle,ɗeu,,,,
