id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1524,"Wasambua dialect of Cia-Cia","Mead, David. 2017. Wasambua word list, notes. and sample text. (Sulang Language Data and Working Papers: Word Lists, 4). Sulawesi Language Alliance. Online. URL: http://sulang.org/resources/word-lists/004",cia,ciac1237,"Pinpoint coordinates for this word list are 5° 36' 15.6\" S and 122° 35' 46.6\" E",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Muna-Buton, Nuclear Muna-Buton, Buton, West Buton","David Mead","Simon Greenhill",
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
344467,1,hand,lima,,,,
344468,2,left,ema,,,,
344469,3,right,suana,,,,
344470,4,leg/foot,kake,"foot & lower leg",,,
344471,5,"to walk",pevilavila,,,,
344472,6,road/path,lala,,,,
344473,7,"to come",umba,,,,
344474,8,"to turn",ɓalili,,,,
344475,9,"to swim",ponaŋo,,,,
344476,10,dirty,moχobu,,,,
344477,11,dust,gavu,,,,
344478,12,skin,kuli,,,,
344479,13,back,buʔu,,,,
344480,14,belly,hava,,,,
344481,15,bone,buku,,,,
344482,16,intestines,ŋkaluŋkalu,,,,
344483,17,liver,hate,,,,
344484,18,breast,ʧiʧi,,,,
344485,19,shoulder,ɓahu,,,,
344486,20,"to know, be knowledgeable",pandeʔe,,,,
344487,21,"to think",pikiri,,,,
344488,22,"to fear",montehi,,,,
344489,23,blood,χea,,,,
344490,24,head,poʧu,,,,
344491,25,neck,"laʔano vuku","back (?) of neck",,,
344492,25,neck,gonʧo,"front of neck",,,
344493,26,hair,vuʔu,,,,
344494,27,nose,ŋoʔo,,,,
344495,28,"to breathe",pesinaʔa,,,,
344496,29,"to sniff, smell",vondu,,,,
344497,30,mouth,ɓoɓa,,,,
344498,31,tooth,ŋiʔi,,,,
344499,32,tongue,lela,,,,
344500,33,"to laugh",ɓotaʔa,,,,
344501,34,"to cry",keʔe,,,,
344502,35,"to vomit",polonai,,,,
344503,36,"to spit",pekaʧue,,,,
344504,37,"to eat",maʔa,,,,
344505,38,"to chew",pemunta,,,,
344506,39,"to cook",pepoʧuko,,,,
344507,40,"to drink",sumpu,,,,
344508,41,"to bite",papaki,,,,
344509,42,"to suck",gomi,,,,
344510,43,ear,toliŋa,,,,
344511,44,"to hear",hogono,,,,
344512,45,eye,mata,,,,
344513,46,"to see",ita,,,,
344514,47,"to yawn",moŋava,,,,
344515,48,"to sleep",monoko,,,,
344516,49,"to lie down",ndolendole,,,,
344517,50,"to dream",poʔinipi,,,,
344518,51,"to sit",peʧukoʧuko,,,,
344519,52,"to stand",taɗe,,,,
344520,53,"person/human being",mia,,,,
344521,54,man/male,mohane,,,,
344522,55,woman/female,movine,,,,
344523,56,child,mohaʔana,,,,
344524,57,husband,mohane,,,,
344525,58,wife,movine,,,,
344526,59,mother,ina,,,,
344527,60,father,ama,,,,
344528,61,house,ɓanua,,,,
344529,62,thatch/roof,hato,,,,
344530,63,name,kona,,,,
344531,64,"to say",pogau,,,,
344532,65,rope,χambu,,,,
344533,66,"to tie up, fasten",ɓoke,,,,
344534,67,"to sew",peɗeu,,,,
344535,68,needle,ɗeu,,,,
344536,69,"to hunt",—,,,,
344537,70,"to shoot",pepana,,,,
344538,71,"to stab, pierce",toɓo,,,,
344539,72,"to hit",vesi,,,,
344540,73,"to steal",mbolaku,,,,
344541,74,"to kill",pokomate,,,,
344542,75,"to die, be dead",mate,,,,
344543,76,"to live, be alive",mokuχi,,,,
344544,77,"to scratch",kusai,,,,
344545,78,"to cut, hack",kanda,,,,
344546,79,stick/wood,sau,,,,
344547,80,"to split",veta,,,,
344548,81,sharp,koto,,,,
344549,82,"dull, blunt","ʧia nakoto","literally 'it's not sharp'",,,
344550,83,"to work",kaχaʤaa,,,,
344551,84,"to plant",pembula,,,,
344552,85,"to choose",pili,,,,
344553,86,"to grow",ʧumbu,,,,
344554,87,"to swell",no-tente,,,,
344555,88,"to squeeze",pio,,,,
344556,89,"to hold",peʔunta,,,,
344557,90,"to dig",galu,,,,
344558,90,"to dig",polaŋi,"dig a hole",,,
344559,91,"to buy",peholi,,,,
344560,92,"to open, uncover",leŋka,,,,
344561,93,"to pound, beat",peʧuʧu,,,,
344562,94,"to throw",pehampasi,,,,
344563,95,"to fall",mondavu,,,,
344564,95,"to fall",mokoʧibu,,,,
344565,96,dog,mantoa,,,,
