id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1526,"Proto Malagasy","Sander Adelaar",mlg,mala1537,"Two stages can be distinguished for Proto Malagasy: PMLG1 (just before the migrations of Southeast Barito speakers to East Africa); PMLG2 (language ancestral to current MLG dialects; shows a Bantu substratum + Bantu loanwords). The current list represents MLG2.",,"Austronesian, Malayo-Polynesian, Greater Barito, East, Malagasy","Sander Adelaar",,
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
345495,1,hand,*taŋan,,,18,
345496,2,left,*hawia[n],,,"1,42",
345497,3,right,*hawanan,,,"1,62",
345498,5,"to walk",*mandeha,"*man- + *leha",,61,
345499,6,road/path,*lalan,,,1,
345500,7,"to come",*awe,,,70,
345501,8,"to turn",*kuliŋ,,,96,
345502,9,"to swim",*mi-laŋu,,,1,
345722,10,dirty,*ma-lutu,"< S.Sulawesi",,108,
345721,11,dust,*wuwuk,,,56,
345503,12,skin,*hulit,,,1,
345504,13,back,*lambu/siN,"< Malay",L,47,
345703,13,back,*talukut,"reflex talutukŭ found in Sorabe literature",,1,
345720,13,back,*ma-lutu,"< S. Sulawesi",L,108,
345505,14,belly,*Duuk,?,,31,
345506,15,bone,*taulaŋ,,,1,
345507,16,intestines,*tinai,,,1,
345508,17,liver,*ate,,,1,
345509,18,breast,*nunu,,,3,
345510,19,shoulder,*awae,,,1,
345717,19,shoulder,*suruk,"< Malay but with metaphoric meaning change",,,
345511,20,"to know, be knowledgeable",*ma-hilala,"? could be borrowed on account of *-a",(L?),18,
345512,22,"to fear",*ma-tahut,,,1,
345513,23,blood,*raa,,,1,
345514,24,head,*luha,,,84,
345515,25,neck,*wuyuŋ,,,131,
345516,26,hair,*wulu,,,31,
345517,27,nose,*uruŋ,,,1,
345518,28,"to breathe",*mi-aeŋ,,,23,
345519,29,"to sniff, smell",*maŋ-imbu,"smell, sniff",,36,
345715,29,"to sniff, smell",*maŋ-uruk,"smell, sniff, kiss",,120,
345716,29,"to sniff, smell",*maŋ-imbu,X,,,
345520,30,mouth,*wawa,,,1,
345521,31,tooth,*nife,,,1,
345522,32,tongue,*lela,,,4,
345523,33,"to laugh",*mi-hehe,,,107,
345524,34,"to cry",*t<um>aŋis,,,1,
345525,35,"to vomit",*mandua,"< *maN- + *lua",,8,
345526,36,"to spit",*mandrura,"< maN- + *rura",,1,
345527,37,"to eat",*mi-h<um>an,,,1,
345714,37,"to eat",*hinan,,,1,
345528,38,"to chew",*mi-huta,,,69,
345529,39,"to cook",*ma-handru,,,102,
345530,40,"to drink",*(u)m-inum,,,1,
345689,41,"to bite",*hehet,,,20,
345690,41,"to bite",*kaiket,,,,
345532,42,"to suck",*mi-nunu,,,76,
345533,43,ear,*taliŋe,,,1,
345704,43,ear,*taliŋe,,,1,
345534,44,"to hear",*man-dreŋe,,,1,
345535,45,eye,*masu,"< Bantu",L,36,
345536,46,"to see",*ma-hita,"LW on account of -a?",L?,1,
345537,47,"to yawn",*maŋ-uaT,,,19,
345538,48,"to sleep",*mandre,"*maN- + re",,34,
345539,49,"to lie down","*mandre (?)","*maN- + re (?)",,110,
345540,50,"to dream",*maŋu-nufi,,,1,
345541,51,"to sit",*mi-peDak,,,163,
345542,52,"to stand",*mi-tsaŋgaŋ,,,101,
345543,53,"person/human being",*(h)ulun,,,17,
345544,54,man/male,*lahi,,,2,
345545,55,woman/female,*wawe,,,"1,105",
345546,56,child,*anak,,,1,
345547,57,husband,*wali,"< S. Sulawesi",L,88,
345548,58,wife,*wali,"< S. Sulawesi",L,107,
345549,59,mother,*rene,"< *ra- + *ine",,"1,93",
345550,60,father,*rae,"< *ra- + *aye",,"22,50",
345551,61,house,*Daŋo,"< Banjar Malay",L,18,
345552,62,thatch/roof,*tafu,,,"15,76",
345553,63,name,*aŋaran,,,1,
345554,64,"to say",mi-teŋe,"? not sure",,52,
345555,65,rope,*tali,,,1,
345556,66,"to tie up, fasten",*fehe,,,139,
345557,67,"to sew",*yaiT,,,2,
345558,68,needle,*fanjaiT,,,45,
345559,69,"to hunt",*mi-haya,,,87,
345560,73,"to steal",maŋgalaT,"< *maN- + *halaT",,57,
345561,74,"to kill",*mamunu,"< *maN= + *wunu",,1,
345562,75,"to die, be dead",*mate,,,1,
345563,76,"to live, be alive",*welum,"be alive, live",,11,
