id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1533,"Tengger (Ngadas)","Conners (2008)",tes,teng1272,"Conners, TJ. (2008) Tengger Javanese. Ph.D. dissertation, Yale University.",,"Austronesian, Malayo-Polynesian, Javanese","Andrew Hsiu",,"@phdthesis{140791,  author              = {Conners, Thomas J.},  note                = {New Haven, Fac. of the Graduate School of Yale University.},  pages               = {x+298},  publisher           = {Dissertation},  school              = {New Haven: Yale University},  title               = {Tengger Javanese},  year                = {2008},  asjp_name           = {Tengger, Javanese, Old/Middle Javanese},  besttxt             = {ptxt2papuaconners_tengger-javanese2008v2.txt},  cfn                 = {papuaconners_javanese2008_s.pdf},  class_loc           = {PL5161},  delivered           = {papuaconners_javanese2008_s.pdf},  document_type       = {CF},  filenames           = {Tengger.doc},  fn                  = {papuaconners_javanese2008_s.pdf, papuaconners_tengger-javanese2008v2.pdf, papua/conners_javanese2008_s.pdf},  fnnote              = {pdf, 2,51 MB},  hhtype              = {grammar},  inlg                = {English [eng]},  isbn                = {9781243647115},  lgcode              = {Tengger [tes]},  macro_area          = {Papunesia},  mpifn               = {javanese_conners2008_s.pdf},  oclc                = {315735613},  phoible_inventoryid = {1700},  src                 = {asjp2010, hh, mpieva, phoible},  subject_headings    = {Tengger dialect, Javanese language, Tengger dialect - Javanese language}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
346973,1,hand,tangan,,,,
346977,2,left,kiwa,,,,
346981,3,right,tengen,,,,
346985,4,leg/foot,sikil,,,,
346988,5,"to walk",mlaku,,,,
346992,6,road/path,èmbong,,,,
346996,7,"to come",teka,,,,
347009,10,dirty,rusuh,difficult,,,
347010,10,dirty,uleg,"not perfect",,,
347011,10,dirty,reged,,,,
347012,10,dirty,kothé,,,,
347013,10,dirty,jembruk,,,,
347019,11,dust,bledhuk,,,,
347023,12,skin,kulit,,,,
347027,13,back,mburi,,,,
347032,14,belly,weteng,stomach,,,
347036,15,bone,belung,,,,
347044,17,liver,ati,,,,
347048,18,breast,susu,,,,
347052,19,shoulder,bau,,,,
347053,19,shoulder,pundhak,,,,
347059,20,"to know, be knowledgeable",wruh,,,,
347064,21,"to think",mikir,,,,
347069,22,"to fear",wedi,,,,
347073,23,blood,darah,,,,
347074,23,blood,getih,,,,
347077,24,head,endhas,,,,
347083,25,neck,gulu,,,,
347087,26,hair,rambut,,,,
347091,27,nose,congor,,,,
347095,28,"to breathe",ambekan,,,,
347100,29,"to sniff, smell",mambu,,,,
347101,29,"to sniff, smell",ngambèt,,,,
347107,30,mouth,"lam bé",,,,
347108,30,mouth,cangkem,,,,
347114,32,tongue,ilat,,,,
347118,33,"to laugh",ngguyu,,,,
347122,34,"to cry",nangis,,,,
347126,35,"to vomit",mlèkok,,,,
