id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1538,"Jizhao (Zhang 1992)","Zhang 1992",,jizh1234,"Zhang Zhenxing [张振兴]. 1992. \"Guangdongsheng Wuchuan fangyan jilve\" [广东省吴川方言记略]. In Fangyan [方言] 1992(3).",,"Tai-Kadai, Kam-Tai, Lakkja","Andrew Hsiu",,
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
347917,4,leg/foot,kɔk⁵⁵,,,,
347928,11,dust,ien²¹tsʰiaŋ¹¹,,,,
347976,37,"to eat",ky¹¹,,,,
347978,40,"to drink",ŋiam³³,,,,
347988,45,eye,la³¹tsieŋ²¹,,,,
348003,54,man/male,ŋia³¹lou³¹,,,,
348006,55,woman/female,mai¹¹pʰa²¹,,,,
348011,58,wife,mai¹¹pʰa¹¹,,,,
348013,59,mother,am²¹ma⁵⁵,,,,
348015,60,father,koŋ²¹ma⁵⁵,,,,
348017,61,house,laŋ³¹,,,,
348114,129,moon,tsiai²¹,,,,
348181,168,day,lau²¹ŋuan³¹,,,,
348202,182,I,ŋau³¹,,,,
348205,183,thou,mi³¹,,,,
348208,184,he/she,man³¹,,,,
348212,185,we,ŋo³¹lɛ³³,,,,
348214,186,you,mi³¹lɛ³³,,,,
348216,187,they,tʰai¹¹ŋĩ¹¹tʰo³¹ŋia³¹,,,,
