id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1539,Tobati,"Holle via Stokhof (1982)",tti,toba1266,"Called Jautefa in HolleStokhof WAL (1982) Holle Lists: Vocabularies in languages of Indonesia. Vol 5/1: Irian Jaya: Austronesian languages; Papuan Languages, Digul Area (Pacific Linguistics, Canberra).",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Sarmi-Jayapura Bay, Jayapura Bay","Simon Greenhill",,
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
348236,1,hand,"ajè charijog",,,,
348357,4,leg/foot,ajèsjari,leg,,,
348358,4,leg/foot,ajètĕrie,foot,,,
348238,5,"to walk",wiate,,,,
348239,7,"to come","édjĕ nemai","to arrive",,,
348240,9,"to swim",moetjaaāt,,,,
348241,12,skin,orridjĕ,,,,
348242,13,back,tieb,,,,
348243,14,belly,tĕrri,,,,
348244,15,bone,dĕrărĕ,,,,
348245,18,breast,tōedo,chest/breast,,,
348246,19,shoulder,"adamarsa doeri",,,,
348359,20,"to know, be knowledgeable",taoei,,,,
348360,20,"to know, be knowledgeable",katawi,,,,
348248,21,"to think","siwédjĕ nanaat",,,,
348249,24,head,chāboer,,,,
348250,26,hair,chaboedug,,,,
348251,27,nose,soeg,,,,
348252,28,"to breathe",chainĕmĕrawaāt,,,,
348253,30,mouth,sĕwiboh,,,,
348254,31,tooth,njŏh,,,,
348255,32,tongue,mĕridjĕ,,,,
348256,33,"to laugh",manĕmārĕcharā,,,,
348361,36,"to spit",chiake,saliva,,,
348362,36,"to spit",chiēbe,"to spit",,,
348258,37,"to eat",jaantè,,,,
348259,39,"to cook",jāraāt,,,,
348260,40,"to drink",joentĕ,,,,
348261,42,"to suck",waānte,,,,
348262,43,ear,tĕnji,,,,
348263,45,eye,windoe,,,,
348264,47,"to yawn",maoe,,,,
348265,48,"to sleep",chānåni,,,,
348266,49,"to lie down",jindoe,,,,
348267,50,"to dream",miene,,,,
348268,51,"to sit",téridĕ,,,,
348269,52,"to stand",bĕroegwaat,,,,
348270,53,"person/human being",chaar,,,,
348271,54,man/male,tāntĕ,,,,
348272,55,woman/female,monjĕ,,,,
348273,56,child,natoe,,,,
348274,57,husband,sāntĕ,,,,
348275,58,wife,monjĕ,,,,
348276,59,mother,amé,,,,
348277,60,father,ai,,,,
348278,61,house,roem,,,,
348363,62,thatch/roof,taar,roof,,,
348364,62,thatch/roof,anaat,thatch,,,
348280,63,name,chanās,,,,
348281,65,rope,wār,,,,
348282,66,"to tie up, fasten",rŏdjĕ,,,,
348283,70,"to shoot","pĕmbi rōwaāt",,,,
348284,72,"to hit",ānjoed,,,,
348285,74,"to kill",soesoekwàat,,,,
348365,75,"to die, be dead","dĕge mabdié",die,,,
348366,75,"to die, be dead",mābĕ,"be dead",,,
348287,81,sharp,misjaridjĕ,,,,
348288,83,"to work",ajèwi,,,,
348289,90,"to dig",sèdjĕ,,,,
348290,91,"to buy",diorīte,,,,
348291,92,"to open, uncover",metidjè,,,,
348292,96,dog,chŏnjĕ,,,,
348293,97,bird,mān,,,,
348294,98,egg,fănggĕăm,,,,
348295,99,feather,aroegĕ,,,,
348296,100,wing,pangoe,,,,
348297,102,rat,fondē,,,,
348367,103,meat/flesh,anènne,,,,
348368,103,meat/flesh,"tĕnidjĕ khonjah",,,,
348299,104,fat/grease,moeni,,,,
348300,105,tail,choi,,,,
348301,106,snake,maat,,,,
348302,107,"worm (earthworm)",jĕrāntoe,,,,
348303,108,louse,oeisj,,,,
348304,111,fish,idjĕ,,,,
348305,113,branch,aidări,,,,
348306,114,leaf,airaoeg,,,,
348307,115,root,siauwi,,,,
348308,116,flower,doei,,,,
348309,117,fruit,aidjorri,,,,
348310,118,grass,réi,,,,
348311,119,earth/soil,pèr,,,,
348312,120,stone,aat,,,,
348313,121,sand,chisfe,,,,
348314,122,water,naān,,,,
348315,124,sea,taat,,,,
348316,126,lake,"saām rĕmĕtŏr",,,,
348317,127,woods/forest,oesj,,,,
348318,129,moon,sembi,,,,
348319,130,star,indar,,,,
348320,131,cloud,ārĕ,,,,
348321,133,rain,tāb,,,,
348322,134,thunder,ridjoetoeg,,,,
348323,136,wind,oerĕmedīdĕ,,,,
348324,138,warm,māni,,,,
348325,139,cold,mĕdigē,,,,
348326,140,dry,māsaat,,,,
348327,141,wet,fĕndènidjĕ,,,,
348328,143,fire,ai,,,,
348329,144,"to burn","aiwa sărriåt",,,,
348330,152,small,raibimi,,,,
348331,153,big,mĕraibi,,,,
348332,154,short,tēbă,,,,
348333,155,long,mĕrāoei,,,,
348334,157,thick,wărirai,,,,
348335,160,"painful, sick",ois,ill,,,
348336,164,good,wōni,,,,
348337,165,"bad, evil",sĕnsāniaām,,,,
348338,167,night,fång,,,,
348339,168,day,nanidje,,,,
348340,169,year,jārām,,,,
348341,170,when?,mĕtei,,,,
348342,171,"to hide",chridjasŏrrĕ,,,,
348343,177,this,dégi,,,,
348344,179,near,tĕnitjā,,,,
348345,180,far,fĕrāmi,,,,
348346,181,where?,hanggā,,,,
348369,182,I,nerkafawi,,,,
348370,182,I,nèr,,,,
348371,183,thou,dèr,,,,
348372,183,thou,derkatawi,,,,
348373,184,he/she,ndi,he,,,
348374,184,he/she,nkatawi,he,,,
348375,184,he/she,"monje dorrebawi",she,,,
348376,185,we,niniarrĕ,,,,
348377,185,we,diddedinnekatawi,,,,
348378,186,you,nĕnoechātor,,,,
348379,186,you,nonneworre,,,,
348380,186,you,tawi,,,,
348381,187,they,ndiraaār,,,,
348382,187,they,siberkatawi,,,,
348353,188,what?,sā,,,,
348354,189,who?,dèsé,,,,
348355,191,all,oērĕbi,,,,
348356,195,"no, not",făni,,,,
