id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1550,"Caluyanun (Semirara)","Summer Institute of Linguistics (unknown authors). 1966. Caluyanun (Semirara) available via Zorc, R. David. 1972. Unpublished field notes.",clu,semi1263,,,"Austronesian, Malayo-Polynesian, Greater Central Philippine, Central Philippine, Bisayan, West","Andrew Hsiu",,
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3212530,1,hand,líma,,,,
3212542,1,hand,ʔalima,,,,
3212566,2,left,walá,,,,
3212595,3,right,tuʔú,,,,
3212504,7,"to come",súdlay,,,,
3212505,7,"to come",sígpit,,,,
3212506,7,"to come",ʔabót,,,,
3212626,9,"to swim",súgbu,,,,
3212510,10,dirty,búriŋ,,,,
3212515,11,dust,yábun,,,,
3212610,12,skin,panít,,,,
3212481,13,back,likód,,,,
3212484,14,belly,tiyan,,,,
3212492,15,bone,tulán,,,,
3212570,17,liver,ʔatáy,,,,
3212493,18,breast,títiʔ,,,,
3212494,18,breast,sóso,,,,
3212559,20,"to know, be knowledgeable",ma-tuman-an,,,,
3212634,21,"to think",ʔisip,,,,
3212635,21,"to think",panümdüm,,,,
3212527,22,"to fear",ʔádlük,,,,
3212490,23,blood,dugúʔ,,,,
3212579,25,neck,liʔə́g,,,,
3212541,26,hair,búʔok,,,,
3212584,27,nose,íroŋ,,,,
3212495,28,"to breathe",gináwa,,,,
3212614,29,"to sniff, smell",=ʔügüm,,,,
3212615,29,"to sniff, smell",báʔoʔ,,,,
3212616,29,"to sniff, smell",ʔámot,,,,
3212576,30,mouth,bábaʔ,,,,
3212640,31,tooth,ʔuntu,,,,
3212641,31,tooth,ípün,,,,
3212563,33,"to laugh",kádlaw,,,,
3212644,35,"to vomit",súka,,,,
3212619,36,"to spit",dúraʔ,,,,
3212519,37,"to eat",káʔün,,,,
3212497,38,"to chew",úsaŋ(a),,,,
3212500,39,"to cook",lótoʔ,,,,
3212501,39,"to cook",ʔándaʔ,,,,
3212502,39,"to cook",lótoʔ,,,,
3212513,40,"to drink",ʔinúm,,,,
3212488,41,"to bite",kagát,,,,
3212625,42,"to suck",süpsüp,,,,
3212516,43,ear,talíŋa,,,,
3212544,44,"to hear",pamatiʔ,,,,
3212522,45,eye,matá,,,,
3212603,46,"to see",=kítaʔ,,,,
3212611,48,"to sleep",túrug,,,,
3212567,49,"to lie down",ʔíŋgaʔ,,,,
3212512,50,"to dream",dámgo,,,,
3212608,51,"to sit",púŋkoʔ,,,,
3212622,52,"to stand",tíndüg,,,,
3212592,53,"person/human being",táʔo,,,,
3212573,54,man/male,laláki,,,,
3212529,55,woman/female,babáʔi,,,,
3212498,56,child,batáʔ,,,,
3212499,56,child,lápsag,,,,
3212575,59,mother,nánay,,,,
3212526,60,father,tátay,,,,
3212551,61,house,baláy,,,,
3212596,62,thatch/roof,atǘp,,,,
3212577,63,name,ʔáran,,,,
3212599,64,"to say",ʔambal,,,,
3212600,64,"to say",sugidanün,,,,
3212597,65,rope,ʔígot,,,,
3212639,66,"to tie up, fasten",ʔígot,,,,
3212546,72,"to hit",súntok,,,,
3212558,74,"to kill",=patáy,,,,
3212509,75,"to die, be dead",na=patáy,,,,
3212569,76,"to live, be alive",buwíʔ,,,,
3212601,77,"to scratch",kálut,,,,
3212507,78,"to cut, hack",ʔótod,,,,
3212642,79,stick/wood,káʔoy,,,,
3212620,80,"to split",büsák,,,,
3212621,80,"to split",wásay,,,,
3212607,81,sharp,tarǘm,,,,
