id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1553,"Inati (Hamtic)","Hsiu, Andrew. 2018. Inati word lists. m.s.",atk,atii1237,,,"Austronesian, Malayo-Polynesian, Greater Central Philippine, Central Philippine, Bisayan, Central, Peripheral","Andrew Hsiu",,
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3212678,1,hand,limá,,,,
3212828,1,hand,pálad,,,,
3212872,2,left,walǽʔ,,,,
3212939,3,right,toʔó,,,,
3212874,4,leg/foot,bitís,,,,
3213058,5,"to walk",lákaw,,,,
3212941,6,road/path,aragyan,,,,
3212748,7,"to come",dógok,,,,
3213050,8,"to turn",likóʔ,,,,
3213023,9,"to swim",langóy,,,,
3212764,10,dirty,higkɨ,,,,
3212774,11,dust,ábo,,,,
3212982,12,skin,pánit,,,,
3212705,13,back,likód,,,,
3212709,14,belly,katówan,,,,
3213014,14,belly,pinisdákan,,,,
3212726,15,bone,tolen,,,,
3212860,16,intestines,tináʔi,,,,
3212879,17,liver,atay,,,,
3212730,18,breast,títi,,,,
3212974,19,shoulder,abága,,,,
3212864,20,"to know, be knowledgeable",maʔǽræm,,,,
3213034,21,"to think",pamínsar,,,,
3212795,22,"to fear",gɨláng,,,,
3212721,23,blood,dugóʔ,,,,
3212832,24,head,olo,,,,
3212904,25,neck,liʔɨg,,,,
3212826,26,hair,bólbol,,,,
3212914,27,nose,órong,,,,
3212915,27,nose,úrong,,,,
3212732,28,"to breathe",ginháwa,,,,
3212995,29,"to sniff, smell",omót,,,,
3212896,30,mouth,bebeʔ,,,,
3213048,31,tooth,ærǽngkæb,,,,
3213046,32,tongue,dilaʔ,,,,
3212868,33,"to laugh",ágil,,,,
3212755,34,"to cry",dáyag,,,,
3213056,35,"to vomit",lóʔæd,,,,
3212999,36,"to spit",dópræʔ,,,,
3212781,37,"to eat",hæmængæn,,,,
3212736,38,"to chew",ósap,,,,
3212751,39,"to cook",daha,,,,
3212769,40,"to drink",omak,,,,
3212717,41,"to bite",kádat,,,,
3213017,42,"to suck",sɨpsɨp,,,,
3213019,42,"to suck",ídɨp,,,,
3212776,43,ear,talíngæ,,,,
3212834,44,"to hear",pamati,,,,
3212785,45,eye,mǽtæ,,,,
3212963,46,"to see",nakítæ,,,,
3213093,47,"to yawn",pangngóyʔab,,,,
3212986,48,"to sleep",kitórod,,,,
3212875,49,"to lie down",iding,,,,
3212767,50,"to dream",démgo,,,,
3212980,51,"to sit",guráng,,,,
3213007,52,"to stand",tinós,,,,
3212927,53,"person/human being",taβo,,,,
3212885,54,man/male,alíwas,,,,
3213085,55,woman/female,binóhat,,,,
3212738,56,child,taʔának,,,,
3212852,57,husband,bæbǽtæ,,,,
3212894,59,mother,nána,,,,
3212794,60,father,mama,,,,
3212845,61,house,báli,,,,
3212846,61,house,sapew,,,,
3212943,62,thatch/roof,ætæp,,,,
3212898,63,name,ngáran,,,,
3212956,64,"to say",hambal,,,,
3212947,65,rope,lóbid,,,,
3213044,66,"to tie up, fasten",higti,,,,
3212965,67,"to sew",tahíʔ,,,,
3212906,68,needle,dagɨ́m,,,,
3212850,69,"to hunt",pangayám,,,,
3212970,70,"to shoot",pamanáʔ,,,,
3213005,71,"to stab, pierce",labuʔín,,,,
3213011,73,"to steal",lupós,,,,
3213012,73,"to steal",panákab,,,,
3212862,74,"to kill",pilós,,,,
3212760,75,"to die, be dead",pilósin,,,,
3212878,76,"to live, be alive",buhíʔ,,,,
3212959,77,"to scratch",pangálot,,,,
3212757,78,"to cut, hack",otden,,,,
3213087,79,stick/wood,káyo,,,,
3213001,80,"to split",biʔalín,,,,
3212967,81,sharp,matærǽm,,,,
3212773,82,"dull, blunt",otden,,,,
3213089,83,"to work",óbra,,,,
3212929,84,"to plant",tanɨ́m,,,,
3212740,85,"to choose",píli,,,,
3212824,86,"to grow",tobo,,,,
3213021,87,"to swell",banɨ́g,,,,
3213003,88,"to squeeze",pɨgáʔin,,,,
3212841,89,"to hold",kaptí,,,,
3212762,90,"to dig",kotkot,,,,
3212734,91,"to buy",bakál,,,,
3212921,92,"to open, uncover",boksán,,,,
3212923,92,"to open, uncover",abríhan,,,,
3212931,93,"to pound, beat",tutuhín,,,,
3213040,94,"to throw",balángin,,,,
3212787,95,"to fall",nadágdag,,,,
3212788,95,"to fall",ginlempes,,,,
3212765,96,dog,áyam,,,,
3212715,97,bird,píspis,,,,
3212783,98,egg,tabon,,,,
3212797,99,feather,bólbol,,,,
3213083,100,wing,pakpák,,,,
3212809,101,"to fly",lupad,,,,
3212935,102,rat,balabew,,,,
3212887,103,meat/flesh,kɨsɨ́g,,,,
3212792,104,fat/grease,tebǽ,,,,
3213025,105,tail,íkog,,,,
3212993,106,snake,manʔɨg,,,,
3213091,107,"worm (earthworm)",lógay,,,,
3212883,108,louse,kosled,,,,
3212892,109,mosquito,yámok,,,,
3212997,110,spider,damáng,,,,
3212803,111,fish,isdáʔ,,,,
3212949,112,rotten,nanimáhoʔ,,,,
3212951,112,rotten,dunód,,,,
3212728,113,branch,sangá,,,,
3212870,114,leaf,dáhon,,,,
3212945,115,root,gamót,,,,
3212807,116,flower,búlak,,,,
3212815,117,fruit,búnga,,,,
3212820,118,grass,hilamón,,,,
3212778,119,earth/soil,lógtaʔ,,,,
3213015,120,stone,báto,,,,
3212954,121,sand,barás,,,,
3213060,122,water,sápaʔ,,,,
3212805,123,"to flow",ílig,,,,
3212961,124,sea,kadagátan,,,,
3212952,125,salt,asín,,,,
3212866,126,lake,alung-asog,,,,
3212813,127,woods/forest,kalásan,,,,
3212984,128,sky,lángit,,,,
3212890,129,moon,búlan,,,,
3213009,130,star,bitoʔon,,,,
3212744,131,cloud,pangánod,,,,
3212811,132,fog,tonʔog,,,,
3212933,133,rain,dáʔit,,,,
3213042,134,thunder,dagɨ́ʔɨb,,,,
3212876,135,lightning,kilat,,,,
3213081,136,wind,hángin,,,,
3212723,137,"to blow",púyup,,,,
3212843,138,warm,maʔínit,,,,
3212746,139,cold,maramíg,,,,
3212771,140,dry,mará,,,,
3213066,141,wet,bæsǽ,,,,
3212836,142,heavy,bugʔát,,,,
3212799,143,fire,himpon,,,,
3212801,144,"to burn",sunóg,,,,
3212991,145,smoke,asóʔ,,,,
3212702,146,ash,ábo,,,,
3212719,147,black,itóm,,,,
3213075,148,white,putíʔ,,,,
3212937,149,red,puláʔ,,,,
3212822,151,green,berdí,,,,
3212988,152,small,maʔisót,,,,
3212990,152,small,magamáy,,,,
3212713,153,big,bíʔas,,,,
3212972,154,short,mabɨgɨʔ,,,,
3212881,155,long,malábɨg,,,,
3213032,156,thin,masiráng,,,,
3213030,157,thick,madámɨl,,,,
3212900,158,narrow,makítid,,,,
3213079,159,wide,mawáyang,,,,
3212978,160,"painful, sick",sakít,,,,
3212976,161,"shy, ashamed",naʔóyæ,,,,
3212917,162,old,tarópot,,,,
3212919,162,old,maropóy,,,,
3212920,162,old,tamálʔam,,,,
3212908,163,new,bédoʔ,,,,
3212817,164,good,maʔayád,,,,
3212818,164,good,mayad,,,,
3212707,165,"bad, evil",maláʔin,,,,
3213051,166,"correct, true",matoʔod,,,,
3213053,166,"correct, true",insákto,,,,
3212910,167,night,kelép,,,,
3212759,168,day,edlew,,,,
3213095,169,year,túʔig,,,,
3213071,170,when?,sanʔó,,,,
3212838,171,"to hide",panágo,,,,
3212742,172,"to climb",sáka,,,,
3212858,174,"in, inside",kísɨlɨd,,,,
3212697,175,above,máwang,,,,
3212711,176,below,dalím,,,,
3213036,177,this,tikǽ,,,,
3213027,178,that,nɨ́dtæ,,,,
3212902,179,near,maʔisɨ́p,,,,
3212790,180,far,mésned,,,,
3213073,181,where?,ará,,,,
3212854,182,I,áko,,,,
3213038,183,thou,ikæ,,,,
3212830,184,he/she,iyǽ,,,,
3213062,185,we,ikám,,,,
3213064,185,we,kítæ,,,,
3213098,186,you,ikím,,,,
3213068,188,what?,íræ,,,,
3213069,188,what?,miya,,,,
3213077,189,who?,sinʔó,,,,
3212925,190,other,sérken,,,,
3212699,191,all,tanád,,,,
3212856,193,if,kud,,,,
3212848,194,how?,paʔáno,,,,
