id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1554,"Inati (Jordan, Guimaras)","Hsiu, Andrew. 2018. Inati word lists. m.s.",atk,atii1237,,,"Austronesian, Malayo-Polynesian, Greater Central Philippine, Central Philippine, Bisayan, Central, Peripheral","Andrew Hsiu",,
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3212679,1,hand,limá,,,,
3212829,1,hand,pálad,,,,
3212873,2,left,walǽʔ,,,,
3212940,3,right,tuʔó,,,,
3213059,5,"to walk",lákaw,,,,
3212942,6,road/path,árædæn,,,,
3212749,7,"to come",dúgok,,,,
3212750,7,"to come",ádi,,,,
3213055,8,"to turn",likoʔ,,,,
3213024,9,"to swim",langóy,,,,
3212775,11,dust,ábo,,,,
3212983,12,skin,pánit,,,,
3212706,13,back,likód,,,,
3212710,14,belly,katúwan,,,,
3212727,15,bone,túlang,,,,
3212861,16,intestines,tináʔi,,,,
3212880,17,liver,atáy,,,,
3212731,18,breast,bægǽn,,,,
3212975,19,shoulder,abága,,,,
3212865,20,"to know, be knowledgeable",namánʔan,,,,
3213035,21,"to think",panɨmdom,,,,
3212796,22,"to fear",gɨláng,,,,
3212722,23,blood,dugóʔ,,,,
3212833,24,head,búkæd,,,,
3212905,25,neck,líʔog,,,,
3212827,26,hair,bólbol,,,,
3212916,27,nose,úrong,,,,
3212733,28,"to breathe",ginháwa,,,,
3212996,29,"to sniff, smell",panimáho,,,,
3212897,30,mouth,bebeʔ,,,,
3213049,31,tooth,ónto,,,,
3213047,32,tongue,dílæʔ,,,,
3212869,33,"to laugh",ágil,,,,
3212756,34,"to cry",dáyag,,,,
3213057,35,"to vomit",lúʔæd,,,,
3213000,36,"to spit",dúpræʔ,,,,
3212782,37,"to eat",hæmǽngæn,,,,
3212737,38,"to chew",úsap,,,,
3212752,39,"to cook",ráha,,,,
3212770,40,"to drink",úmak,,,,
3212718,41,"to bite",kádat,,,,
3213018,42,"to suck",sópsop,,,,
3213020,42,"to suck",idɨp,,,,
3212777,43,ear,talíngæ,,,,
3212835,44,"to hear",památi,,,,
3212786,45,eye,mǽtæ,,,,
3212964,46,"to see",kítæ,,,,
3213094,47,"to yawn",pangngóyʔab,,,,
3212987,48,"to sleep",kitórod,,,,
3212768,50,"to dream",dámgo,,,,
3212981,51,"to sit",guráng,,,,
3213008,52,"to stand",tinós,,,,
3212928,53,"person/human being",otá,,,,
3212886,54,man/male,ámos,,,,
3213086,55,woman/female,binóhat,,,,
3212739,56,child,taʔának,,,,
3212853,57,husband,alíwas,,,,
3212895,59,mother,nána,,,,
3212847,61,house,sápew,,,,
3212944,62,thatch/roof,atǽp,,,,
3212899,63,name,ngáran,,,,
3212957,64,"to say",nagkanǽʔ,,,,
3212958,64,"to say",kínʔan,,,,
3212948,65,rope,lúbid,,,,
3213045,66,"to tie up, fasten",hígtan,,,,
3212966,67,"to sew",tahíʔ,,,,
3212907,68,needle,dágum,,,,
3212851,69,"to hunt",nangayám,,,,
3212971,70,"to shoot",nagtíroʔ,,,,
3213006,71,"to stab, pierce",sáksak,,,,
3212840,72,"to hit",lámba,,,,
3213013,73,"to steal",matákab,,,,
3212863,74,"to kill",nagpíros,,,,
3212761,75,"to die, be dead",píros,,,,
3212960,77,"to scratch",kɨ́mos,,,,
3212758,78,"to cut, hack",otda,,,,
3213088,79,stick/wood,káyu,,,,
3213002,80,"to split",biníʔal,,,,
3212968,81,sharp,matarám,,,,
3212969,81,sharp,mataráwis,,,,
3213090,83,"to work",úbra,,,,
3212930,84,"to plant",magtanúm,,,,
3212741,85,"to choose",píli,,,,
3212825,86,"to grow",túbo,,,,
3213022,87,"to swell",namara,,,,
3213004,88,"to squeeze",písgaʔa,,,,
3212842,89,"to hold",kaptan,,,,
3212763,90,"to dig",magbúho,,,,
3212735,91,"to buy",pamakál,,,,
3212922,92,"to open, uncover",boksí,,,,
3212924,92,"to open, uncover",magábri,,,,
3212932,93,"to pound, beat",bayyú,,,,
3213041,94,"to throw",balánga,,,,
3212789,95,"to fall",naʔúlog,,,,
3212766,96,dog,áyam,,,,
3212716,97,bird,píspis,,,,
3212784,98,egg,tábon,,,,
3212798,99,feather,bólbol,,,,
3213084,100,wing,pákpak,,,,
3212810,101,"to fly",lupǽd,,,,
3212936,102,rat,balabew,,,,
3212888,103,meat/flesh,kárni,,,,
3212889,103,meat/flesh,únud,,,,
3212793,104,fat/grease,tebǽ,,,,
3213026,105,tail,tubáng,,,,
3212994,106,snake,mánʔɨg,,,,
3213092,107,"worm (earthworm)",lalágo,,,,
3212884,108,louse,kútu,,,,
3212893,109,mosquito,lámok,,,,
3212998,110,spider,damáng,,,,
3212804,111,fish,ísdaʔ,,,,
3212950,112,rotten,nangilámʔos,,,,
3212729,113,branch,sangá,,,,
3212871,114,leaf,dáhon,,,,
3212946,115,root,gamót,,,,
3212808,116,flower,búlak,,,,
3212816,117,fruit,búngæ,,,,
3212821,118,grass,ságbot,,,,
3212779,119,earth/soil,lúgtaʔ,,,,
3212780,119,earth/soil,dúgtæʔ,,,,
3213016,120,stone,báto,,,,
3212955,121,sand,yabʔok,,,,
3213061,122,water,sápaʔ,,,,
3212806,123,"to flow",dalúdʔdo,,,,
3212962,124,sea,lawód,,,,
3212953,125,salt,mapaʔít,,,,
3212867,126,lake,sapáʔ,,,,
3212814,127,woods/forest,kalásan,,,,
3212985,128,sky,lángit,,,,
