id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1559,"Jiamao (Lingshui)","Huang (2011)",jio,jiam1236,"Huang, Quan 黄权. 2011. Chinese-Hlai dictionary (Sai dialect) [汉黎字典(赛方言)]. Kunming: Yunnan People's Press 云南民族出版社.This is the previously undocumented Jiamao dialect of Lingshui County, rather than the previously documented Jiamao dialect of Jiamao Township, Baoting County in Hainan.Note that there are many nominal prefixes such as kɯ³³.",,"Tai-Kadai, Hlaic, Jiamao","Andrew Hsiu","Andrew Hsiu",
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3214045,1,hand,"kɯ33 ma51",,,,
3214046,2,left,"ʔai31 həːi11",,,,
3214047,3,right,"ʔai31 pok22",,,,
3214048,4,leg/foot,hɔːk31,,,,
3214049,5,"to walk",pai51,,,,
3214050,6,road/path,"kɯ33 tin51",,,,
3214051,7,"to come",məŋ11,,,,
3214052,8,"to turn",tsaːm11,,,,
3214053,9,"to swim",pɔi33,,,,
3214054,10,dirty,tsʰiak55,,,,
3214055,11,dust,"kɯ33 poŋ33",,,,
3214056,12,skin,na51,,,,
3214057,14,belly,lɯi33,,,,
3214058,15,bone,liək22,,,,
3214059,17,liver,ŋəːn51,,,,
3214060,18,breast,nen33,,,,
3214061,20,"to know, be knowledgeable","həːm31 tei11",,,,
3214062,21,"to think",tsʰɔːn33,,,,
3214063,22,"to fear",ʔɔːi51,,,,
3214064,23,blood,tʰəːt22,,,,
3214065,24,head,"kɯ33 kiːu51",,,,
3214066,25,neck,"kɯ33 tsaːŋ31",,,,
3214067,26,hair,hɔːŋ33,,,,
3214068,27,nose,"kɯ33 hɔːt31",,,,
3214069,29,"to sniff, smell",hɔːi33,,,,
3214070,30,mouth,"kɯ33 muəŋ11",,,,
3214071,31,tooth,tsʰaŋ51,,,,
3214072,32,tongue,tʰiːn33,,,,
3214073,33,"to laugh",tsu33,,,,
3214074,34,"to cry",ŋaːi51,,,,
3214075,35,"to vomit",ʔɔŋ51,,,,
3214076,37,"to eat",tei33,,,,
3214077,38,"to chew",tsʰɯa33,,,,
3214078,39,"to cook",tsʰaːu51,,,,
