id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
157,Itbayaten,"Lawrence A. Reid",ivv,ivat1242,,,"Austronesian, Malayo-Polynesian, Philippine, Bashiic, Ivatan","Debasish Roy","Simon Greenhill","@book{136553,  address               = {[Honolulu]},  note                  = {Bibliography: p. [241]},  pages                 = {xii+239},  publisher             = {Univ. of Hawaii Press},  series                = {Oceanic linguistics special publication},  title                 = {Philippine minor languages: word lists and phonologies},  volume                = {8},  year                  = {1971},  bibtexkey             = {reid_minor-phonologies1971},  class_loc             = {PL5525},  document_type         = {B},  fn                    = {papua\reid_philippine-minor1971.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  internetarchive_id    = {rosettaproject_syb_phon-1},  isbn                  = {9780870226915},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 5525 PHI 1971},  src                   = {hh, mpieva, wals},  srctrickle            = {hh#hvw:Reid:Philippine-Minor, mpieva#1971Philippi, wals#4987},  subject_headings      = {Philippine languages–Glossaries, vocabularies, etc., Philippine languages–Phonology, Philippine languages–Glossaries, vocabularies, etc. – Philippine languages–Phonology},  author                = {Reid, Lawrence Andrew},  editor                = {Reid, Lawrence Andrew}}"
latitude,longitude
20.75097714407783300317,121.83837890625000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
157,1,hand,limaʔ,"loss of *qa- prefix",,"1,64",1
514,2,left,guriʔ,,,26,
871,3,right,wanan,,,1,1
1228,4,leg/foot,ʔayiʔ,,,1,1?
1585,5,"to walk",humayam,,,,
1942,6,road/path,raraxan,,,"1,54",1
2299,7,"to come",ayan,,,1,
2656,8,"to turn",masugɨd,,,71,
3013,9,"to swim",miawat,,,21,
3370,10,dirty,"marulit a riday","PMP (Reid) *rujit \"dirty\"",,27,
71912,11,dust,ʔaǥbɨk,,,"1,49",1?
71913,11,dust,kuǥbɨk,,,"1,49",1?
4084,12,skin,kulit,,,1,1
4441,13,back,licud,,,1,1
4798,14,belly,vulɨk,,,27,
5155,15,bone,tuʔǥaŋ,,,1,1
5512,16,intestines,tinayiʔ,,,1,1
5869,17,liver,ʔatay,,,1,1
6226,18,breast,rahdah,,,18,
6583,19,shoulder,psagatan,,,20,
6940,20,"to know, be knowledgeable",icha'panmu,,,25,
7297,21,"to think",maŋ-tuktu,,,25,
7654,22,"to fear",mahaʔmuʔ,,,37,
8011,23,blood,rayaʔ,,,1,1
8368,24,head,ʔuǥuʔ,,,1,1
8725,25,neck,ragaw,,,36,
9082,26,hair,vuhuk,,,"1,65",1
9439,27,nose,muhdan,,,19,
9796,28,"to breathe",hinawa,,,1,
10153,29,"to sniff, smell",haŋutɨn,*Saŋut-en,,"4, 22",
10510,30,mouth,vivih,,,32,
10867,31,tooth,ñipɨn,,,1,1
11224,32,tongue,rilaʔ,,,4,1
11581,33,"to laugh",humñit,,,34,
11938,34,"to cry",tumañis,,,1,1
132073,35,"to vomit",ʔumʔutaʔ,,,1,1
132074,35,"to vomit",ʔumutaʔ,,,1,1
12652,36,"to spit",mittiipah,,,15,
13009,37,"to eat",kuman,,,"1,14",1
13366,38,"to chew",ŋetŋet,,,,
13723,39,"to cook",manuʔtuŋ,,,"22,41",
14080,40,"to drink",ʔuminum,,,1,1
14437,41,"to bite",suñitɨn,,,19,
14794,42,"to suck",sɨpsɨpɨn,,,1,1
15151,43,ear,tilwan,,,20,
15508,44,"to hear",manʔadŋɨy,,,1,1
15865,45,eye,mataʔ,,,1,1
16222,46,"to see",tiiban,,,41,
16579,47,"to yawn",ahwab,,,19,
16936,48,"to sleep",makahicɨǥ,,,21,
17293,49,"to lie down",akxeb,,,,
17650,50,"to dream",taynɨp,,,30,
18007,51,"to sit",matnɨk,,,32,
18364,52,"to stand",mittaʔnɨk,,,21,
18721,53,"person/human being",tawuʔ,,,1,1
19078,54,man/male,maǥakay,,,"2,24",1?
19435,55,woman/female,mavakɨs,,,16,
19792,56,child,ʔanak,,,1,1
20149,57,husband,"maysa maǥakay",,,30,
20506,58,wife,"maysa mavakɨs",,,21,
20863,59,mother,ʔinaʔ,,,"1,76",1
21220,60,father,ʔamaʔ,,,"1,18",1
21577,61,house,vaǥay,,,14,
21934,62,thatch/roof,ʔatɨp,,,1,1
22291,63,name,ŋaran,,,1,1
22648,64,"to say",vatahɨn,,,40,
23005,65,rope,pnuspus,,,88,
75011,66,"to tie up, fasten",ʔicɨdkɨd,,,27,
75012,66,"to tie up, fasten",ʔiʔwar,,,107,
23719,67,"to sew",manʔaǥnɨb,,,35,
24076,68,needle,rayɨm,,,"1,34",1
24433,69,"to hunt",maŋǥaaǥap,,,,
75252,70,"to shoot",paltog,,,,
75253,70,"to shoot",pana,,,1,
25147,71,"to stab, pierce",vunuɨn,,,26,
25504,72,"to hit",bogbog,,,,
25861,73,"to steal",manakaw,,,1,1
26218,74,"to kill",manlipɨt,,,23,
26575,75,"to die, be dead",naliman,,,14,
26932,76,"to live, be alive",ma-vihay,,,15,
27289,77,"to scratch",karamuhɨn,,,34,
75729,78,"to cut, hack",tabtab-an,,,,1
75730,78,"to cut, hack",taga-en,,,1,1
28003,79,stick/wood,kayuh,,,1,1
92359,80,"to split",vaka-en,,,,1
92360,80,"to split",man-'aslah,,,,
28717,81,sharp,matarɨm,,,1,1
29074,82,"dull, blunt",maŋarɨǥ,,,26,
29431,83,"to work",miparipariñ,,,,
29788,84,"to plant",mimuǥaʔ,,,1,1
30145,85,"to choose",mamiliʔ,,,1,1
30502,86,"to grow",t-um-uvu,,,1,1
30859,87,"to swell",bookol,,,,
76374,88,"to squeeze",yamɨsɨn,,,44,1?
76375,88,"to squeeze",yamsɨn,,,44,1?
31573,89,"to hold",kɨmkɨmɨn,,,"1,45",1
31930,90,"to dig",micaliʔ,,,1,1
32287,91,"to buy",manaliw,,,20,
32644,92,"to open, uncover",vokxad,,,,
33001,93,"to pound, beat",maŋsad,,,7,
76762,94,"to throw",paptadɨn,,,22,
76763,94,"to throw",manʔaptad,,,22,
33715,95,"to fall",maʔnas,,,30,
34072,96,dog,tituʔ,,,49,
34429,97,bird,kaŋkaŋ,,,19,
34786,98,egg,ʔittiiyuy,,,1,1
35143,99,feather,vuǥbuǥ,,,"1,68",
35500,100,wing,panid,,,2,1
