id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1570,Moklen,"Swastham (1982)",mkm,mokl1243,"Pensiri Swastham. 1982. A description of Moklen: a Malayo-Polynesian language in Thailand. (MA thesis, Mahidol University; 285pp.)",,"Austronesian, Malayo-Polynesian, Moklen","Andrew Hsiu","Andrew Hsiu",
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3215734,1,hand,ŋɐn,,,,
3215735,2,left,kaːləi,,,,
3215736,4,leg/foot,kɐːkɐi,,,,
3215737,6,road/path,jɐːlɐːn,,,,
3215738,7,"to come",din,,,,
3215739,8,"to turn",məniŋ,,,,
3215740,9,"to swim",nɐːŋɔːi,,,,
3215741,12,skin,buːlɐŋ,,,,
3215742,13,back,laːkɔt,,,,
3215743,14,belly,lɐːkaːʔ,,,,
3215744,15,bone,klɐːn,,,,
3215745,18,breast,tuːcʰəi,,,,
3215746,19,shoulder,bəhəi,,,,
3215747,20,"to know, be knowledgeable",dɐn,,,,
3215748,22,"to fear",nɐːkɔt,,,,
3215749,23,blood,dɐːlɐːk,,,,
3215750,24,head,ʔɔːtɐk,,,,
3215751,25,neck,lɐkɔːŋ,,,,
3215752,26,hair,buːləi,,,,
3215753,27,nose,juːŋ,,,,
3215754,29,"to sniff, smell",cum,,,,
3215755,31,tooth,laːpɐn,,,,
3215756,32,tongue,klaːʔ,,,,
3215757,34,"to cry",mɐːŋɐi,,,,
3215758,35,"to vomit",təːtɐːk,,,,
3215759,37,"to eat",ɲɐm,,,,
3215760,37,"to eat",nəpuːt,,,,
3215761,38,"to chew",nəpɐːk,,,,
3215762,39,"to cook",dɔːt,,,,
3215763,40,"to drink",məʔɐm,,,,
3215764,42,"to suck",mɐm,"to suck milk",,,
3215765,42,"to suck",nɔːjɔːt,,,,
3215766,44,"to hear",niːʔiəŋ,,,,
3215767,46,"to see",pənɐːʔ,,,,
3215768,46,"to see",naːŋɔːʔ,,,,
3215769,47,"to yawn",kwɐːp,,,,
3215770,49,"to lie down",ʔiduːn,,,,
3215771,51,"to sit",dɔːk,,,,
3215772,52,"to stand",naːnɐn,,,,
3215773,53,"person/human being",ʔɔːlɐːn,,,,
3215774,55,woman/female,biːnɐi,,,,
3215775,56,child,cɐːnɐːt,,,,
3215776,57,husband,klɐk,,,,
3215777,58,wife,bəlɐw,,,,
3215778,59,mother,ʔanɔŋ,,,,
3215779,60,father,ʔɐpɔŋ,,,,
3215780,64,"to say",klɐːw,,,,
3215781,64,"to say",jɐːi,,,,
3215782,67,"to sew",məɲiəŋ,,,,
3215783,68,needle,jɐːlum,,,,
3215784,70,"to shoot",ɲiŋ,,,,
3215785,71,"to stab, pierce",naːkɐm,,,,
3215786,72,"to hit",tɔːi,,,,
3215787,73,"to steal",nəlɐt,,,,
3215788,75,"to die, be dead",mɐːtɐi,,,,
3215789,76,"to live, be alive",lɔːt,alive,,,
3215790,77,"to scratch",nɐːluːt,,,,
3215791,78,"to cut, hack",mətat,,,,
3215792,78,"to cut, hack",naːpɔŋ,,,,
3215793,78,"to cut, hack",lɔːkɐːʔ,,,,
3215794,79,stick/wood,kɐʔaːw,wood,,,
3215795,81,sharp,tɐːjɐm,,,,
3215796,85,"to choose",miːliːək,,,,
3215797,87,"to swell",pʰɔːŋ,,,,
3215798,88,"to squeeze",kʰɐɲɐm,,,,
3215799,91,"to buy",mələi,,,,
3215800,92,"to open, uncover",mɔːkɐːʔ,,,,
3215801,94,"to throw",guːwɐːŋ,,,,
3215802,95,"to fall",təpʰlɐt,,,,
3215803,96,dog,ʔəi,,,,
3215804,97,bird,tiːcum,,,,
3215805,98,egg,kəluːn,,,,
3215806,101,"to fly",nɐːɲɐːk,,,,
3215807,102,rat,tikuː,,,,
3215808,104,fat/grease,məɲɐːt,oil,,,
3215809,105,tail,ʔikuːn,,,,
3215810,106,snake,ʔɔːlɐːn,,,,
3215811,107,"worm (earthworm)",gɐːciː,worm,,,
3215812,107,"worm (earthworm)",guːpaːʔ,earthworm,,,
3215813,108,louse,gutəi,,,,
3215814,109,mosquito,nɐːlɐːŋ,,,,
3215815,110,spider,gɐːtɔn,,,,
3215816,111,fish,ʔaːkɐːn,,,,
3215817,113,branch,jɐːkɐːn,,,,
3215818,114,leaf,dəʔɔn,,,,
3215819,116,flower,buːŋɐːʔ,,,,
3215820,117,fruit,buːwɐːk,,,,
3215821,118,grass,lɔːpɔt,,,,
3215822,119,earth/soil,kənɐi,,,,
3215823,120,stone,bɐːtəi,,,,
3215824,122,water,ʔuʔeːn,,,,
3215825,124,sea,tɐʔɐw,,,,
3215826,125,salt,cʰaːlɐːʔ,,,,
3215827,127,woods/forest,kɔːtɐːn,,,,
3215828,128,sky,lɐːŋet,,,,
3215829,129,moon,buːlɐːn,,,,
3215830,130,star,bituək,,,,
3215831,131,cloud,"kɐdaːt lɐːŋet",,,,
3215832,133,rain,kɔːjɐːn,,,,
3215833,136,wind,ʔɐːŋin,,,,
3215834,138,warm,kɔːlɐːt,hot,,,
3215835,139,cold,cəŋaːm,,,,
3215836,140,dry,kəjɐw,,,,
3215837,140,dry,cʰɐlɔːi,,,,
3215838,141,wet,pʰɐːk,"< Thai?",,,
3215839,142,heavy,bɐʔɐːt,,,,
3215840,143,fire,ʔɐːpuːi,,,,
