id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1572,Nihali,"Nagaraja (2014)",nll,niha1238,"K. S. Nagaraja. 2014. The Nihali Language (Grammar, Texts, Vocabulary). Mysore: Central Institute of Indian Languages. xii+332pp.",,Nihali,"Andrew Hsiu","Andrew Hsiu",
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3215893,1,hand,bakko,,,,
3215894,2,left,dakhriya,"left hand",,,
3215895,4,leg/foot,khuri,"< Korku",,,
3215896,5,"to walk",koca-be,,,,
3215897,6,road/path,ḍãːy,,,,
3215898,6,road/path,ḍa(ː)y,,,,
3215899,7,"to come",paːṭo,,,,
3215900,7,"to come",pya,,,,
3215901,8,"to turn",ḍhere,,,,
3215902,9,"to swim",weːr-,,,,
3215903,9,"to swim",ueːr-,,,,
3215904,10,dirty,moːngo,,,,
3215905,11,dust,ḍ/dhulla,"< Hindi?",,,
3215906,12,skin,ṭoːl,,,,
3215907,14,belly,bhaːwri,,,,
3215908,15,bone,paːkṭo,,,,
3215909,16,intestines,koṭor,,,,
3215910,17,liver,gadri,,,,
3215911,18,breast,buːcu,"< Korku",,,
3215912,19,shoulder,ṭ/tagli,,,,
3215913,20,"to know, be knowledgeable",jaːn-,"< Hindi",,,
3215914,21,"to think",socatini-be,"< Hindi",,,
3215915,22,"to fear",caːwak-,"< IA?",,,
3215916,23,blood,corṭo,,,,
3215917,24,head,pe(ː)ñ,,,,
3215918,25,neck,gardan,"< Hindi",,,
3215919,26,hair,kuguso,,,,
3215920,27,nose,coːn,,,,
3215921,30,mouth,kaggo,,,,
3215922,31,tooth,menge,,,,
3215923,32,tongue,laːñ,"< Korku",,,
3215924,33,"to laugh",haːgo-be,,,,
3215925,34,"to cry",aːpa-be,,,,
3215926,35,"to vomit",ajini,,,,
3215927,36,"to spit",thuki-be,"< Hindi",,,
3215928,37,"to eat",ṭ/tyeː-be,,,,
3215929,38,"to chew",caphaːt-be,,,,
3215930,39,"to cook",kela-be,,,,
3215931,40,"to drink",ḍelen-be,,,,
3215932,41,"to bite",haru-be,,,,
3215933,43,ear,cigam,,,,
3215934,44,"to hear",cakni,,,,
3215935,45,eye,jikit,,,,
3215936,46,"to see",ara-be,,,,
3215937,47,"to yawn",angub-be,"< Korku",,,
3215938,48,"to sleep",kappo-be,,,,
3215939,50,"to dream",siwna,"< Hindi?",,,
3215940,51,"to sit",peṭe-be,,,,
3215941,52,"to stand",cippo-be,,,,
3215942,55,woman/female,koːl,,,,
3215943,56,child,nana-ṭa,sons,,,
3215944,57,husband,aːṭo,,,,
3215945,57,husband,aːṭho,,,,
3215946,58,wife,koːl,,,,
3215947,59,mother,maːy,"< Korku?",,,
3215948,60,father,baː,"< IA",,,
3215949,60,father,aːba,,,,
3215950,61,house,aːwaːr,,,,
3215951,62,thatch/roof,padre,,,,
3215952,63,name,jumu,,,,
3215953,63,name,jyumu,,,,
3215954,64,"to say",kaːyni-be,"to say",,,
3215955,65,rope,"laːḍen do(ː)ra","< Hindi",,,
3215956,66,"to tie up, fasten",bokki-be,,,,
3215957,67,"to sew",sim-be,,,,
3215958,68,needle,sũːy,"< Hindi",,,
3215959,69,"to hunt",sikaːr-,"< Hindi",,,
3215960,70,"to shoot",cagi-be,,,,
3215961,71,"to stab, pierce",sobo-be,"< Korku",,,
3215962,72,"to hit",ceːnḍa,,,,
3215963,73,"to steal",kasto-be,,,,
3215964,74,"to kill",paḍa-be,,,,
3215965,75,"to die, be dead",betto-be,,,,
3215966,75,"to die, be dead",beṭṭo-be,,,,
3215967,76,"to live, be alive",ungaːy-be,,,,
3215968,76,"to live, be alive",hungaːy-be,,,,
3215969,77,"to scratch",badaːr,,,,
3215970,78,"to cut, hack",beri-be,,,,
3215971,79,stick/wood,beːdo,,,,
3215972,81,sharp,bhum,,,,
3215973,82,"dull, blunt",benitto,"< be?henitto",,,
3215974,82,"dull, blunt",beniṭṭo,,,,
3215975,83,"to work",hi-ka(ː)m,,,,
3215976,84,"to plant",khor,"plant (e.g. banana)",,,
3215977,87,"to swell",phulaṭine,,,,
3215978,88,"to squeeze",peṭṭo-be,,,,
3215979,89,"to hold",jhel-be,,,,
3215980,90,"to dig",acci-be,,,,
3215981,91,"to buy",jaːm-be,,,,
3215982,92,"to open, uncover",sakit,,,,
3215983,92,"to open, uncover",ugaːr-be,,,,
3215984,93,"to pound, beat",koṭṭo-be,,,,
3215985,93,"to pound, beat",daːr-be,,,,
3215986,94,"to throw",taːr-be,,,,
3215987,95,"to fall",paːnḍi-be,,,,
3215988,96,dog,naːy,"< Dr.",,,
3215989,97,bird,poe,,,,
3215990,97,bird,pyu,,,,
3215991,98,egg,kalen,,,,
3215992,99,feather,caːpa,,,,
3215993,99,feather,caːpha,,,,
3215994,100,wing,paːkha,"< Hindi",,,
3215995,101,"to fly",aphir-,"< Korku",,,
3215996,102,rat,caːco,"rat-type animal",,,
3215997,103,meat/flesh,kaːw,,,,
3215998,104,fat/grease,teːm,,,,
3215999,105,tail,paːgo,,,,
3216000,106,snake,koːgo,,,,
3216001,107,"worm (earthworm)",bhardhwa(ː)n,,,,
3216002,107,"worm (earthworm)",jilnguyj,,,,
3216003,107,"worm (earthworm)",jingluyt,,,,
3216004,108,louse,keːpe,,,,
3216005,109,mosquito,kaːn,,,,
3216006,110,spider,"jagli malaːy",,,,
3216007,111,fish,caːn,,,,
3216008,112,rotten,saratin,"to rot",,,
3216009,113,branch,senḍa,,,,
3216010,114,leaf,paːla,"< Korku",,,
3216011,115,root,jaːḍi,"< Hindi",,,
3216012,116,flower,phuːl,"< Hindi",,,
3216013,118,grass,boːy,"< Korku",,,
3216014,119,earth/soil,sikal,"< Korku",,,
3216015,120,stone,caːgo,,,,
3216016,120,stone,caːrgo,,,,
3216017,121,sand,biṭil,"< Korku",,,
3216018,122,water,joppo,,,,
3216019,123,"to flow",hinal,,,,
3216020,125,salt,coːpo,,,,
3216021,126,lake,dharaːn,"< Hindi",,,
3216022,127,woods/forest,ḍongor,"< Hindi",,,
3216023,128,sky,aːgaso,"< IA",,,
3216024,129,moon,thenḍej,"< Korku",,,
3216025,130,star,piphinjor,"< Korku",,,
3216026,131,cloud,badra,"< Hindi?",,,
3216027,132,fog,dhũãr,"< Hindi",,,
3216028,133,rain,maːnḍo,,,,
3216029,134,thunder,calomka,,,,
3216030,137,"to blow",bigi-be,,,,
3216031,137,"to blow",bhigi-be,,,,
3216032,139,cold,him(ka),,,,
3216033,140,dry,pataːri,,,,
3216034,141,wet,olaːy,,,,
3216035,142,heavy,jacom,,,,
3216036,142,heavy,jacyom,,,,
3216037,144,"to burn",laːw-be,,,,
3216038,145,smoke,duy,"< IA",,,
3216039,146,ash,neːto,,,,
3216040,146,ash,nieṭo,,,,
3216041,147,black,popor,,,,
3216042,148,white,paːnḍer,"< Hindi",,,
3216043,149,red,raːṭa,"< Korku",,,
3216044,151,green,niːla,"< Hindi",,,
3216045,152,small,jiːsa,"very little",,,
3216046,153,big,bhakka,,,,
3216047,155,long,bhagel,,,,
3216048,156,thin,basel,small,,,
3216049,157,thick,addo,,,,
3216050,160,"painful, sick",eden-,"to pain",,,
3216051,160,"painful, sick",eḍen-,"to ache",,,
3216052,162,old,paːtha,,,,
3216053,162,old,paːṭha,,,,
3216054,163,new,nawa,"< Hindi",,,
3216055,164,good,ayin,,,,
3216056,164,good,puːr,,,,
3216057,164,good,puar,,,,
3216058,165,"bad, evil",gidaːr-niːc-manso,"very bad person",,,
3216059,167,night,cirya,"2nd word: evening",,,
3216060,167,night,minḍi,,,,
3216061,168,day,diya,"< IA",,,
3216062,169,year,saːl,"< Hindi",,,
3216063,170,when?,miran,,,,
3216064,171,"to hide","peyku jere(y)",,,,
3216065,172,"to climb",caːko-be,,,,
3216066,172,"to climb",caki-be,,,,
3216067,175,above,buːndi,,,,
3216068,176,below,aːhi,,,,
3216069,177,this,haːn,,,,
3216070,177,this,here(y),,,,
3216071,178,that,iṭi,,,,
3216072,178,that,hiki,,,,
3216073,178,that,hotaw,,,,
3216074,179,near,mera,"< Korku",,,
3216075,180,far,dhaːwa,,,,
3216076,181,where?,min,,,,
3216077,181,where?,minga,,,,
3216078,182,I,jo,,,,
3216079,183,thou,ne,,,,
3216080,184,he/she,eṭe(y),he,,,
3216081,185,we,ingin,,,,
3216082,186,you,laː,,,,
3216083,187,they,eṭla,,,,
3216084,188,what?,naːn,,,,
3216085,189,who?,nani,,,,
3216086,191,all,he(ː)la,,,,
3216087,192,and,ḍo,"< Korku",,,
3216088,194,how?,nu,,,,
3216089,194,how?,nawki,,,,
3216090,194,how?,nusaːn,,,,
3216091,195,"no, not",beṭhe,,,,
3216092,197,One,biḍi,"< Dr?",,,
3216093,197,One,baḍa,,,,
3216094,198,Two,iraːr,"< Dr",,,
3216095,199,Three,moːṭho,"< Dr",,,
3216096,200,Four,naːlk(h)o,"< Dr",,,
3216097,201,Five,pãːsõ,,,,
3216098,202,Six,saha,"< Hindi/Marathi",,,
3216099,203,Seven,saːto,"< Hindi",,,
3216100,204,Eight,aːṭho,"< Hindi",,,
3216101,205,Nine,naw,"< Hindi",,,
3216102,206,Ten,ḍ/deccho,"< Hindi",,,
