id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1577,"Keapara (Kalo Dialect)","Kiniravu Karomanu",khz,kalo1259,"I wrote the words down in their most accurate pronounciation form.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Peripheral, Central Papuan, Sinagoro-Keapara","Kini Karo",,
latitude,longitude
-10.04670000000000000000,147.79020000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3217666,1,hand,gima,,,,
3217667,2,left,qauli,kauli,,,
3217668,3,right,ripa,,,,
3217669,4,leg/foot,ʁage,gage,,,
3217670,5,"to walk",laqa,laka,,,
3217671,6,road/path,raupara,,,,
3217672,7,"to come",voʁomai,vogomai,,,
3217673,8,"to turn",make,,,,
3217674,9,"to swim",navu,,,,
3217675,10,dirty,milo,,,,
3217676,11,dust,kakavu,,,,
3217677,12,skin,qopi,kopi,,,
3217679,13,back,roge,"lower back including hips, although there is another word sprcifically for hips, which is \"kepo\".",,,
3217678,13,back,kini,"general/overal back",,,
3217680,14,belly,tsinage,tinage,,,
3217681,15,bone,tsiliga,tiliga,,,
3217682,16,intestines,tsinage-walowalora,(stomach/belly-rope),,,
3217683,18,breast,lata,,,,
3217684,19,shoulder,paʁa,paga,,,
3217685,20,"to know, be knowledgeable",ripa,,,,
3217686,21,"to think",tugamagi,,,,
3217687,22,"to fear",kali,,,,
3217688,23,blood,rala,,,,
3217689,24,head,repa,,,,
3217690,25,neck,ʁaʁo,gago,,,
3217691,26,hair,gui,,,,
3217692,27,nose,iru,,,,
3217693,28,"to breathe",aʁarage,agarage,,,
3217694,29,"to sniff, smell",ponanaa,,,,
3217695,30,mouth,poka,,,,
3217696,31,tooth,ruga,,,,
3217697,32,tongue,mae,,,,
3217698,33,"to laugh",mamai,,,,
3217699,34,"to cry",tagi,,,,
3217700,35,"to vomit",vuaʁa,vuaga,,,
3217701,36,"to spit",qainiu,kainiu,,,
3217702,38,"to chew",tamutamu,,,,
3217703,39,"to cook",nanua,"from the noun \"nanu\"",,,
3217704,40,"to drink",niua,noun="niu",,,
3217705,41,"to bite",qolia,noun="qoli",,,
3217706,42,"to suck",romaa,noun="roma",,,
3217707,43,ear,teʁa,tega,,,
3217708,44,"to hear",qamonagi,kamonagi,,,
3217709,45,eye,mata,,,,
