id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1582,"Sungwadia (Uta)","Iveth Rodriguez and Tom Ennever",mrb,mari1426,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu",,"Mary Walworth","@misc{RodriguezEnnever2018,  author = \"Iveth Rodriguez and Tom Ennever\",  date = \"2018\",  howpublished = \"personal communication\"}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3218626,1,hand,limai,,,,
3218627,2,left,xalawa,,,,
3218628,3,right,matoa,,,,
3218629,4,leg/foot,roŋoi,,,,
3218630,5,"to walk",rasu,,,,
3218631,6,road/path,salaβaβae,,,,
3218632,7,"to come",sumaɪ,,,,
3218633,8,"to turn",sorisiə,,,,
3218634,9,"to swim",xaxaru,,,,
3218635,10,dirty,oro,,,,
3218636,11,dust,takwasuasu,,,,
3218637,12,skin,ɸineᵐbeɣi,,,,
3218638,13,back,tawuɪ,,,,
3218639,14,belly,takʷaŋi,,,,
3218640,15,bone,suri,,,,
3218641,16,intestines,tinei,,,,
3218642,17,liver,farai,,,,
3218643,18,breast,susu,,,1,
3218644,19,shoulder,tikʷaŋi,,,,
3218645,20,"to know, be knowledgeable",xiɣilea,,,,
3218646,21,"to think",ⁿdoⁿdomana,,,,
3218647,22,"to fear",ruwaɣa,,,,
3218648,23,blood,ⁿdai,,,,
3218649,24,head,kʷatui,,,,
3218650,25,neck,ⁿdaloi,,,,
3218651,26,hair,ului,,,,
3218652,27,nose,lisui,,,,
3218653,28,"to breathe",maᵐbusaɣɪ,,,,
3218654,29,"to sniff, smell",reβlisuɣi,,,,
3218655,30,mouth,ɸalai,,,,
3218656,31,tooth,liwoi,,,,
3218657,32,tongue,luemei,,,,
3218658,33,"to laugh",mana,,,,
3218659,34,"to cry",ŋara,,,,
3218660,35,"to vomit",lulua,,,,
3218661,36,"to spit",wura,,,,
3218662,37,"to eat",xani,,,,
3218663,38,"to chew",ŋau,,,,
3218664,39,"to cook",tutunu,rus',,,
3218665,39,"to cook",nasu,"inside bambu",,,
3218666,39,"to cook",tawi,"bake in stone",,,
3218667,40,"to drink",ima,,,,
3218668,41,"to bite","ŋorot ᵐbitua",,,,
3218669,42,"to suck",reβe,,,,
3218670,43,ear,ᵐboroi,,,,
3218671,44,"to hear",roŋo,,,,
3218672,44,"to hear",tekʷoroɣi,,,,
3218673,45,eye,matai,,,,
3218674,46,"to see",ete,,,,
3218675,47,"to yawn",tarŋaβa,,,,
3218676,48,"to sleep",maturu,,,1,
3218677,49,"to lie down",eβa,,,,
3218678,50,"to dream",ᵐbʷore,,,,
3218679,51,"to sit",toɣosuɣo,,,,
3218680,52,"to stand",turβatura,,,,
3218681,53,"person/human being",tatua,,,,
3218682,54,man/male,tatua,,,,
3218683,55,woman/female,taiŋʷa,,,,
3218684,56,child,"mʷermʷera rɪriki̥",,,,
3218685,57,husband,tuᵐbu-ku,,,,
3218686,58,wife,"nok taiŋʷa","ancient word according to speaker",,,
3218687,58,wife,ratᵐbuku,"new word according to speaker",,,
3218688,59,mother,ɸeɸe,,,,
3218689,60,father,tata,,,,
3218690,61,house,ɸale,,,,
3218691,62,thatch/roof,raŋraŋβale,,,,
3218692,62,thatch/roof,ⁿdau,"leaf blo ruf",,,
3218693,62,thatch/roof,saŋaɸa,"wood  blo ruf",,,
3218694,62,thatch/roof,rase,"bambu blo ruf",,,
3218695,63,name,sasai,,,,
3218696,64,"to say",ɸeti,,,,
3218697,65,rope,xae,,,,
3218698,66,"to tie up, fasten",liɣo,,,,
3218699,66,"to tie up, fasten",liβitia,,,,
3218700,67,"to sew",wonoa,,,,
3218701,67,"to sew",tuɣuru,"somap lif",,,
3218702,68,needle,..,,,,
3218703,69,"to hunt",sarsarukʷoɪ,,,,
3218704,70,"to shoot",ɸene,,,,
3218705,71,"to stab, pierce",susuɣa,,,,
3218706,72,"to hit",kʷisia,,,,
3218707,73,"to steal",ᵐbalua,,,,
3218708,74,"to kill","kʷisiβat matea",,,,
3218709,75,"to die, be dead",mate,,,,
3218710,76,"to live, be alive",awe,,,,
3218711,77,"to scratch",takara,,,,
3218712,78,"to cut, hack",taiʲa,,,,
3218713,79,stick/wood,xeiɣa,,,,
3218714,80,"to split","tit wɑrea",,,,
3218715,81,sharp,xaɣanĭ,,,,
3218716,82,"dull, blunt","pʷat kʷato",,,,
3218717,83,"to work",masiŋa,,,,
3218718,84,"to plant",riwu,,,,
3218719,85,"to choose",ɸeti,,,,
3218720,86,"to grow",malawo,,,,
3218721,87,"to swell",loloᵐbu,,,,
3218722,88,"to squeeze",kʷekʷeta,,,,
3218723,88,"to squeeze",woroa,,,,
3218724,89,"to hold",toura,,,,
3218725,90,"to dig",xili,,,,
3218726,91,"to buy",woli,,,,
3218727,92,"to open, uncover",saŋaβia,,,,
3218728,93,"to pound, beat",ɸaβʷaɣisia,,,,
3218729,93,"to pound, beat",ⁿdirⁿdirina,"tap with fingers",,,
3218730,94,"to throw","wosaβ soniə̆",,,,
3218731,95,"to fall",ŋʷaⁿdaŋe,,,,
3218732,96,dog,wiriu,,,,
3218733,97,bird,"manman rɪriki̥",,,,
3218734,98,egg,toli,,,,
3218735,99,feather,ului,,,,
3218736,100,wing,ᵐbani,,,,
3218737,101,"to fly",xaɣa,,,,
3218738,102,rat,xariβi,,,,
3218739,103,meat/flesh,ᵐbiɣi,,,,
3218740,103,meat/flesh,ɸisiɣo,,,,
3218741,104,fat/grease,xoᵐbu,,,,
3218742,105,tail,xoloi,,,,
3218743,106,snake,mʷaɣata,,,,
3218744,107,"worm (earthworm)",sulate,,,,
3218745,108,louse,wutu,,,,
3218746,109,mosquito,namu,,,,
3218747,110,spider,taɣaɣa,,,,
3218748,111,fish,masi,,,,
3218749,111,fish,mamata,"fis blo river",,,
3218750,112,rotten,ⁿdaru,,,,
3218751,113,branch,reina,,,,
3218752,114,leaf,ⁿdau,,,,
3218753,115,root,xoari,,,,
3218754,116,flower,mamtasina,,,,
3218755,117,fruit,oixeiɣa,,,,
3218756,118,grass,ɸalisi,,,,
3218757,119,earth/soil,tano,,,1,
3218758,120,stone,ɸatu,,,,
3218759,121,sand,one,,,,
3218760,122,water,ᵐbei,,,,
