id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1585,"Mwerlap (of N. Maewo)","Iveth Rodriguez and Tom Ennever",mrm,merl1237,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu",,"Mary Walworth","@misc{RodriguezEnnever2018,  author = \"Iveth Rodriguez and Tom Ennever\",  date = \"2018\",  howpublished = \"personal communication\"}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3219309,1,hand,lima-ŋ,,,,
3219310,2,left,ɣala,,,,
3219311,3,right,mato,,,,
3219312,4,leg/foot,raŋo-ŋ,,,,
3219313,5,"to walk",wʊlʊ,,,,
3219314,6,road/path,metsal,,,,
3219315,7,"to come",ɸɛa͡ŋme,,,,
3219316,8,"to turn",tʊris,,,,
3219317,9,"to swim",sʊsʊ,,,,
3219318,10,dirty,nor,,,,
3219319,11,dust,nɔβɔ,,,,
3219320,12,skin,βʷʊni,,,,
3219321,13,back,ɣatʊwɔ-ŋ,,,,
3219322,14,belly,takʷa-ŋ,,,,
3219323,15,bone,sʊri,,,,
3219324,16,intestines,tɪnɛ,,,,
3219325,17,liver,βere,,,,
3219326,18,breast,sus,,,1,
3219327,19,shoulder,ᵐbania-ŋ,,,,
3219328,20,"to know, be knowledgeable","nu ⁿdomɛa",,,,
3219329,21,"to think",ⁿdʊom,,,,
3219330,22,"to fear",mʷɛtawʊt,,,,
3219331,23,blood,ⁿdar,,,,
3219332,24,head,ᵑgʷato-ŋ,,,,
3219333,25,neck,ⁿdalo-ŋ,,,,
3219334,26,hair,ɸʷʊlo-ŋ,,,,
3219335,27,nose,maⁿdo-ŋ,,,,
3219336,28,"to breathe",mʷomsa,,,,
3219337,29,"to sniff, smell","(nʊ) sʊŋ",,,,
3219338,30,mouth,ɸala-ŋ,,,,
3219339,30,mouth,βala-ŋ,,,,
3219340,31,tooth,liwo-ŋ,,,,
3219341,32,tongue,lʊemea-ŋ,,,,
3219342,33,"to laugh",man,,,,
3219343,34,"to cry",ŋar,,,,
3219344,35,"to vomit",lːo,,,,
3219345,36,"to spit",..,,,,
3219346,37,"to eat",ɣiɛ̃n,,,,
3219347,38,"to chew",ŋʊ,,,,
3219348,39,"to cook",tuntun,"roast on coals",,,
3219349,39,"to cook",leokʷeaŋ,"cook inside bamboo",,,
3219350,39,"to cook",woŋʷas,bake,,,
3219351,40,"to drink",sim,,,,
3219352,41,"to bite",xɛa͡tlat,,,,
3219353,42,"to suck",sʊŋ,,,,
3219354,43,ear,gʷoro-ŋ,,,,
3219355,44,"to hear",rːoŋ,,,,
3219356,45,eye,mata-ŋ,,,,
3219357,46,"to see",mata-ŋ,,,,
3219358,47,"to yawn",ŋʷæv,,,,
3219359,48,"to sleep",mʷatʊr,,,,
3219360,49,"to lie down",ɦan,,,,
3219361,50,"to dream",kʷɛrkʷɛr,,,,
3219362,51,"to sit",salsoʊ,,,,
3219363,52,"to stand",tʊr,,,,
3219364,53,"person/human being",tɛⁿdʊn,,,,
3219365,54,man/male,ŋʷarat,,,,
3219366,55,woman/female,βaβian,,,,
3219367,56,child,lʊŋlʊŋʷer,,,,
3219368,57,husband,tomiɔ,,,,
3219369,58,wife,rɛnatu-k,,,,
3219370,59,mother,iβieβ,,,,
3219371,60,father,mam,,,,
3219372,61,house,niaŋ,,,,
3219373,62,thatch/roof,waras,,,,
3219374,63,name,sãŋ,,,,
3219375,64,"to say",sʊr,,,,
3219376,65,rope,ɣiæ,,,,
3219377,66,"to tie up, fasten",ʊwet,,,,
3219378,67,"to sew",sʊr,,,,
3219379,68,needle,mʷɛtʊs,"manufacture from black palm (?)",,,
3219380,69,"to hunt",ɣetiɣet,,,,
3219381,70,"to shoot",ɸiẽn,,,,
3219382,71,"to stab, pierce",sor,,,,
3219383,72,"to hit",βʊs,,,,
3219384,73,"to steal",ᵐbʷal,,,,
3219385,74,"to kill",ⁿdomɛa͡t,,,,
3219386,75,"to die, be dead",mɛa͡t,,,,
3219387,76,"to live, be alive",es,,,,
3219388,77,"to scratch",teker,,,,
3219389,78,"to cut, hack",tar,,,,
3219390,79,stick/wood,ⁿdɪɛnkɛ,,,,
3219391,80,"to split",sak,,,,
3219392,81,sharp,ɣien,,,,
3219393,82,"dull, blunt",tɛa͡mel,,,,
3219394,83,"to work",laᵐbas,,,,
3219395,84,"to plant",ɸʷaso,,,,
3219396,85,"to choose",eris,,,,
3219397,86,"to grow",tɞ,,,,
3219398,87,"to swell",ɸʷtɞr,,,,
3219399,88,"to squeeze",gʷet,"squeeze someone (e.g. hand)",,,
3219400,88,"to squeeze",war,"squeeze cocunt flesh",,,
3219401,89,"to hold",tɵr,,,,
3219402,90,"to dig",ɣiel,,,,
3219403,91,"to buy",wɞl,,,,
3219404,92,"to open, uncover",(w)oʊ,,,,
3219405,93,"to pound, beat",ɸʷʊs,,,,
3219406,94,"to throw",barta,,,,
3219407,95,"to fall",so,,,,
3219408,96,dog,gʊrʊt,,,,
