id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1588,"Sungwadaga (Lalaundi)","Iveth Rodriguez and Tom Ennever",mwo,cent2058,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu",,"Mary Walworth","@misc{RodriguezEnnever2018,  author = \"Iveth Rodriguez and Tom Ennever\",  date = \"2018\",  howpublished = \"personal communication\"}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3220012,1,hand,lima-ᵑgu,,,,
3220013,2,left,xaloa-ᵑgu,,,,
3220014,3,right,matowa-ᵑgu,,,,
3220015,4,leg/foot,raŋo-ᵑgu,,,,
3220016,5,"to walk",xau,,,,
3220017,6,road/path,sala,,,,
3220018,7,"to come",kuma,,,,
3220019,8,"to turn",ⁿdiɣeᵑgo,,,,
3220020,9,"to swim",xaxaru,,,,
3220021,10,dirty,oro,,,,
3220022,11,dust,taniaɸ,,,,
3220023,12,skin,ɸinu-ᵑgu,,,,
3220024,13,back,taɣu-ᵑgu,,,,
3220025,14,belly,xete-ᵑgu,,,,
3220026,15,bone,suri-ᵑgu,,,,
3220027,16,intestines,tinai-ᵑgu,,,,
3220028,17,liver,ɸara-ᵑgu,,,,
3220029,18,breast,susu-ᵑgu,,,1,
3220030,19,shoulder,tiᵑgʷa-ᵑgu,,,,
3220031,20,"to know, be knowledgeable","na roŋdun",,,,
3220032,21,"to think","ⁿdo ⁿdo mana",,,,
3220033,22,"to fear",mʷatxuti,,,,
3220034,23,blood,ⁿdai-ᵑgu,,,,
3220035,24,head,ᵑgʷatu-ᵑgu,,,,
3220036,25,neck,xawa-ᵑgu,,,,
3220037,26,hair,ulu-ᵑgu,,,,
3220038,27,nose,lisu-ᵑgu,,,,
3220039,28,"to breathe",mambusi,,,,
3220040,29,"to sniff, smell",ŋʷatue,,,,
3220041,30,mouth,xʷaɣʷa-ᵑgu,,,,
3220042,31,tooth,liwo-ᵑgu,,,,
3220043,32,tongue,luaeme-ᵑgu,,,,
3220044,33,"to laugh",mana,,,,
3220045,34,"to cry",ŋara,,,,
3220046,35,"to vomit",lulue,,,,
3220047,36,"to spit",xʷura,,,,
3220048,37,"to eat",xʷanxan,,,,
3220049,38,"to chew",ŋau,,,,
3220050,39,"to cook",raraŋai,'rus',,,
3220051,39,"to cook",raŋai,'rus',,,
3220052,39,"to cook",ᵐbutex,"'cook on bamboo'",,,
3220053,39,"to cook",wuluᵑgul,"'cook using leaves'",,,
3220054,40,"to drink",unu,,,,
3220055,41,"to bite",ⁿdere,,,,
3220056,42,"to suck",susu,"1. breast, 2. breastfeed",,,
3220057,42,"to suck",reβe,"'intake' 'pull (air, water, etc.)",,,
3220058,43,ear,ᵑgʷoro-ᵑgu,,,,
3220059,44,"to hear",roŋo,,,,
3220060,45,eye,mata-ᵑgu,,,,
3220061,46,"to see",wete,,,,
3220062,47,"to yawn",ŋʷaŋʷaβa,,,,
3220063,48,"to sleep",maturu,,,1,
3220064,49,"to lie down",eno,,,,
3220065,50,"to dream","maturu ᵑgʷorᵑgʷore",,,,
3220066,51,"to sit",taɰʷara,,,,
3220067,52,"to stand",tulu,,,,
3220068,53,"person/human being",taatu,,,,
3220069,54,man/male,tatuata,,,,
3220070,55,woman/female,ɸaβine,,,,
3220071,56,child,ŋʷera,,,,
3220072,57,husband,tuᵐbu-ᵑgu,,,,
3220073,58,wife,ᵑgauli-ᵑgu,,,,
3220074,59,mother,ᵑgʷau-ᵑgu,,,,
3220075,60,father,tata-ᵑgu,,,,
3220076,61,house,ɸale,,,,
3220077,62,thatch/roof,ⁿdau,leaf,,,
3220078,62,thatch/roof,taᵑgura,,,,
3220079,63,name,sasa-ᵑgu,,,,
3220080,64,"to say",ɸeβe,,,,
3220081,65,rope,xawe,,,,
3220082,66,"to tie up, fasten",liβit,,,,
3220083,67,"to sew",tuɰʷuru,,,,
3220084,68,needle,"xai susuh","xai 'wood'",,,
3220085,69,"to hunt",saro,,,,
3220086,70,"to shoot",ɸene,,,,
3220087,71,"to stab, pierce",susux,,,,
3220088,72,"to hit",wasia,,,,
3220089,73,"to steal",ᵐbalu,,,,
3220090,74,"to kill",wasiatmate,,,,
3220091,74,"to kill","wasa matea",,,,
3220092,75,"to die, be dead",mʷate,,,,
3220093,76,"to live, be alive",ŋʷaso,,,,
3220094,77,"to scratch",taᵑgar,,,,
3220095,78,"to cut, hack",tai,,,,
3220096,79,stick/wood,xai,,,,
3220097,80,"to split",ⁿdara,,,,
3220098,81,sharp,xaxan,,,,
3220099,82,"dull, blunt",ᵑgʷatol,,,,
3220100,83,"to work",roᵐba,,,,
3220101,84,"to plant",ririwu,,,,
3220102,85,"to choose","etet suri",,,,
3220103,85,"to choose",ɸiɸloɣi,,,,
3220104,86,"to grow",mʷaⁿdiŋ,,,,
3220105,86,"to grow",mʷaⁿdiŋi,,,,
3220106,87,"to swell",riɣa,,,,
3220107,88,"to squeeze",firsa,"wring (clothes)",,,
3220108,88,"to squeeze",ᵑgʷeᵑgʷet,"squeeze (e.g. someone's leg), press hard",,,
3220109,88,"to squeeze",tusi,"squeeze coconut flesh",,,
3220110,88,"to squeeze",ᵑgelet,pinch,,,
3220111,89,"to hold",tori,,,,
3220112,90,"to dig",xili,,,,
3220113,91,"to buy",xʷoli,,,,
3220114,92,"to open, uncover",rani-a,"open (door)",,,
3220115,92,"to open, uncover",lele,"open book",,,
3220116,92,"to open, uncover",wasu,"pull something off (bottle cap)",,,
3220117,92,"to open, uncover",laŋa,"lift lid (e.g. lid of saucepan)",,,
3220118,93,"to pound, beat",waswasia,,,,
3220119,94,"to throw","wosak son","throw out",,,
3220120,95,"to fall",soe,,,,
3220121,96,dog,xʷiriu,,,,
3220122,97,bird,manu,,,,
