id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1589,"Sungwada (Ngota)","Iveth Rodriguez and Tom Ennever",mwo,cent2058,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu",,"Mary Walworth","@misc{RodriguezEnnever2018,  author = \"Iveth Rodriguez and Tom Ennever\",  date = \"2018\",  howpublished = \"personal communication\"}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3220252,1,hand,limaxi,,,,
3220253,2,left,xaloa,,,,
3220254,3,right,matawa,,,,
3220255,4,leg/foot,ra:ŋoxi,,,,
3220256,5,"to walk","xaʊ taliaɣi",,,,
3220257,6,road/path,xorsala,,,,
3220258,7,"to come",xuma,,,,
3220259,8,"to turn",risi,,,,
3220260,9,"to swim",xaxaru,,,,
3220261,10,dirty,ora,,,,
3220262,11,dust,taniaxu,,,,
3220263,12,skin,ɸinuɣi,,,,
3220264,13,back,taɣuɣi,,,,
3220265,14,belly,xeteɣi,,,,
3220266,15,bone,suriɣi,,,,
3220267,16,intestines,tinaɪ,,,,
3220268,17,liver,ɸara,,,,
3220269,18,breast,susu,,,1,
3220270,19,shoulder,tiᵑɡʷaɣi,,,,
3220271,20,"to know, be knowledgeable",roŋoⁿdun,,,,
3220272,21,"to think",ⁿdoⁿdomana,,,,
3220273,22,"to fear",mataxuti,,,,
3220274,23,blood,ⁿdai,,,,
3220275,24,head,kʷa:tuɣi,,,,
3220276,25,neck,xawaɣi,,,,
3220277,26,hair,uluɣi,,,,
3220278,27,nose,lisuɣi,,,,
3220279,28,"to breathe",mambusiɣi,,,,
3220280,29,"to sniff, smell",reβe,,,,
3220281,30,mouth,xʷaxʷaɣi,,,,
3220282,31,tooth,lixʷoɣi,,,,
3220283,32,tongue,luameɣi,,,,
3220284,33,"to laugh",mana,,,,
3220285,34,"to cry",ŋara,,,,
3220286,35,"to vomit",luluɛ,,,,
3220287,36,"to spit",xura,,,,
3220288,37,"to eat",xani,,,,
3220289,38,"to chew",ŋau,,,,
3220290,39,"to cook",raŋai,,,,
3220291,39,"to cook",lisi,lif,,,
3220292,39,"to cook",ᵐbuteɣi,bambu,,,
3220293,39,"to cook",saroro,bambu,,,
3220294,39,"to cook",salaxʷae,bambu,,,
3220295,39,"to cook",ᵑgulᵑguli,,,,
3220296,40,"to drink",unu,,,,
3220297,41,"to bite",ⁿdere,,,,
3220298,42,"to suck",reβe,,,,
3220299,42,"to suck",sumuri,,,,
3220300,43,ear,ᵑɡʷoroɣi,,,,
3220301,44,"to hear",roŋo,,,,
3220302,45,eye,mataɣi,,,,
3220303,46,"to see",ɛ:tɛ,,,,
3220304,47,"to yawn",ŋʷaŋʷaoβa,,,,
3220305,48,"to sleep",maturu,,,1,
3220306,49,"to lie down",ɛno,,,,
3220307,50,"to dream","maturu ᵑɡʷoreᵑɡʷore",,,,
3220308,51,"to sit",taxʷara,,,,
3220309,52,"to stand","tulu ɸaturi",,,,
3220310,53,"person/human being",tatu,,,,
3220311,54,man/male,tatuata,,,,
3220312,55,woman/female,ɸaβine,,,,
3220313,56,child,"ŋʷerŋʷera riᵑɡi",,,,
3220314,57,husband,tuᵐbuᵑɡu,,,,
3220315,58,wife,ra:tuᵐbuᵑgu,,,,
3220316,59,mother,ᵑɡʷau,VOC.,,,
3220317,59,mother,raβe,"not used to address one's owm mom",,,
3220318,60,father,tata,,,,
3220319,61,house,ɸale,,,,
3220320,62,thatch/roof,ⁿdau,,,,
3220321,63,name,sasaɣi,,,,
3220322,64,"to say",ɸeβe,,,,
3220323,65,rope,xawe,,,,
3220324,66,"to tie up, fasten",liβiti,,,,
3220325,67,"to sew",tuɣuru,,,,
3220326,68,needle,"xai turu",,,,
3220327,69,"to hunt",saro,,,,
3220328,70,"to shoot",ɸene,,,,
3220329,71,"to stab, pierce",turu,,,,
3220330,72,"to hit",wasi,,,,
3220331,73,"to steal",ᵐbalu,,,,
3220332,74,"to kill","wasiɸa: mate","noticeable vowel lenghthening",,,
3220333,75,"to die, be dead",mate,,,,
3220334,76,"to live, be alive",ŋʷaso,,,,
