id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
159,Kilivila,"Eprem T. Moguna",kij,kili1267,"Trobriand Isl.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Peripheral, Kilivila-Louisiades, Kilivila","Debasish Roy","Simon Greenhill","@misc{Moguna-159-2005,  author = \"Eprem T. Moguna\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-8.48323856391351327488,151.06201171875000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
159,1,hand,yami|la,,,1,?
516,2,left,kikiwama,,,,
873,3,right,kakata,,,,
1230,4,leg/foot,keki|la,,,1,1?
1587,5,"to walk",lola,,,1,
1944,6,road/path,keda,,,12,
71656,7,"to come",ma,,,1,1
71657,7,"to come",wa,,,72,1
2658,8,"to turn",tovila,,,66,
3015,9,"to swim",kakaya,,,5,
3372,10,dirty,pupagatu,,,,
3729,11,dust,tubumyou,,,,
4086,12,skin,kanaina,,,53,
4443,13,back,tapu|la,,,54,
4800,14,belly,lula,,,105,
5157,15,bone,totuwana,,,"1,10",
5514,16,intestines,sileu,,,1,
5871,17,liver,kata,"[cf. 19,55,57]",,1,1
6228,18,breast,nunu,,,3,1
6585,19,shoulder,ilara,,,,
6942,20,"to know, be knowledgeable",nukwali,,,136,
7299,21,"to think",nanamsa,,,97,?
7656,22,"to fear",kokola,,,88,
8013,23,blood,buyai,,,33,
8370,24,head,pwaneta,,,80,
8727,25,neck,keyona,,,90,
9084,26,hair,kulu,,,3,
9441,27,nose,kabulu,,,"1,17",
9798,28,"to breathe",yagisa,,,,
10155,29,"to sniff, smell",sukwani,,,110,
72857,30,mouth,wadona,,,60,
72858,30,mouth,wodlia,,,60,
10869,31,tooth,kudu,,,61,
72982,32,tongue,maena,,,7,
72983,32,tongue,meliya,,,7,
11583,33,"to laugh",gigila,,,85,
11940,34,"to cry",valam,,,47,
12297,35,"to vomit",lagoba,,,20,
12654,36,"to spit",giu,,,65,
13011,37,"to eat",kam,"[cf. 168]",,"1,43",1
13368,38,"to chew",kaui,"(chew betel)",,67,
13725,39,"to cook",sulu,"(boil food)",,17,
14082,40,"to drink",mom,,,27,
14439,41,"to bite",geda,,,46,
14796,42,"to suck",nunu,,,"25,74",
15153,43,ear,tegila,"[< m]",,1,1
15510,44,"to hear",lagi,,,"1, 36",?
15867,45,eye,mati|la,,,1,1?
16224,46,"to see",gisi,,,1,?
16581,47,"to yawn",kayawasi,,,15,
16938,48,"to sleep",masisi,,,"1,70",?
17295,49,"to lie down",kenu,,,1,1
89980,50,"to dream",-mimi-,,,"1, 37",
18009,51,"to sit",sisu,,,160,
18366,52,"to stand",tota,,,2,
18723,53,"person/human being",tomota,,,"1,66",1
74225,54,man/male,tomwaya,,,"70,14",?
74226,54,man/male,tau,,,22,?
74288,55,woman/female,numwaya,,,,1
74289,55,woman/female,vivila,,,"1,106",1
19794,56,child,gwadi,,,39,
20151,57,husband,mwala,,,26,
20508,58,wife,kwava,,,99,
20865,59,mother,ina,,,1,1
21222,60,father,tama,,,1,1
21579,61,house,bwala,,,43,
21936,62,thatch/roof,kulumwala,,,70,
22293,63,name,yegila,,,20,
22650,64,"to say",livale,,,97,
23007,65,rope,yuwayoula,,,54,
23364,66,"to tie up, fasten",yuwali,,,,
23721,67,"to sew",basi,,,53,
24078,68,needle,vasiya,,,23,
24435,69,"to hunt",wega,,,,
24792,70,"to shoot",lova,,,7,?
25149,71,"to stab, pierce",ginibabi,,,,
25506,72,"to hit",weya,,,61,
25863,73,"to steal",velau,,,21,1
75513,74,"to kill",kata|mati,,,2,
75514,74,"to kill",katumati,,,2,
26577,75,"to die, be dead",kaliga,,,46,
26934,76,"to live, be alive",mwamova,,,50,
27291,77,"to scratch",kwari,,,12,?
27648,78,"to cut, hack",teya,,,1,
28005,79,stick/wood,kai,,,1,1
28362,80,"to split",wavi,,,,
28719,81,sharp,kakata,,,69,
29076,82,"dull, blunt",nanaka,,,,
29433,83,"to work",bagula,,,19,
29790,84,"to plant",vaula,,,17,
30147,85,"to choose",kila,,,13,
