id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1603,Raga,"Iveth Rodriguez and Tom Ennever",lml,hano1246,"Variation between bilabial and labiodental fricatives; [f] ~ [ɸ]; [v] ~ [β]",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu",,"Mary Walworth","@misc{RodriguezEnnever2018,  author = \"Iveth Rodriguez and Tom Ennever\",  date = \"2018\",  howpublished = \"personal communication\"}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3223497,1,hand,lima,,,,
3223498,2,left,mʷaiɾi,,,,
3223499,3,right,mʷatue,,,,
3223500,4,leg/foot,ᵐbalaɣe,,,,
3223501,5,"to walk",laɣo,,,,
3223502,6,road/path,hala,,,,
3223503,7,"to come",mai,,,,
3223504,8,"to turn","ɸan ᵐbuɾiɣai",,,,
3223505,9,"to swim",ᵑgari,,,,
3223506,10,dirty,xaŋuraɣa,,,,
3223507,11,dust,taniaβo,,,,
3223508,12,skin,huli,,,,
3223509,13,back,xatikumʷa,,,,
3223510,14,belly,taᵐbʷaŋimʷa,,,,
3223511,15,bone,hui,,,,
3223512,16,intestines,sinai,,,,
3223513,17,liver,ate,,,,
3223514,18,breast,huhu,,,1,
3223515,19,shoulder,isiᵐbʷamʷa,,,,
3223516,20,"to know, be knowledgeable",ilo-ute,,,,
3223517,21,"to think",binbinihi,,,,
3223518,22,"to fear",mataɣu,,,,
3223519,23,blood,daɣa,,,,
3223520,24,head,ᵐbʷatu,,,,
3223521,25,neck,mʷaɣoro,,,,
3223522,26,hair,ilu,,,,
3223523,27,nose,"ᵐbʷaɾeŋ xumʷa",,,,
3223524,28,"to breathe","raf laŋi",,,,
3223525,28,"to breathe","rav laŋi",,,,
3223526,29,"to sniff, smell","raf boni",,,,
3223527,29,"to sniff, smell","rav boni",,,,
3223528,30,mouth,bʷaŋo,,,,
3223529,30,mouth,ᵐbʷaŋo,,,,
3223530,31,tooth,liβo,,,,
3223531,31,tooth,liβʷo,,,,
3223532,32,tongue,mea,,,,
3223533,33,"to laugh",mana,,,,
