id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1606,"Xalangi (Baetora)","Tom Ennever and Iveth Rodriguez",mwo,cent2058,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu",,"Mary Walworth","@misc{RodriguezEnnever2018,  author = \"Iveth Rodriguez and Tom Ennever\",  date = \"2018\",  howpublished = \"personal communication\"}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3224201,1,hand,lima,,,,
3224202,2,left,mʷeriri,,,,
3224203,3,right,mʷetua,,,,
3224204,4,leg/foot,ᵑgaru,,,,
3224205,5,"to walk",laɣo,,,,
3224206,6,road/path,sala,,,,
3224207,7,"to come",fanai,,,,
3224208,8,"to turn",leorisi,,,,
3224209,9,"to swim",xaru,,,,
3224210,10,dirty,soŋoraɣa,,,,
3224211,11,dust,tiᵑgaβu,,,,
3224212,12,skin,ɸinu,,,,
3224213,13,back,xantaɣu,,,,
3224214,14,belly,taŋa,,,,
3224215,15,bone,sui,,,,
3224216,16,intestines,tinai,,,,
3224217,17,liver,ɸara,,,,
3224218,18,breast,susu,,,1,
3224219,19,shoulder,tiᵐbʷa,,,,
3224220,20,"to know, be knowledgeable",wilo,,,,
3224221,21,"to think",laⁿdo,,,,
3224222,22,"to fear",mataɣu,,,,
3224223,23,blood,ⁿdei,,,,
3224224,24,head,ᵐbʷatu,,,,
3224225,25,neck,xanua,,,,
3224226,26,hair,ɸulu,,,,
3224227,27,nose,xansʊ,,,,
3224228,28,"to breathe","reβe maᵐbusiⁿda",,,,
3224229,29,"to sniff, smell",ᵐbuni,,,,
3224230,30,mouth,ɸʷawa,,,,
3224231,31,tooth,liβʷo,,,,
3224232,32,tongue,luame,,,,
3224233,33,"to laugh",mana,,,,
3224234,34,"to cry",ŋara,,,,
3224235,35,"to vomit",lulua,,,,
3224236,36,"to spit",loⁿdo,,,,
3224237,37,"to eat",xaxani,,,,
3224238,38,"to chew",ⁿdalⁿdala,,,,
3224239,39,"to cook",taᵐbʷarere,,,,
3224240,40,"to drink",minu,,,,
3224241,41,"to bite",xati,,,,
3224242,42,"to suck",sumuri,breast,,,
3224243,42,"to suck",reβe,"inhale, pull inside sth as wind",,,
3224244,43,ear,ᵐbʷero,,,,
3224245,44,"to hear",roŋo,,,,
3224246,45,eye,mata,,,,
3224247,46,"to see",leo,,,,
3224248,47,"to yawn",mamao,,,,
3224249,48,"to sleep",maturu,,,1,
3224250,49,"to lie down",weno,,,,
3224251,50,"to dream",ᵐbʷoᵐbʷore,,,,
3224252,51,"to sit",mʷaᵐbu,,,,
3224253,52,"to stand",matmaⁿdu,,,,
3224254,53,"person/human being",tatu,,,,
3224255,54,man/male,mʷera,,,,
3224256,55,woman/female,ɸaβine,,,,
3224257,56,child,maresu,,,,
3224258,57,husband,tamaraɣasi,,,,
3224259,58,wife,nuᵑguɸaβine,,,,
3224260,58,wife,rainatuŋ,,,,
3224261,59,mother,raβeᵑgu,,,,
3224262,60,father,tita,,,,
3224263,61,house,ɸale,,,,
3224264,62,thatch/roof,masoaɣi,,,,
3224265,63,name,isa,,,,
3224266,64,"to say",ɸeβe,,,,
3224267,65,rope,xao,,,,
3224268,66,"to tie up, fasten",ɸili,,,,
3224269,67,"to sew",tuɣuri,,,,
3224270,68,needle,tuitui,"of a spider",,,
3224271,68,needle,xaisusu,,,,
3224272,69,"to hunt",ruɣu,,,,
3224273,70,"to shoot",ɸene,,,,
3224274,71,"to stab, pierce",susuɣi,,,,
3224275,72,"to hit",wasia,,,,
3224276,73,"to steal",ᵐbalu,,,,
3224277,74,"to kill","wasɸăɣa matea",,,,
3224278,75,"to die, be dead",mate,,,,
3224279,76,"to live, be alive",mʷaso,,,,
3224280,77,"to scratch",taᵑɡari,,,,
3224281,78,"to cut, hack",teβea,,,,
3224282,79,stick/wood,xai,,,,
3224283,80,"to split",taiβʷaɣa,,,,
3224284,81,sharp,maᵑgeᵑgeni,,,,
3224285,82,"dull, blunt",ᵐbʷatola,,,,
3224286,83,"to work",roᵐba,,,,
3224287,84,"to plant",riβu,,,,
3224288,85,"to choose",leolua,,,,
3224289,86,"to grow",mauri,,,,
3224290,87,"to swell",ɸuɣe,,,,
3224291,88,"to squeeze",ɸʷirisi,,,,
3224292,89,"to hold",saᵑgoβi,,,,
3224293,90,"to dig",xeli,,,,
3224294,91,"to buy",ɸʷoli,,,,
3224295,92,"to open, uncover",tala,,,,
3224296,93,"to pound, beat",xoso,,,,
3224297,93,"to pound, beat",raᵐbati,,,,
3224298,93,"to pound, beat",namu,,,,
3224299,94,"to throw",ᵐbʷaleɣi,,,,
3224300,95,"to fall",mʷaᵑgele,,,,
3224301,96,dog,xiriu,,,,
3224302,97,bird,manu,,,,
3224303,98,egg,toli,,,,
3224304,99,feather,lalau,,,,
3224305,100,wing,ᵐbaᵐbau,,,,
3224306,101,"to fly",xaɣa,,,,
3224307,101,"to fly",olo,,,,
3224308,102,rat,xariβi,,,,
3224309,103,meat/flesh,ɸisiɣo,,,,
3224310,103,meat/flesh,ᵐbiɣi,,,,
3224311,104,fat/grease,riɣa,,,,
3224312,105,tail,xolo,,,,
3224313,106,snake,mʷaɣata,,,,
3224314,107,"worm (earthworm)",sulate,,,,
3224315,108,louse,mʷaⁿdi,,,,
3224316,109,mosquito,namʊ,,,,
3224317,110,spider,taɣaɣa,,,,
3224318,111,fish,masi,,,,
3224319,112,rotten,ᵐboᵐboɣa,,,,
3224320,113,branch,raŋa,,,,
3224321,114,leaf,rau,,,,
3224322,115,root,xoari,,,,
3224323,116,flower,ɸira,,,,
3224324,117,fruit,mʷatiɣi,,,,
3224325,118,grass,ɸalisi,,,,
3224326,119,earth/soil,tano,,,1,
3224327,120,stone,ɸatu,,,,
3224328,121,sand,one,,,,
3224329,122,water,wai,,,,
3224330,123,"to flow",waitoa,,,,
3224331,124,sea,tasi,,,,
3224332,125,salt,xʷarxara,,,,
3224333,126,lake,ᵐbulo,,,,
3224334,127,woods/forest,tamatua,,,,
3224335,128,sky,taetae,,,,
3224336,129,moon,ɸula,,,,
3224337,130,star,ɸitiu,,,,
3224338,131,cloud,ⁿdoⁿdoβʷasi,,,,
3224339,131,cloud,ⁿdoⁿdoɣesa,"blue cloud (?)",,,
3224340,132,fog,ᵐbosoᵐboso,,,,
3224341,133,rain,use,,,,
3224342,134,thunder,mantawa,,,,
3224343,135,lightning,ɸila,,,,
3224344,136,wind,laŋi,,,,
3224345,137,"to blow",sere,"of the wind",,,
3224346,137,"to blow",uβi,"with the mouth",,,
3224347,138,warm,sasaβʷaᵐbiti,,,,
3224348,139,cold,xamʷaⁿdiⁿdi,,,,
3224349,140,dry,raraᵑɡa,,,,
3224350,141,wet,samʷale,,,,
3224351,142,heavy,ⁿdemu,,,,
3224352,143,fire,jaβi,,,,
3224353,144,"to burn",mʷaβʷi,,,,
3224354,145,smoke,easu,,,,
3224355,146,ash,tiᵑgaβu,,,,
3224356,147,black,maeto,,,,
3224357,148,white,ɸʷasi,,,,
3224358,149,red,memea,,,,
3224359,150,yellow,jaŋoɣa,,,,
3224360,151,green,ᵐbʷaroɣa,,,,
3224361,152,small,ᵐbiti,,,,
3224362,153,big,xaiβua,,,,
3224363,154,short,ᵐbʷiloⁿdo,,,,
3224364,155,long,ŋaβa,,,,
3224365,156,thin,mʷaᵑɡira,,,,
3224366,157,thick,tutuᵐbuɣa,,,,
3224367,158,narrow,masoaɣi,,,,
3224368,159,wide,xaiβua,,,,
3224369,160,"painful, sick",xaɣaⁿdiri,,,,
3224370,161,"shy, ashamed",ᵐbusᵐbusi,,,,
3224371,162,old,moniɣa,,,,
3224372,163,new,xaraᵐbʷeɣi,,,,
3224373,164,good,xarea,,,,
3224374,165,"bad, evil",sati,,,,
3224375,166,"correct, true",loɣarea,,,,
3224376,167,night,ᵐbʷoŋi,,,,
3224377,168,day,rani,,,,
3224378,169,year,ⁿdamu,,,,
3224379,170,when?,saβataro,,,,
3224380,171,"to hide",silβaɣi,,,,
3224381,172,"to climb",ᵑgalo,,,,
3224382,173,at,la,,,,
3224383,174,"in, inside",loloɣi,,,,
3224384,175,above,aulu,,,,
3224385,176,below,laβaβaɣi,,,,
3224386,177,this,toɣea,,,,
3224387,178,that,xatoɣ̆βano,,,,
3224388,179,near,ᵑgaᵑgarani,,,,
3224389,180,far,xatoβano,,,,
3224390,181,where?,ᵐbela,,,,
3224391,182,I,nau,,,,
3224392,183,thou,niᵑgo,,,,
3224393,184,he/she,xia,,,,
3224394,185,we,xiⁿda,"pl. incl.",,,
3224395,185,we,ᵑgamai,"pl. excl.",,,
3224396,185,we,xiⁿdaruaɣi,"dl. incl.",,,
3224397,185,we,ᵑgamairuaɣi,"dl. excl.",,,
3224398,186,you,ᵑgamiu,dl.,,,
3224399,186,you,ᵑgamiruaɣi,pl.,,,
3224400,187,they,xira,,,,
3224401,187,they,xirairua,dl.,,,
3224402,188,what?,asnao,,,,
3224403,189,who?,isei,,,,
3224404,190,other,ɸʷate,,,,
3224405,191,all,xiⁿdaŋoto,,,,
3224406,192,and,mana,,,,
3224407,193,if,ɸe,,,,
3224408,194,how?,mʷereisiᵐbe,,,,
3224409,195,"no, not",mese,,,,
3224410,196,"to count",ɸuluŋi,,,,
3224411,197,One,tiβʷale,,,,
3224412,197,One,tea,,,,
3224413,198,Two,rua,,,,
3224414,199,Three,tolu,,,,
3224415,200,Four,ɸati,,,,
3224416,201,Five,teβelima,,,,
3224417,202,Six,letɸʷale,,,,
3224418,203,Seven,leβrua,,,,
3224419,204,Eight,leβtolu,,,,
3224420,205,Nine,leiɸati,,,,
3224421,206,Ten,saŋaβulu,,,,
3224422,207,Twenty,saŋaβulrua,,,,
3224423,208,Fifty,saŋaβulteβelima,,,,
3224424,209,"One Hundred",ɸuⁿdolua,,,,
3224425,210,"One Thousand",tariɸaɣatiβʷale,,,,
