id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1616,Proto-Asmat-Kamoro,"Bert Voorhoeve",,asma1256,"Voorhoeve, Bert (2005). \"Asmat-Kamoro, Awyu-Dumut, and Ok: an enquiry into their linguistic relationships\". In Andrew Pawley, Robert Attenborough, Robin Hide, Jack Golson, eds. Papuan pasts: cultural, linguistic and biological histories of Papuan-speaking peoples, 145-166. Canberra: Pacific Linguistics.",,"Nuclear Trans-New Guinea, Asmat-Awyu-Ok, Asmat-Kamoro","Andrew C. Hsiu",,
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3226460,1,hand,*man,"arm, hand",,,
3226461,7,"to come",*naw-,,,,
3226462,17,liver,*wao,,,,
3226463,20,"to know, be knowledgeable",*(ma)sam,,,,
3226464,21,"to think",*(pu)pum-,"'thought' + *(pu)pum-",,,
3226465,27,nose,*mi(ta),,,,
3226466,31,tooth,*sis(i),,,,
3226488,37,"to eat","*n(a,e)-",,,,
3226489,37,"to eat",*an-,,,,
3226490,37,"to eat",*na-,,,,
3226468,46,"to see",*poro-,,,,
3226495,51,"to sit",*ap-,,,,
3226496,51,"to sit",*pa-,,,,
3226470,54,man/male,*(o)mo,"husband, male",,,
3226471,57,husband,*(o)mo,"husband, male",,,
3226491,59,mother,"*(e,i)ne","term of address",,,
3226492,59,mother,*enae,"term of address",,,
3226493,59,mother,"*en(e,a)","term of address",,,
3226494,59,mother,*wos,"term of reference",,,
3226473,109,mosquito,*isi,,,,
3226474,121,sand,*mi-sin,,,,
3226475,127,woods/forest,*os(e),"tree, wood",,,
3226476,128,sky,*pir(u),"moon, sky",,,
3226477,129,moon,*pir(u),"moon, sky",,,
3226478,137,"to blow",*fum-,,,,
3226486,138,warm,*amam-,hot,,,
3226487,138,warm,*ama(m),,,,
3226480,140,dry,*soso(t),,,,
3226481,146,ash,*-muc,,,,
3226482,182,I,*no(r),,,,
3226483,183,thou,*o(r),,,,
3226497,184,he/she,*a,,,,
3226498,184,he/she,*ar,,,,
3226485,185,we,*na(r),,,,
