id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1617,Jawe,"F. OZANNE-RIVIERRE & A-G.HAUDRICOURT",jaz,jawe1237,"The lexical data used here come from the book writen by two linguists : Françoise OZANNE-RIVIERRE and André-Georges HAUDRICOURT, Dictionnaire thématique des langues de la région de Hienghène (Nouvelle-Calédonie) : PIJE – FWÂI – NEMI – JAWE (published in 1982). This book presents a thematic lexicon and a phonological comparaison of four languages, based on several fieldworks made by André-Georges HAUDRICOURT (in 1959) and Françoise OZANNE-RIVIERRE (1973, 1976, 1978). The lexicon is translating french words into those four targeted languages. They are spoken on the north-west side of the Grande Terre island in New Caledonia. - If for an english word in the list, there are several lexical item including one single lexical unit, a compound (i.e made of several lexical units), or even a word resulting of a derivation, the word being a single lexical unit has been retained before anything else- If more than one word in Jawe, has been found for a single english word, some specifications about the use of the different words not being morphological variables have been, when possible, provided in the 'Author annotation' column- As the authors provide sometimes the lexical item form within and out of a possessive construction (note that there is two types of possession in this language : alienable and unalienable), we have decided to retain the corresponding forms provided for unalienable possession, althought the possessive personal pronoun itself has not been retained. Only the word with a dash (for instance 'cii-', 'his/her skin') has been entered along with the world out of possessive contructions, when showed by the authorsSome worlds have different forms depending on the geographical location. Those locations to which are related those different forms are put in parenthesis ('Y' is for the Yambe location, and 'W' for the Wevia location)",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Northern, North, Nemi","David PIEKUT",,
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3226499,1,hand,hi,,,,
3226696,2,left,mo,,,,
3226697,2,left,mo:-,,,,
3226501,3,right,ⁿɟue-hi-,,,,
3226502,4,leg/foot,he-,,,,
3226503,6,road/path,hwa:ran,,,,
3226504,7,"to come",he-me,"Means 'to come toward the speaker'",,,
3226505,8,"to turn",thewe:,,,,
3226762,9,"to swim",hʝo:m,"'to swim with the head above the water surface'",,,
3226763,9,"to swim",nem,"'to swim with  the head under the water surface'",,,
3226507,10,dirty,ⁿge:k,,,,
3226754,11,dust,hmu:n-ⁿguc,(W),,,
3226755,11,dust,hmu:n-ⁿdilic,(Y),,,
3226509,12,skin,ci:-,,,,
3226510,13,back,ⁿɟai-,,,,
3226740,14,belly,ⁿɟic,"The word when out of a possessive construction",,,
3226741,14,belly,ⁿɟie-,"The word when in a possessive construction",,,
3226738,15,bone,ⁿdu,"The word when out of a possessive construction",,,
3226739,15,bone,ⁿdu:-,"The word when in a possessive construction",,,
3226705,16,intestines,ho:ŋa,"The word when out of a possessive construction",,,
3226706,16,intestines,ho:ŋe-,"The word when in a possessive construction",,,
3226748,17,liver,kec,"The word when out of a possessive construction",,,
3226749,17,liver,kei-,"The word when in a possessive construction",,,
3226515,18,breast,thi,,,1,
3226516,19,shoulder,pue-hi-,,,,
3226517,20,"to know, be knowledgeable",hina,,,,
3226707,21,"to think",nemi,,,,
3226708,21,"to think",nenemi,,,,
3226519,22,"to fear",harat,,,,
3226764,23,blood,kura,"The word when out of a possessive construction",,,
3226765,23,blood,kura:-,"The word when in a possessive construction",,,
3226521,24,head,ᵐbwa-,,,,
