id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1632,Serewen,"Emily Gasser & Arfius Pihahei",pmo,pomm1237,"Collected in Manokwari, June 2016",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, South Halmahera-West New Guinea, West New Guinea, Cenderawasih Bay, Yapen, Central-Western","Emily Gasser",,
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
3228661,1,hand,ivaran,,,,
3228662,4,leg/foot,aire,,,,
3228663,14,belly,haniwai,,,,
3228664,15,bone,nehina,,,,
3228665,19,shoulder,karuhina,,,,
3228666,23,blood,maro,,,,
3228667,24,head,rihina,,,,
3228668,25,neck,"rau karo",,,,
3228669,26,hair,riunandau,,,,
3228670,27,nose,hokama,,,,
3228671,30,mouth,huapan,,,,
3228672,31,tooth,dieng,,,,
3228673,32,tongue,watandeng,,,,
3228699,37,"to eat",ang,transitive,,,
3228700,37,"to eat",ampi,intr.,,,
3228675,43,ear,tarandiau,,,,
3228676,45,eye,iremo,,,,
3228677,51,"to sit",mahoi,,,,
3228678,53,"person/human being",hinontarai,,,,
3228679,54,man/male,mawan,,,,
3228680,55,woman/female,vavin,,,,
3228681,56,child,romawa,,,,
3228682,57,husband,aisinang,,,,
3228683,58,wife,hinamui,,,,
3228684,59,mother,hinamui,,,,
3228685,60,father,aisinang,,,,
3228686,63,name,hanong,,,,
3228687,65,rope,arora,,,,
3228688,66,"to tie up, fasten",awar,,,,
3228689,70,"to shoot",pare,,,,
3228690,72,"to hit",repa,,,,
3228691,89,"to hold",ko,,,,
3228692,91,"to buy",avai,,,,
3228693,103,meat/flesh,wenutaraito,,,,
3228694,104,fat/grease,mani,,,,
3228695,105,tail,kapung,,,,
3228696,111,fish,diang,,,,
3228697,137,"to blow",itavung,,,,
3228698,146,ash,wava,,,,
