id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
173,"Tahitian (Modern)","Ross Clark",tah,tahi1242,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Tahitic","Peng Du","Simon Greenhill","@misc{Clark-173-2005,  author = \"Ross Clark\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-17.63614135566131935207,-149.41481325104760458089
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
173,1,hand,rima,,,1,1
530,2,left,'aui,,,"1,42",1
887,3,right,'atau,,,"5, 40",1
1244,4,leg/foot,'aavae,,,"1, 100",1
85143,5,"to walk",haere,go,,6,
85144,5,"to walk",ori,"take a walk (dance?-MW)",,,
85194,6,road/path,poroomu,poroomu,,3,
85195,6,road/path,puruumu,"puruumu (road)",,3,
85196,6,road/path,'ee'a,"'ee'a (path/track)",,52,
170393,6,road/path,ara,,,1,
2315,7,"to come","haere mai",,,"1,42",1
2672,8,"to turn",tiipu'u,,,,
3029,9,"to swim",'au,,,5,
3386,10,dirty,repo,,,9,
87977,11,dust,hu'ahuaa,"hu'ahuaa (little bits of anything)",,90,
87978,11,dust,"repo puehu","repo puehu (scattered dirt)",,"1, 74",
4100,12,skin,'iri,,,1,1
4457,13,back,tua,,,11,
4814,14,belly,'oopuu,,,2,
5171,15,bone,ivi,,,"52,5",
5528,16,intestines,'aa'au,,,12,
5885,17,liver,'upa'a,,,6,
6242,18,breast,tiitii,"L from French",L,,
6599,19,shoulder,tapono,,,,
6956,20,"to know, be knowledgeable",'ite,,,12,
7313,21,"to think",mana'o,,,7,
7670,22,"to fear",ri'ari'a,,,8,
8027,23,blood,toto,,,4,
8384,24,head,upo'o,,,10,
8741,25,neck,'a'ii,,,20,
9098,26,hair,rouru,,,40,
9455,27,nose,ihu,,,1,1
9812,28,"to breathe","huti i te aho",,,9,
88689,29,"to sniff, smell",hau'a,"hau? (sentir, percevoir une deur ou emettre une odeur)",,10,
88690,29,"to sniff, smell",ho'i,"ho'i (flairer, toucher avec le nez)",,9,
10526,30,mouth,vaha,,,"1,8",1
10883,31,tooth,niho,,,1,1
11240,32,tongue,arero,,,15,
11597,33,"to laugh",'ata,,,7,
11954,34,"to cry",ta'i,,,1,1
12311,35,"to vomit",piha'e,,,30,
12668,36,"to spit",tutuha,,,120,
13025,37,"to eat",'amu,"Tahitian borrowing during pi'i - perhaps borrowed-MW",L?,"1,43",
13382,38,"to chew",'au'au,,,8,
89669,39,"to cook",tunu,(general),,9,
89670,39,"to cook",'eu,"(specifically in oven)",,10,
167980,40,"to drink",inu,,,1,
14453,41,"to bite",hohoni,,,14,
14810,42,"to suck",'ote,,,9,
15167,43,ear,tari'a,,,1,1
15524,44,"to hear",fa'aro'o,,,1,1
15881,45,eye,mata,,,1,1
16238,46,"to see",'ite,,,1,1
16595,47,"to yawn",haamama,,,"19,28",?
16952,48,"to sleep",ta'oto,,,,
17309,49,"to lie down",ta'oto,,,7,
74043,50,"to dream",moemoeaa,,,"7,27",
74044,50,"to dream",ta'oto'otoaa,,,78,
18023,51,"to sit",paarahi,,,17,
18380,52,"to stand",ti'a,,,x,
18737,53,"person/human being",ta'ata,,,"1,66, 97",1
19094,54,man/male,taane,,,"1,11",1
19451,55,woman/female,vahine,,,"1,106,116",1
19808,56,child,tamari'i,,,"6,63",
20165,57,husband,taane,,,14,
20522,58,wife,vahine,,,"5,68",
91263,59,mother,maamaa,borrowing?-MW,L?,,
91264,59,mother,"metua vahine",,,4,
91323,60,father,paapaa,"borrowing from French-MW",L,,
91324,60,father,"metua taane",,,9,
21593,61,house,fare,,,14,
21950,62,thatch/roof,"taapo'i fare",,,10,
22307,63,name,i'oa,,,6,
22664,64,"to say",parau,,,12,
23021,65,rope,taura,,,9,
23378,66,"to tie up, fasten",ta'amu,,,149,
75089,67,"to sew",au,,,14,
75090,67,"to sew",nira,,L,,
24092,68,needle,nira,Loan?,L,,
24449,69,"to hunt",a'ua'u,,,7,
24806,70,"to shoot",te'a,,,3,
25163,71,"to stab, pierce",paatia,"piquer, perferer",,9,
172417,71,"to stab, pierce",perforer,French?-MW,,,
25520,72,"to hit",taa'iri,,,9,
25877,73,"to steal",'eiaa,,,"7,65",
